Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000518,12.051152,[ 6 13] ; [61 22],[12.48039216  6.51960784] ; [54.51960784 28.48039216],1
n4,1,0.011814,6.338618,[ 8 11] ; [60 23],[12.66666667  6.33333333] ; [55.33333333 27.66666667],0
r4,1,0.01554,5.854198,[14  5] ; [77  6],[16.95098039  2.04901961] ; [74.04901961  8.95098039],0
a8,1,0.039522,4.23828,[ 5 14] ; [ 7 71],[ 2.35051546 16.64948454] ; [ 9.64948454 68.35051546],0
p10,1,0.05539,3.670296,[ 8 11] ; [54 28],[11.66336634  7.33663366] ; [50.33663366 31.66336634],0
v4,1,0.067568,3.341132,[15  4] ; [77  6],[17.1372549  1.8627451] ; [74.8627451  8.1372549],0
u1,1,0.097176,2.75129,[ 1 18] ; [18 65],[ 3.53921569 15.46078431] ; [15.46078431 67.53921569],0
a7,1,0.124341,2.361769,[ 9 10] ; [55 28],[11.92156863  7.07843137] ; [52.07843137 30.92156863],0
d4,1,0.139057,2.188369,[16  2] ; [60 23],[13.54455446  4.45544554] ; [62.45544554 20.54455446],0
a6,1,0.219181,1.509727,[ 8 10] ; [50 33],[10.33663366  7.66336634] ; [47.66336634 35.33663366],0
s3,1,0.22887,1.447871,[14  5] ; [47 33],[11.70707071  7.29292929] ; [49.29292929 30.70707071],0
b1,1,0.23916,1.38554,[12  7] ; [40 43],[9.68627451 9.31372549] ; [42.31372549 40.68627451],0
a5,1,0.243128,1.362366,[15  4] ; [54 29],[12.85294118  6.14705882] ; [56.14705882 26.85294118],0
n2,1,0.247656,1.33648,[9 1] ; [15  6],[7.74193548 2.25806452] ; [16.25806452  4.74193548],0
v2,1,0.258558,1.27646,[12  5] ; [44 35],[9.91666667 7.08333333] ; [46.08333333 32.91666667],0
v3,1,0.273488,1.199166,[ 5 11] ; [36 42],[6.9787234 9.0212766] ; [34.0212766 43.9787234],0
p11,1,0.31212,1.021685,[10  9] ; [54 29],[11.92156863  7.07843137] ; [52.07843137 30.92156863],0
