Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.00013,14.637491,[118 374] ; [ 3 69],[105.55319149 386.44680851] ; [15.44680851 56.55319149],1
r2,1,0.000273,13.244837,[483   7] ; [66  6],[478.66548043  11.33451957] ; [70.33451957  1.66548043],1
a2,1,0.001182,10.51799,[144 348] ; [ 8 64],[132.59574468 359.40425532] ; [19.40425532 52.59574468],0
a3,1,0.002884,8.879635,[367 122] ; [42 30],[356.50802139 132.49197861] ; [52.49197861 19.50802139],0
a5,1,0.004008,8.280117,[383 108] ; [45 27],[373.26465364 117.73534636] ; [54.73534636 17.26465364],0
u3,1,0.004687,7.996345,[87 36] ; [13 17],[80.39215686 42.60784314] ; [19.60784314 10.39215686],0
v2,1,0.009367,6.751567,[280 192] ; [29 39],[270.08888889 201.91111111] ; [38.91111111 29.08888889],0
a6,1,0.016654,5.732485,[340 148] ; [40 32],[331.14285714 156.85714286] ; [48.85714286 23.14285714],0
s7,1,0.018898,5.510933,[299 173] ; [33 35],[290.19259259 181.80740741] ; [41.80740741 26.19259259],0
d5,1,0.019067,5.495399,[414  75] ; [53 19],[407.06417112  81.93582888] ; [59.93582888 12.06417112],0
a1,1,0.025214,5.00913,[ 23 469] ; [ 8 64],[ 27.04255319 464.95744681] ; [ 3.95744681 68.04255319],0
b4,1,0.031231,4.640204,[290 202] ; [52 20],[298.34042553 193.65957447] ; [43.65957447 28.34042553],0
n4,1,0.032171,4.589354,[395  96] ; [50 22],[388.09058615 102.90941385] ; [56.90941385 15.09058615],0
a7,1,0.032242,4.585559,[371 119] ; [46 26],[363.57651246 126.42348754] ; [53.42348754 18.57651246],0
a4,1,0.035588,4.416739,[234 254] ; [25 47],[225.7 262.3] ; [33.3 38.7],0
s8,1,0.050388,3.828498,[284 205] ; [33 39],[276.31550802 212.68449198] ; [40.68449198 31.31550802],0
a8,1,0.055342,3.671744,[ 72 370] ; [ 5 63],[ 66.73333333 375.26666667] ; [10.26666667 57.73333333],0
s3,1,0.064246,3.424236,[346 136] ; [44 28],[339.31407942 142.68592058] ; [50.68592058 21.31407942],0
d1,1,0.088659,2.898555,[311 181] ; [38 34],[304.44680851 187.55319149] ; [44.55319149 27.44680851],0
n3,1,0.10673,2.601991,[73 23] ; [13  9],[69.96610169 26.03389831] ; [16.03389831  5.96610169],0
d3,1,0.146845,2.104719,[353 136] ; [46 26],[347.79144385 141.20855615] ; [51.20855615 20.79144385],0
p5,1,0.148149,2.091205,[ 65 423] ; [14 57],[ 68.96601073 419.03398927] ; [10.03398927 60.96601073],0
p2,1,0.152923,2.042845,[413  76] ; [56 16],[408.80748663  80.19251337] ; [60.19251337 11.80748663],0
n5,1,0.167205,1.907822,[389 101] ; [52 20],[384.50177936 105.49822064] ; [56.49822064 15.50177936],0
d2,1,0.179158,1.804592,[252 237] ; [31 41],[246.67914439 242.32085561] ; [36.32085561 35.67914439],0
r3,1,0.201589,1.630825,[481   9] ; [69  3],[479.53736655  10.46263345] ; [70.46263345  1.53736655],0
p9,1,0.204722,1.608361,[425  59] ; [66  5],[428.18738739  55.81261261] ; [62.81261261  8.18738739],0
s2,1,0.222869,1.4858,[327 161] ; [43 29],[322.42857143 165.57142857] ; [47.57142857 24.42857143],0
p7,1,0.222967,1.485174,[320 155] ; [42 28],[315.50458716 159.49541284] ; [46.49541284 23.50458716],0
p4,1,0.251189,1.316681,[325 163] ; [43 29],[320.68571429 167.31428571] ; [47.31428571 24.68571429],0
b2,1,0.266163,1.236417,[115 180] ; [14 32],[111.59824047 183.40175953] ; [17.40175953 28.59824047],0
b3,1,0.266163,1.236417,[115 180] ; [14 32],[111.59824047 183.40175953] ; [17.40175953 28.59824047],0
p11,1,0.289382,1.122496,[383 109] ; [60 12],[386.44680851 105.55319149] ; [56.55319149 15.44680851],0
p10,1,0.333122,0.936724,[410  75] ; [64  8],[412.72890485  72.27109515] ; [61.27109515 10.72890485],0
v3,1,0.353243,0.861773,[202 271] ; [25 43],[198.4676525 274.5323475] ; [28.5323475 39.4676525],0
v1,1,0.481366,0.495767,[277 201] ; [38 33],[274.26229508 203.73770492] ; [40.73770492 30.26229508],0
n2,1,0.495287,0.465021,[77 20] ; [16  6],[75.80672269 21.19327731] ; [17.19327731  4.80672269],0
p8,1,0.558606,0.342123,[269 213] ; [37 34],[266.7124774 215.2875226] ; [39.2875226 31.7124774],0
s4,1,0.566679,0.328271,[100 384] ; [17 55],[101.84892086 382.15107914] ; [15.15107914 56.84892086],0
b1,1,0.590815,0.289074,[187 305] ; [25 47],[184.93617021 307.06382979] ; [27.06382979 44.93617021],0
b5,1,0.635402,0.224806,[300 192] ; [46 26],[301.82978723 190.17021277] ; [44.17021277 27.82978723],0
v4,1,0.682325,0.167521,[482  10] ; [70  2],[481.53191489  10.46808511] ; [70.46808511  1.53191489],0
n6,1,0.737842,0.112033,[427  61] ; [64  8],[427.87142857  60.12857143] ; [63.12857143  8.87142857],0
d4,1,0.741285,0.109,[414  74] ; [60 12],[413.05714286  74.94285714] ; [60.94285714 11.05714286],0
n1,1,0.745712,0.105169,[40 56] ; [10 12],[40.6779661 55.3220339] ; [ 9.3220339 12.6779661],0
u2,1,0.792283,0.069352,[77 46] ; [18 12],[76.37254902 46.62745098] ; [18.62745098 11.37254902],0
p3,1,0.886848,0.020248,[263 227] ; [38 34],[262.43772242 227.56227758] ; [38.56227758 33.43772242],0
p1,1,0.895444,0.017271,[ 45 442] ; [ 7 65],[ 45.30232558 441.69767442] ; [ 6.69767442 65.30232558],0
u4,1,0.900036,0.015779,[ 15 477] ; [ 2 70],[ 14.82978723 477.17021277] ; [ 2.17021277 69.82978723],0
p12,1,0.90716,0.0136,[ 52 436] ; [ 8 64],[ 52.28571429 435.71428571] ; [ 7.71428571 64.28571429],0
p6,1,0.928352,0.008085,[200 283] ; [29 42],[199.65162455 283.34837545] ; [29.34837545 41.65162455],0
s1,1,0.991799,0.000106,[ 20 463] ; [ 3 69],[ 20.01621622 462.98378378] ; [ 2.98378378 69.01621622],0
s5,1,0.99361,6.4e-05,[211 266] ; [31 39],[211.03107861 265.96892139] ; [30.96892139 39.03107861],0
