Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000162,14.229586,[4 3] ; [249  16],[6.51102941 0.48897059] ; [246.48897059  18.51102941],1
b1,1,0.013411,6.11409,[6 1] ; [104 161],[2.83088235 4.16911765] ; [107.16911765 157.83088235],0
n6,1,0.020703,5.351603,[4 3] ; [228  33],[6.05970149 0.94029851] ; [225.94029851  35.05970149],0
v2,1,0.032395,4.577484,[2 5] ; [169  82],[4.63953488 2.36046512] ; [166.36046512  84.63953488],0
s6,1,0.033184,4.536241,[4 3] ; [222  36],[5.96981132 1.03018868] ; [220.03018868  37.96981132],0
p7,1,0.047375,3.932008,[2 4] ; [180  74],[4.2 1.8] ; [177.8  76.2],0
v4,1,0.048551,3.890816,[6 1] ; [257   6],[6.81851852 0.18148148] ; [256.18148148   6.81851852],0
d5,1,0.085685,2.953625,[4 3] ; [217  46],[5.72962963 1.27037037] ; [215.27037037  47.72962963],0
p6,1,0.100957,2.690361,[1 6] ; [117 140],[3.12878788 3.87121212] ; [114.87121212 142.12878788],0
p11,1,0.113728,2.501641,[4 3] ; [215  50],[5.63602941 1.36397059] ; [213.36397059  51.63602941],0
p9,1,0.18087,1.79046,[5 2] ; [232  31],[6.14444444 0.85555556] ; [230.85555556  32.14444444],0
n1,1,0.199413,1.646667,[4 1] ; [26 26],[2.63157895 2.36842105] ; [27.36842105 24.63157895],0
p4,1,0.203289,1.618584,[3 4] ; [173  89],[4.57992565 2.42007435] ; [171.42007435  90.57992565],0
s1,1,0.23903,1.386306,[1 6] ; [ 12 249],[0.33955224 6.66044776] ; [ 12.66044776 248.33955224],0
d1,1,0.247778,1.335789,[3 4] ; [170  95],[4.45220588 2.54779412] ; [168.54779412  96.45220588],0
d4,1,0.281356,1.160529,[5 2] ; [226  37],[5.98888889 1.01111111] ; [225.01111111  37.98888889],0
p10,1,0.289084,1.123884,[5 2] ; [223  37],[5.97752809 1.02247191] ; [222.02247191  37.97752809],0
s7,1,0.32481,0.969481,[3 3] ; [175  79],[4.10769231 1.89230769] ; [173.89230769  80.10769231],0
d3,1,0.363015,0.827437,[4 3] ; [192  72],[5.06273063 1.93726937] ; [190.93726937  73.06273063],0
p2,1,0.391817,0.733297,[5 2] ; [220  43],[5.83333333 1.16666667] ; [219.16666667  43.83333333],0
p5,1,0.398138,0.713943,[2 5] ; [ 43 218],[1.17537313 5.82462687] ; [ 43.82462687 217.17537313],0
b3,1,0.405397,0.69226,[3 2] ; [ 72 102],[2.09497207 2.90502793] ; [ 72.90502793 101.09497207],0
b2,1,0.405397,0.69226,[3 2] ; [ 72 102],[2.09497207 2.90502793] ; [ 72.90502793 101.09497207],0
r1,1,0.40761,0.68576,[5 2] ; [220  44],[5.81180812 1.18819188] ; [219.18819188  44.81180812],0
a1,1,0.442667,0.58936,[1 6] ; [ 18 247],[0.48897059 6.51102941] ; [ 18.51102941 246.48897059],0
b4,1,0.492384,0.471313,[5 2] ; [155 110],[4.11764706 2.88235294] ; [155.88235294 109.11764706],0
a7,1,0.521788,0.410357,[4 3] ; [181  83],[4.77859779 2.22140221] ; [180.22140221  83.77859779],0
a5,1,0.545765,0.364958,[6 1] ; [201  64],[5.32720588 1.67279412] ; [201.67279412  63.32720588],0
b5,1,0.554662,0.349032,[5 2] ; [160 105],[4.24632353 2.75367647] ; [160.75367647 104.24632353],0
v3,1,0.61252,0.256522,[3 4] ; [134 121],[3.66030534 3.33969466] ; [133.33969466 121.66030534],0
d2,1,0.62261,0.242216,[3 4] ; [138 126],[3.64206642 3.35793358] ; [137.35793358 126.64206642],0
a3,1,0.626815,0.236405,[6 1] ; [206  58],[5.47601476 1.52398524] ; [206.52398524  57.47601476],0
n3,1,0.650323,0.205493,[3 2] ; [37 16],[3.44827586 1.55172414] ; [36.55172414 16.44827586],0
s8,1,0.66671,0.185475,[4 3] ; [171  92],[4.53703704 2.46296296] ; [170.46296296  92.53703704],0
u1,1,0.692048,0.156877,[1 6] ; [ 54 211],[1.41544118 5.58455882] ; [ 53.58455882 211.41544118],0
s5,1,0.693923,0.154871,[3 4] ; [127 125],[3.51351351 3.48648649] ; [126.48648649 125.51351351],0
a6,1,0.695703,0.152981,[5 2] ; [169  94],[4.51111111 2.48888889] ; [169.48888889  93.51111111],0
s4,1,0.738585,0.111374,[1 6] ; [ 51 213],[1.34317343 5.65682657] ; [ 50.65682657 213.34317343],0
a4,1,0.768696,0.086484,[3 4] ; [128 136],[3.38376384 3.61623616] ; [127.61623616 136.38376384],0
n4,1,0.788201,0.072172,[6 1] ; [215  48],[5.72962963 1.27037037] ; [215.27037037  47.72962963],0
n5,1,0.806572,0.059952,[6 1] ; [216  47],[5.75555556 1.24444444] ; [216.24444444  46.75555556],0
p1,1,0.813585,0.055603,[1 6] ; [ 30 233],[0.8037037 6.1962963] ; [ 30.1962963 232.8037037],0
s2,1,0.851049,0.035261,[6 1] ; [220  45],[5.81617647 1.18382353] ; [220.18382353  44.81617647],0
n2,1,0.879832,0.022856,[4 1] ; [43  9],[4.12280702 0.87719298] ; [42.87719298  9.12280702],0
p3,1,0.940589,0.005555,[4 3] ; [146 116],[3.90334572 3.09665428] ; [146.09665428 115.90334572],0
p12,1,0.946539,0.004496,[1 6] ; [ 35 226],[0.94029851 6.05970149] ; [ 35.05970149 225.94029851],0
a2,1,0.952271,0.003583,[2 5] ; [ 73 192],[1.93014706 5.06985294] ; [ 73.06985294 191.93014706],0
p8,1,0.986163,0.000301,[4 3] ; [150 111],[4.02238806 2.97761194] ; [149.97761194 111.02238806],0
