Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.769697,[84 15] ; [ 6 12],[76.15384615 22.84615385] ; [13.84615385  4.15384615],1
a5,1,8e-06,19.857108,[71 28] ; [ 3 15],[62.61538462 36.38461538] ; [11.38461538  6.61538462],1
r4,1,0.001109,10.636364,[92  7] ; [12  6],[88. 11.] ; [16.  2.],0
a3,1,0.004213,8.189532,[68 31] ; [ 6 12],[62.61538462 36.38461538] ; [11.38461538  6.61538462],0
p10,1,0.005276,7.782269,[79 19] ; [9 9],[74.34482759 23.65517241] ; [13.65517241  4.34482759],0
r1,1,0.007074,7.25415,[79 20] ; [9 9],[74.46153846 24.53846154] ; [13.53846154  4.46153846],0
p9,1,0.011846,6.333807,[85 14] ; [11  7],[81.23076923 17.76923077] ; [14.76923077  3.23076923],0
s6,1,0.0157,5.836217,[71 26] ; [ 8 10],[66.63478261 30.36521739] ; [12.36521739  5.63478261],0
r2,1,0.016592,5.739023,[95  3] ; [15  3],[92.93103448  5.06896552] ; [17.06896552  0.93103448],0
a4,1,0.035895,4.402102,[48 50] ; [ 4 14],[43.93103448 54.06896552] ; [8.06896552 9.93103448],0
d1,1,0.039145,4.254545,[59 40] ; [ 6 12],[55. 44.] ; [10.  8.],0
p4,1,0.048831,3.881141,[63 36] ; [ 7 11],[59.23076923 39.76923077] ; [10.76923077  7.23076923],0
b5,1,0.049475,3.859147,[65 34] ; [16  2],[68.53846154 30.46153846] ; [12.46153846  5.53846154],0
n5,1,0.064457,3.418831,[80 19] ; [11  7],[77. 22.] ; [14.  4.],0
v1,1,0.07784,3.109431,[60 38] ; [ 7 11],[56.60344828 41.39655172] ; [10.39655172  7.60344828],0
b1,1,0.10296,2.659091,[30 69] ; [9 9],[33. 66.] ; [ 6. 12.],0
s5,1,0.106549,2.604675,[36 59] ; [ 3 14],[33.08035714 61.91964286] ; [ 5.91964286 11.08035714],0
v4,1,0.118944,2.431169,[96  3] ; [16  2],[94.76923077  4.23076923] ; [17.23076923  0.76923077],0
r3,1,0.120341,2.412879,[93  6] ; [15  3],[91.38461538  7.61538462] ; [16.61538462  1.38461538],0
s7,1,0.129749,2.29551,[53 43] ; [ 6 11],[50.12389381 45.87610619] ; [8.87610619 8.12389381],0
d2,1,0.206327,1.597014,[49 50] ; [ 6 12],[46.53846154 52.46153846] ; [8.46153846 9.53846154],0
p11,1,0.217698,1.519481,[79 20] ; [12  6],[77. 22.] ; [14.  4.],0
