Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3e-06,21.71788,[31 30] ; [ 6 50],[19.29059829 41.70940171] ; [17.70940171 38.29059829],1
d5,1,1.1e-05,19.310058,[48 14] ; [21 35],[36.25423729 25.74576271] ; [32.74576271 23.25423729],1
a3,1,1.5e-05,18.761766,[47 14] ; [21 35],[35.45299145 25.54700855] ; [32.54700855 23.45299145],1
a6,1,0.000209,13.748869,[40 22] ; [17 39],[29.94915254 32.05084746] ; [27.05084746 28.94915254],1
d2,1,0.000445,12.332657,[31 30] ; [11 45],[21.8974359 39.1025641] ; [20.1025641 35.8974359],1
d1,1,0.002257,9.328055,[30 32] ; [12 44],[22.06779661 39.93220339] ; [19.93220339 36.06779661],0
d4,1,0.01155,6.378694,[46 16] ; [29 27],[39.40677966 22.59322034] ; [35.59322034 20.40677966],0
s7,1,0.023411,5.137749,[20 36] ; [ 9 45],[14.76363636 41.23636364] ; [14.23636364 39.76363636],0
p4,1,0.030661,4.671851,[26 35] ; [13 42],[20.50862069 40.49137931] ; [18.49137931 36.50862069],0
d3,1,0.031754,4.611739,[36 26] ; [21 34],[30.20512821 31.79487179] ; [26.79487179 28.20512821],0
u1,1,0.040286,4.205789,[ 7 55] ; [ 1 55],[ 4.20338983 57.79661017] ; [ 3.79661017 52.20338983],0
n4,1,0.05903,3.56442,[42 19] ; [29 27],[37.01709402 23.98290598] ; [33.98290598 22.01709402],0
b4,1,0.05938,3.554611,[28 34] ; [35 21],[33.10169492 28.89830508] ; [29.89830508 26.10169492],0
p5,1,0.063375,3.44677,[ 6 54] ; [ 1 55],[ 3.62068966 56.37931034] ; [ 3.37931034 52.62068966],0
p3,1,0.067899,3.333098,[18 41] ; [ 9 47],[13.85217391 45.14782609] ; [13.14782609 42.85217391],0
p11,1,0.095158,2.784874,[35 27] ; [23 33],[30.47457627 31.52542373] ; [27.52542373 28.47457627],0
n5,1,0.102018,2.673703,[43 17] ; [32 24],[38.79310345 21.20689655] ; [36.20689655 19.79310345],0
v1,1,0.115741,2.47403,[24 35] ; [15 41],[20.00869565 38.99130435] ; [18.99130435 37.00869565],0
a8,1,0.11708,2.455949,[ 5 53] ; [ 1 52],[ 3.13513514 54.86486486] ; [ 2.86486486 50.13513514],0
n1,1,0.145244,2.121505,[13 16] ; [ 8 22],[10.3220339 18.6779661] ; [10.6779661 19.3220339],0
a7,1,0.158812,1.985501,[33 28] ; [23 33],[29.1965812 31.8034188] ; [26.8034188 29.1965812],0
p9,1,0.16504,1.927427,[36 22] ; [27 28],[32.33628319 25.66371681] ; [30.66371681 24.33628319],0
a1,1,0.201463,1.631735,[ 9 53] ; [ 4 52],[ 6.83050847 55.16949153] ; [ 6.16949153 49.83050847],0
s8,1,0.220858,1.49879,[13 49] ; [ 7 49],[10.50847458 51.49152542] ; [ 9.49152542 46.50847458],0
n6,1,0.23629,1.402595,[37 22] ; [29 27],[33.86086957 25.13913043] ; [32.13913043 23.86086957],0
s6,1,0.292118,1.109833,[21 41] ; [14 42],[18.38983051 43.61016949] ; [16.61016949 39.38983051],0
p2,1,0.293153,1.105084,[29 30] ; [33 23],[31.80869565 27.19130435] ; [30.19130435 25.80869565],0
v3,1,0.297524,1.085257,[17 44] ; [11 45],[14.5982906 46.4017094] ; [13.4017094 42.5982906],0
p6,1,0.416397,0.660462,[12 47] ; [ 8 47],[10.35087719 48.64912281] ; [ 9.64912281 45.35087719],0
b5,1,0.424991,0.636474,[32 30] ; [33 23],[34.15254237 27.84745763] ; [30.84745763 25.15254237],0
s4,1,0.454832,0.558582,[ 8 54] ; [10 46],[ 9.45762712 52.54237288] ; [ 8.54237288 47.45762712],0
u2,1,0.479018,0.501099,[ 5 10] ; [15 19],[6.12244898 8.87755102] ; [13.87755102 20.12244898],0
b1,1,0.482971,0.492147,[35 27] ; [28 28],[33.10169492 28.89830508] ; [29.89830508 26.10169492],0
v4,1,0.491367,0.473531,[35 26] ; [35 20],[36.81034483 24.18965517] ; [33.18965517 21.81034483],0
p12,1,0.599748,0.275376,[ 2 58] ; [ 1 55],[ 1.55172414 58.44827586] ; [ 1.44827586 54.55172414],0
u3,1,0.624065,0.240196,[5 9] ; [10 25],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
s2,1,0.705922,0.142384,[16 45] ; [13 43],[15.11965812 45.88034188] ; [13.88034188 42.11965812],0
s3,1,0.715574,0.132773,[20 41] ; [16 38],[19.09565217 41.90434783] ; [16.90434783 37.09565217],0
r1,1,0.725393,0.123384,[17 44] ; [14 42],[16.16239316 44.83760684] ; [14.83760684 41.16239316],0
v2,1,0.742619,0.107838,[21 39] ; [17 36],[20.17699115 39.82300885] ; [17.82300885 35.17699115],0
p1,1,0.850602,0.035476,[ 5 57] ; [ 4 52],[ 4.72881356 57.27118644] ; [ 4.27118644 51.72881356],0
p10,1,0.861561,0.030411,[31 28] ; [28 27],[30.53508772 28.46491228] ; [28.46491228 26.53508772],0
r2,1,0.876067,0.024323,[32 26] ; [29 25],[31.58928571 26.41071429] ; [29.41071429 24.58928571],0
s1,1,0.88752,0.020006,[ 5 56] ; [ 5 51],[ 5.21367521 55.78632479] ; [ 4.78632479 51.21367521],0
b2,1,0.903906,0.014575,[14 25] ; [10 19],[13.76470588 25.23529412] ; [10.23529412 18.76470588],0
b3,1,0.903906,0.014575,[14 25] ; [10 19],[13.76470588 25.23529412] ; [10.23529412 18.76470588],0
n3,1,0.907989,0.013358,[16 13] ; [17 13],[16.22033898 12.77966102] ; [16.77966102 13.22033898],0
n2,1,0.907989,0.013358,[16 13] ; [17 13],[16.22033898 12.77966102] ; [16.77966102 13.22033898],0
p7,1,0.927391,0.008304,[21 37] ; [20 34],[21.23214286 36.76785714] ; [19.76785714 34.23214286],0
p8,1,0.966598,0.001754,[18 42] ; [17 39],[18.10344828 41.89655172] ; [16.89655172 39.10344828],0
r3,1,0.979505,0.00066,[32 28] ; [30 26],[32.06896552 27.93103448] ; [29.93103448 26.06896552],0
