Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,78.99095,[244  42] ; [11 33],[221.  65.] ; [34. 10.],1
r2,1,0.0,54.789792,[266  19] ; [22 19],[251.7791411  33.2208589] ; [36.2208589  4.7791411],1
r3,1,0.0,45.220055,[262  22] ; [24 19],[248.39143731  35.60856269] ; [37.60856269  5.39143731],1
p2,1,0.0,33.394108,[205  81] ; [12 32],[188.06666667  97.93333333] ; [28.93333333 15.06666667],1
p9,1,0.0,27.621017,[213  63] ; [16 26],[198.75471698  77.24528302] ; [30.24528302 11.75471698],1
p10,1,1e-06,24.417908,[200  82] ; [14 29],[185.68615385  96.31384615] ; [28.31384615 14.68615385],1
n6,1,1e-06,23.200065,[225  61] ; [19 24],[212.10942249  73.89057751] ; [31.89057751 11.10942249],1
r1,1,3e-06,21.991102,[215  70] ; [18 26],[201.83890578  83.16109422] ; [31.16109422 12.83890578],1
s6,1,1e-05,19.488781,[158 123] ; [ 9 35],[144.39076923 136.60923077] ; [22.60923077 21.39076923],1
d3,1,0.000206,13.778908,[180 103] ; [15 29],[168.76146789 114.23853211] ; [26.23853211 17.76146789],1
a1,1,0.000243,13.46284,[  9 277] ; [ 7 37],[ 13.86666667 272.13333333] ; [ 2.13333333 41.86666667],1
p11,1,0.000314,12.987367,[202  84] ; [19 25],[191.53333333  94.46666667] ; [29.46666667 14.53333333],1
s2,1,0.000688,11.521747,[121 162] ; [ 7 37],[110.77675841 172.22324159] ; [17.22324159 26.77675841],1
p7,1,0.000835,11.161395,[108 164] ; [ 6 38],[ 98.12658228 173.87341772] ; [15.87341772 28.12658228],1
p1,1,0.000954,10.914366,[  8 276] ; [ 6 38],[ 12.12195122 271.87804878] ; [ 1.87804878 42.12195122],1
a6,1,0.001388,10.222059,[188  97] ; [18 26],[178.44984802 106.55015198] ; [27.55015198 16.44984802],0
u3,1,0.001705,9.842244,[53 51] ; [ 2 16],[46.8852459 57.1147541] ; [8.1147541 9.8852459],0
s3,1,0.002796,8.936201,[141 141] ; [11 32],[131.88923077 150.11076923] ; [20.11076923 22.88923077],0
b5,1,0.002989,8.814321,[184 102] ; [18 26],[175.06666667 110.93333333] ; [26.93333333 17.06666667],0
v2,1,0.006681,7.356803,[127 139] ; [11 32],[118.7961165 147.2038835] ; [19.2038835 23.7961165],0
s8,1,0.009421,6.74118,[ 86 199] ; [ 5 39],[ 78.82978723 206.17021277] ; [12.17021277 31.82978723],0
u2,1,0.010684,6.517094,[57 47] ; [ 4 14],[52. 52.] ; [9. 9.],0
b1,1,0.016142,5.787336,[ 96 190] ; [23 21],[103.13333333 182.86666667] ; [15.86666667 28.13333333],0
n2,1,0.016243,5.776351,[75 27] ; [11 12],[70.176 31.824] ; [15.824  7.176],0
a5,1,0.021136,5.315582,[176 110] ; [19 25],[169. 117.] ; [26. 18.],0
a7,1,0.024764,5.040329,[197  87] ; [23 21],[190.48780488  93.51219512] ; [29.51219512 14.48780488],0
d5,1,0.025447,4.993189,[208  76] ; [25 19],[201.74390244  82.25609756] ; [31.25609756 12.74390244],0
p8,1,0.028872,4.775203,[ 84 196] ; [ 6 37],[ 78.01857585 201.98142415] ; [11.98142415 31.01857585],0
v1,1,0.039637,4.233345,[110 168] ; [10 33],[103.92523364 174.07476636] ; [16.07476636 26.92523364],0
v3,1,0.040154,4.211379,[ 85 189] ; [ 7 37],[ 79.27044025 194.72955975] ; [12.72955975 31.27044025],0
