Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,308.141671,[ 58 218] ; [300  28],[163.58940397 112.41059603] ; [194.41059603 133.58940397],1
s7,1,0.0,130.749548,[ 77 190] ; [242  76],[145.59487179 121.40512821] ; [173.40512821 144.59487179],1
s6,1,0.0,112.97423,[141 134] ; [294  32],[199.04326123  75.95673877] ; [235.95673877  90.04326123],1
s8,1,0.0,71.734867,[ 88 191] ; [216 111],[139.96039604 139.03960396] ; [164.03960396 162.96039604],1
s5,1,0.0,54.350818,[ 59 214] ; [161 154],[102.14285714 170.85714286] ; [117.85714286 197.14285714],1
s4,1,2e-05,18.161503,[ 27 250] ; [ 74 251],[ 46.47342193 230.52657807] ; [ 54.52657807 270.47342193],1
p6,1,0.000471,12.226802,[ 90 187] ; [152 175],[110.98344371 166.01655629] ; [131.01655629 195.98344371],1
p12,1,0.000598,11.781217,[ 15 264] ; [ 45 283],[ 27.57825371 251.42174629] ; [ 32.42174629 295.57825371],1
d2,1,0.001463,10.125216,[123 157] ; [186 141],[142.53706755 137.46293245] ; [166.46293245 160.53706755],0
u1,1,0.001561,10.005365,[ 43 237] ; [ 85 244],[ 58.85057471 221.14942529] ; [ 69.14942529 259.85057471],0
a2,1,0.00371,8.420749,[ 60 220] ; [105 224],[ 75.86206897 204.13793103] ; [ 89.13793103 239.86206897],0
r2,1,0.003986,8.290187,[264  13] ; [324   3],[269.66225166   7.33774834] ; [318.33774834   8.66225166],0
d1,1,0.004342,8.134954,[162 118] ; [227 102],[178.85057471 101.14942529] ; [210.14942529 118.85057471],0
p4,1,0.004732,7.979093,[162 117] ; [226 101],[178.63366337 100.36633663] ; [209.36633663 117.63366337],0
n5,1,0.004892,7.918801,[203  75] ; [269  57],[217.24503311  60.75496689] ; [254.75496689  71.24503311],0
a3,1,0.007512,7.146226,[197  81] ; [263  65],[211.02310231  66.97689769] ; [248.97689769  79.02310231],0
d4,1,0.01655,5.743491,[230  50] ; [290  36],[240.2640264  39.7359736] ; [279.7359736  46.2640264],0
a4,1,0.018285,5.568664,[122 156] ; [176 153],[136.48105437 141.51894563] ; [161.51894563 167.48105437],0
r3,1,0.024167,5.082642,[267  13] ; [322   5],[271.69686985   8.30313015] ; [317.30313015   9.69686985],0
s1,1,0.026025,4.954348,[  4 274] ; [ 15 310],[  8.75953566 269.24046434] ; [ 10.24046434 314.75953566],0
u4,1,0.026792,4.904144,[  3 277] ; [ 13 316],[  7.35632184 272.64367816] ; [  8.64367816 320.35632184],0
u3,1,0.028828,4.777883,[45 38] ; [46 18],[51.38095238 31.61904762] ; [39.61904762 24.38095238],0
v4,1,0.031259,4.638673,[268  11] ; [324   4],[272.10543657   6.89456343] ; [319.89456343   8.10543657],0
n6,1,0.032633,4.564937,[235  45] ; [290  33],[243.78109453  36.21890547] ; [281.21890547  41.78109453],0
n4,1,0.045709,3.992274,[213  67] ; [271  57],[222.89473684  57.10526316] ; [261.10526316  66.89473684],0
p11,1,0.052725,3.752608,[242  38] ; [265  64],[233.10344828  46.89655172] ; [273.89655172  55.10344828],0
v3,1,0.071214,3.25481,[103 167] ; [143 171],[113.73287671 156.26712329] ; [132.26712329 181.73287671],0
n1,1,0.073496,3.203164,[16 41] ; [28 36],[20.72727273 36.27272727] ; [23.27272727 40.72727273],0
r4,1,0.08261,3.012799,[267  13] ; [322   7],[270.8045977   9.1954023] ; [318.1954023  10.8045977],0
b1,1,0.087143,2.926377,[ 87 193] ; [124 205],[ 97.01149425 182.98850575] ; [113.98850575 215.01149425],0
p10,1,0.103191,2.655518,[251  29] ; [307  22],[256.55172414  23.44827586] ; [301.44827586  27.55172414],0
n3,1,0.105013,2.627712,[38 19] ; [51 13],[41.92561983 15.07438017] ; [47.07438017 16.92561983],0
n2,1,0.118593,2.43581,[39 19] ; [51 13],[42.78688525 15.21311475] ; [47.21311475 16.78688525],0
b2,1,0.168088,1.899915,[ 60 107] ; [ 86 114],[ 66.4359673 100.5640327] ; [ 79.5640327 120.4359673],0
b3,1,0.168088,1.899915,[ 60 107] ; [ 86 114],[ 66.4359673 100.5640327] ; [ 79.5640327 120.4359673],0
d5,1,0.169555,1.886875,[229  51] ; [280  46],[235.18151815  44.81848185] ; [273.81848185  52.18151815],0
a8,1,0.206528,1.595598,[ 32 215] ; [ 51 252],[ 37.27454545 209.72545455] ; [ 45.72545455 257.27454545],0
a6,1,0.210955,1.564859,[207  73] ; [226 100],[200.0660066  79.9339934] ; [232.9339934  93.0660066],0
a5,1,0.219757,1.505955,[215  65] ; [266  63],[221.14942529  58.85057471] ; [259.85057471  69.14942529],0
v1,1,0.220174,1.503238,[153 121] ; [194 125],[160.33389545 113.66610455] ; [186.66610455 132.33389545],0
p7,1,0.221591,1.494037,[182  93] ; [226  93],[188.88888889  86.11111111] ; [219.11111111  99.88888889],0
p3,1,0.228014,1.453209,[142 137] ; [183 145],[149.38220758 129.61779242] ; [175.61779242 152.38220758],0
p1,1,0.251518,1.31485,[ 20 259] ; [ 32 295],[ 23.94059406 255.05940594] ; [ 28.05940594 298.94059406],0
p5,1,0.398001,0.714358,[ 33 246] ; [ 46 279],[ 36.49172185 242.50827815] ; [ 42.50827815 282.49172185],0
a7,1,0.400909,0.705599,[206  74] ; [251  77],[210.46052632  69.53947368] ; [246.53947368  81.46052632],0
a1,1,0.431936,0.617612,[ 10 270] ; [ 16 313],[ 11.95402299 268.04597701] ; [ 14.04597701 314.95402299],0
p8,1,0.513982,0.425953,[162 113] ; [184 143],[158.05647841 116.94352159] ; [187.94352159 139.05647841],0
d3,1,0.547002,0.362716,[202  78] ; [243  84],[205.27182867  74.72817133] ; [239.72817133  87.27182867],0
p2,1,0.6644,0.188223,[244  34] ; [284  44],[242.21782178  35.78217822] ; [285.78217822  42.21782178],0
b5,1,0.686567,0.162827,[164 116] ; [198 131],[166.43678161 113.56321839] ; [195.56321839 133.43678161],0
v2,1,0.702114,0.146282,[162 105] ; [196 119],[164.2371134 102.7628866] ; [193.7628866 121.2371134],0
u2,1,0.875826,0.024418,[49 34] ; [38 25],[49.45890411 33.54109589] ; [37.54109589 25.45890411],0
b4,1,0.929306,0.007871,[159 121] ; [188 141],[159.54022989 120.45977011] ; [187.45977011 141.54022989],0
