Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.099664,[495   9] ; [83 11],[487.14381271  16.85618729] ; [90.85618729  3.14381271],1
p8,1,4.4e-05,16.687594,[307 192] ; [37 58],[288.98316498 210.01683502] ; [55.01683502 39.98316498],1
r4,1,0.001207,10.480106,[490  16] ; [85 10],[484.10981697  21.89018303] ; [90.89018303  4.10981697],0
n5,1,0.001479,10.104239,[410  93] ; [63 31],[398.52428811 104.47571189] ; [74.47571189 19.52428811],0
n4,1,0.002517,9.128116,[419  87] ; [66 29],[408.33610649  97.66389351] ; [76.66389351 18.33610649],0
p3,1,0.008852,6.852474,[283 221] ; [39 55],[271.38461538 232.61538462] ; [50.61538462 43.38461538],0
b1,1,0.009177,6.788055,[174 332] ; [46 49],[185.22462562 320.77537438] ; [34.77537438 60.22462562],0
p2,1,0.00983,6.665482,[446  58] ; [74 20],[438.26086957  65.73913043] ; [81.73913043 12.26086957],0
p4,1,0.0113,6.417573,[336 167] ; [50 44],[325.22278057 177.77721943] ; [60.77721943 33.22278057],0
p9,1,0.012568,6.228865,[480  25] ; [84 11],[474.7  30.3] ; [89.3  5.7],0
n6,1,0.022878,5.17777,[448  55] ; [75 18],[441.3909396  61.6090604] ; [81.6090604 11.3909396],0
p7,1,0.024252,5.076546,[352 140] ; [55 37],[342.88356164 149.11643836] ; [64.11643836 27.88356164],0
s1,1,0.039178,4.253136,[ 12 487] ; [ 6 88],[ 15.14671164 483.85328836] ; [ 2.85328836 91.14671164],0
v1,1,0.039831,4.225064,[293 197] ; [46 49],[283.94871795 206.05128205] ; [55.05128205 39.94871795],0
u2,1,0.047554,3.925676,[81 43] ; [10 13],[76.76190476 47.23809524] ; [14.23809524  8.76190476],0
b2,1,0.048247,3.90136,[127 186] ; [12 35],[120.85277778 192.14722222] ; [18.14722222 28.85277778],0
b3,1,0.048247,3.90136,[127 186] ; [12 35],[120.85277778 192.14722222] ; [18.14722222 28.85277778],0
p5,1,0.077265,3.121508,[ 71 431] ; [ 7 87],[ 65.69798658 436.30201342] ; [12.30201342 81.69798658],0
p12,1,0.092488,2.830526,[ 55 449] ; [ 5 90],[ 50.48414023 453.51585977] ; [ 9.51585977 85.48414023],0
a5,1,0.104619,2.633675,[405 101] ; [69 26],[399.07487521 106.92512479] ; [74.92512479 20.07487521],0
a6,1,0.145351,2.120369,[366 138] ; [62 33],[360.12020033 143.87979967] ; [67.87979967 27.12020033],0
s4,1,0.148672,2.085822,[ 80 419] ; [21 74],[ 84.84680135 414.15319865] ; [16.15319865 78.84680135],0
v4,1,0.190104,1.716808,[492  10] ; [91  4],[490.2278057  11.7721943] ; [92.7721943  2.2278057],0
