Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,95.283005,[137   3] ; [48 63],[103.187251  36.812749] ; [81.812749 29.187251],1
d4,1,0.0,80.983483,[136   3] ; [55 57],[105.77290837  33.22709163] ; [85.22709163 26.77290837],1
d2,1,0.0,76.788527,[98 40] ; [17 94],[63.73493976 74.26506024] ; [51.26506024 59.73493976],1
d3,1,0.0,59.780194,[118  22] ; [41 70],[88.68525896 51.31474104] ; [70.31474104 40.68525896],1
a5,1,1e-06,25.207943,[111  29] ; [55 57],[92.22222222 47.77777778] ; [73.77777778 38.22222222],1
a4,1,1e-06,23.326059,[74 65] ; [26 86],[55.37848606 83.62151394] ; [44.62151394 67.37848606],1
a2,1,1e-05,19.467771,[ 39 101] ; [  7 105],[ 25.55555556 114.44444444] ; [20.44444444 91.55555556],1
r1,1,9.9e-05,15.157018,[111  28] ; [64 48],[96.9123506 42.0876494] ; [78.0876494 33.9123506],1
a3,1,0.000127,14.683123,[106  33] ; [59 52],[91.74 47.26] ; [73.26 37.74],1
a6,1,0.00023,13.57086,[106  34] ; [60 52],[92.22222222 47.77777778] ; [73.77777778 38.22222222],1
u1,1,0.000704,11.47812,[ 26 114] ; [  5 107],[ 17.22222222 122.77777778] ; [13.77777778 98.22222222],1
v2,1,0.001902,9.64212,[85 52] ; [45 62],[72.99180328 64.00819672] ; [57.00819672 49.99180328],0
a7,1,0.004239,8.178354,[105  34] ; [65 46],[94.52 44.48] ; [75.48 35.52],0
n4,1,0.005386,7.745146,[114  26] ; [74 38],[104.44444444  35.55555556] ; [83.55555556 28.44444444],0
r2,1,0.008294,6.9688,[128   7] ; [95 17],[121.88259109  13.11740891] ; [101.11740891  10.88259109],0
v3,1,0.010432,6.559546,[56 77] ; [29 81],[46.52263374 86.47736626] ; [38.47736626 71.52263374],0
s8,1,0.022325,5.220249,[ 38 102] ; [17 95],[ 30.55555556 109.44444444] ; [24.44444444 87.55555556],0
p10,1,0.034282,4.48059,[110  29] ; [74 36],[102.71485944  36.28514056] ; [81.28514056 28.71485944],0
p8,1,0.03776,4.315783,[74 65] ; [44 66],[65.87148594 73.12851406] ; [52.12851406 57.87148594],0
v1,1,0.066859,3.358497,[68 70] ; [41 68],[60.89878543 77.10121457] ; [48.10121457 60.89878543],0
b5,1,0.078254,3.100794,[72 68] ; [70 42],[78.88888889 61.11111111] ; [63.11111111 48.88888889],0
s4,1,0.087788,2.914479,[  7 133] ; [ 12 100],[ 10.55555556 129.44444444] ; [  8.44444444 103.55555556],0
r3,1,0.091623,2.84563,[131   8] ; [98 13],[127.324  11.676] ; [101.676   9.324],0
u3,1,0.11562,2.475678,[18 16] ; [19 34],[14.45977011 19.54022989] ; [22.54022989 30.45977011],0
s5,1,0.118344,2.439101,[ 23 113] ; [11 99],[ 18.79674797 117.20325203] ; [15.20325203 94.79674797],0
r4,1,0.131912,2.269853,[118  22] ; [86 26],[113.33333333  26.66666667] ; [90.66666667 21.33333333],0
b3,1,0.167631,1.904004,[40 44] ; [26 45],[35.76774194 48.23225806] ; [30.23225806 40.76774194],0
b2,1,0.167631,1.904004,[40 44] ; [26 45],[35.76774194 48.23225806] ; [30.23225806 40.76774194],0
p9,1,0.170258,1.880671,[109  27] ; [80 30],[104.48780488  31.51219512] ; [84.51219512 25.48780488],0
b1,1,0.185877,1.75,[45 95] ; [45 67],[50. 90.] ; [40. 72.],0
u2,1,0.209449,1.575233,[17 16] ; [20 33],[14.19767442 18.80232558] ; [22.80232558 30.19767442],0
p5,1,0.22616,1.464852,[ 10 129] ; [  4 106],[  7.81526104 131.18473896] ; [  6.18473896 103.81526104],0
n5,1,0.231048,1.4344,[105  34] ; [77 35],[100.78884462  38.21115538] ; [81.21115538 30.78884462],0
p11,1,0.292902,1.106234,[115  25] ; [86 26],[111.66666667  28.33333333] ; [89.33333333 22.66666667],0
n2,1,0.293344,1.10421,[24 12] ; [22  6],[25.875 10.125] ; [20.125  7.875],0
p1,1,0.311753,1.023235,[  9 131] ; [ 11 100],[ 11.15537849 128.84462151] ; [  8.84462151 102.15537849],0
v4,1,0.315007,1.009565,[132   8] ; [101  10],[129.96015936  10.03984064] ; [103.03984064   7.96015936],0
n1,1,0.330708,0.946123,[10 26] ; [11 17],[11.8125 24.1875] ; [ 9.1875 18.8125],0
p4,1,0.338484,0.916166,[70 68] ; [50 62],[66.24 71.76] ; [53.76 58.24],0
p6,1,0.365061,0.820409,[41 97] ; [27 83],[ 37.83870968 100.16129032] ; [30.16129032 79.83870968],0
n3,1,0.369609,0.804979,[25 12] ; [21  6],[26.59375 10.40625] ; [19.40625  7.59375],0
s7,1,0.46234,0.540223,[35 98] ; [24 84],[ 32.56016598 100.43983402] ; [26.43983402 81.56016598],0
p7,1,0.481437,0.495607,[82 57] ; [60 50],[79.26907631 59.73092369] ; [62.73092369 47.26907631],0
a1,1,0.492893,0.470204,[  3 137] ; [  4 108],[  3.88888889 136.11111111] ; [  3.11111111 108.88888889],0
s2,1,0.597652,0.278552,[ 27 111] ; [19 93],[ 25.392 112.608] ; [20.608 91.392],0
p12,1,0.738104,0.1118,[  4 136] ; [  4 107],[  4.46215139 135.53784861] ; [  3.53784861 107.46215139],0
a8,1,0.795459,0.067199,[ 14 109] ; [13 91],[ 14.62995595 108.37004405] ; [12.37004405 91.62995595],0
b4,1,0.842841,0.039307,[78 62] ; [61 51],[77.22222222 62.77777778] ; [61.77777778 50.22222222],0
s3,1,0.954428,0.003266,[ 34 104] ; [27 84],[ 33.80722892 104.19277108] ; [27.19277108 83.80722892],0
p3,1,0.969732,0.00144,[58 81] ; [47 65],[58.14741036 80.85258964] ; [46.85258964 65.14741036],0
p2,1,0.999003,2e-06,[111  29] ; [88 23],[110.99601594  29.00398406] ; [88.00398406 22.99601594],0
