Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.006826,7.31824,[25 10] ; [ 5 11],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
p10,1,0.01087,6.486528,[30  4] ; [9 7],[26.52  7.48] ; [12.48  3.52],0
a6,1,0.012094,6.297099,[22 13] ; [ 4 12],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
p6,1,0.040968,4.177323,[19 15] ; [ 4 12],[15.64 18.36] ; [7.36 8.64],0
n4,1,0.059063,3.563491,[23 12] ; [ 6 10],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
p8,1,0.078609,3.093434,[17 16] ; [ 4 12],[14.14285714 18.85714286] ; [6.85714286 9.14285714],0
a7,1,0.092056,2.83805,[24 11] ; [7 9],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
n6,1,0.156814,2.004682,[30  5] ; [11  5],[28.1372549  6.8627451] ; [12.8627451  3.1372549],0
s8,1,0.159755,1.976544,[16 19] ; [ 4 12],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
d1,1,0.1929,1.69533,[20 15] ; [ 6 10],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
r2,1,0.197029,1.664259,[27  7] ; [15  1],[28.56  5.44] ; [13.44  2.56],0
b1,1,0.201111,1.63429,[13 22] ; [9 7],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
s3,1,0.203076,1.620113,[24 11] ; [8 8],[21.96078431 13.03921569] ; [10.03921569  5.96078431],0
a4,1,0.203076,1.620113,[11 24] ; [8 8],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
a3,1,0.207712,1.587302,[23 12] ; [7 8],[21. 14.] ; [9. 6.],0
p7,1,0.265948,1.23753,[20 13] ; [7 9],[18.18367347 14.81632653] ; [8.81632653 7.18367347],0
d2,1,0.286179,1.137512,[12 23] ; [8 8],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
a1,1,0.294211,1.100249,[ 6 29] ; [ 1 15],[ 4.80392157 30.19607843] ; [ 2.19607843 13.80392157],0
u2,1,0.308512,1.037037,[8 4] ; [4 5],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
u3,1,0.308512,1.037037,[8 4] ; [4 5],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
p5,1,0.363082,0.827206,[ 8 26] ; [ 2 14],[ 6.8 27.2] ; [ 3.2 12.8],0
n2,1,0.372374,0.795726,[11  2] ; [4 2],[10.26315789  2.73684211] ; [4.73684211 1.26315789],0
b5,1,0.373934,0.790551,[15 20] ; [9 7],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
s4,1,0.392899,0.729951,[11 24] ; [7 9],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
u1,1,0.40295,0.699506,[ 2 33] ; [ 2 14],[ 2.74509804 32.25490196] ; [ 1.25490196 14.74509804],0
v2,1,0.412589,0.671329,[16 16] ; [ 6 10],[14.66666667 17.33333333] ; [7.33333333 8.66666667],0
v4,1,0.421051,0.647379,[32  2] ; [14  2],[31.28  2.72] ; [14.72  1.28],0
p4,1,0.503454,0.447649,[21 14] ; [8 8],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
b4,1,0.514453,0.425,[28  7] ; [14  2],[28.82352941  6.17647059] ; [13.17647059  2.82352941],0
s2,1,0.523373,0.40724,[27  8] ; [11  5],[26.07843137  8.92156863] ; [11.92156863  4.07843137],0
s7,1,0.575403,0.313725,[20 14] ; [7 7],[19.125 14.875] ; [7.875 6.125],0
d5,1,0.586412,0.295982,[26  9] ; [13  3],[26.76470588  8.23529412] ; [12.23529412  3.76470588],0
