Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.1e-05,16.059644,[ 6 20] ; [30 11],[13.97014925 12.02985075] ; [22.02985075 18.97014925],1
a6,1,0.003543,8.504418,[12 14] ; [33  8],[17.46268657  8.53731343] ; [27.53731343 13.46268657],0
u3,1,0.072073,3.235165,[3 6] ; [10  4],[5.08695652 3.91304348] ; [7.91304348 6.08695652],0
u2,1,0.072073,3.235165,[3 6] ; [10  4],[5.08695652 3.91304348] ; [7.91304348 6.08695652],0
a1,1,0.118846,2.432463,[ 3 23] ; [ 1 41],[ 1.52941176 24.47058824] ; [ 2.47058824 39.52941176],0
s8,1,0.12178,2.394281,[15 10] ; [17 25],[11.94029851 13.05970149] ; [20.05970149 21.94029851],0
p11,1,0.140546,2.171967,[20  6] ; [25 17],[17.20588235  8.79411765] ; [27.79411765 14.20588235],0
n6,1,0.146469,2.10865,[23  3] ; [31 11],[20.64705882  5.35294118] ; [33.35294118  8.64705882],0
b5,1,0.149661,2.075702,[17  9] ; [34  8],[19.5  6.5] ; [31.5 10.5],0
p3,1,0.167404,1.906036,[11 15] ; [11 31],[ 8.41176471 17.58823529] ; [13.58823529 28.41176471],0
d4,1,0.172898,1.857636,[18  8] ; [35  7],[20.26470588  5.73529412] ; [32.73529412  9.26470588],0
v1,1,0.174643,1.842628,[10 15] ; [24 18],[12.68656716 12.31343284] ; [21.31343284 20.68656716],0
p7,1,0.190516,1.713626,[21  5] ; [25 13],[18.6875  7.3125] ; [27.3125 10.6875],0
p1,1,0.198846,1.650827,[ 2 24] ; [ 8 34],[ 3.82352941 22.17647059] ; [ 6.17647059 35.82352941],0
a5,1,0.236009,1.404277,[18  8] ; [23 19],[15.67647059 10.32352941] ; [25.32352941 16.67647059],0
n3,1,0.241696,1.370677,[5 4] ; [11  3],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
n4,1,0.287007,1.13361,[21  5] ; [29 13],[19.11764706  6.88235294] ; [30.88235294 11.11764706],0
a2,1,0.298508,1.080848,[ 3 23] ; [ 9 33],[ 4.58823529 21.41176471] ; [ 7.41176471 34.58823529],0
v2,1,0.302871,1.061509,[12 13] ; [25 16],[14.01515152 10.98484848] ; [22.98484848 18.01515152],0
s7,1,0.4871,0.482927,[15 10] ; [21 20],[13.63636364 11.36363636] ; [22.36363636 18.63636364],0
s5,1,0.492742,0.470533,[10 15] ; [12 26],[ 8.73015873 16.26984127] ; [13.26984127 24.73015873],0
d1,1,0.536849,0.38141,[11 15] ; [21 21],[12.23529412 13.76470588] ; [19.76470588 22.23529412],0
s1,1,0.543272,0.36951,[ 1 25] ; [ 3 37],[ 1.57575758 24.42424242] ; [ 2.42424242 37.57575758],0
n1,1,0.547617,0.361604,[3 6] ; [6 7],[3.68181818 5.31818182] ; [5.31818182 7.68181818],0
u1,1,0.561744,0.336693,[ 3 23] ; [ 7 35],[ 3.82352941 22.17647059] ; [ 6.17647059 35.82352941],0
r3,1,0.574478,0.315247,[25  1] ; [39  3],[24.47058824  1.52941176] ; [39.52941176  2.47058824],0
d5,1,0.578204,0.309147,[19  7] ; [28 14],[17.97058824  8.02941176] ; [29.02941176 12.97058824],0
v4,1,0.617721,0.249084,[24  2] ; [40  2],[24.47058824  1.52941176] ; [39.52941176  2.47058824],0
