Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.000834,11.164433,[15  1] ; [34 37],[9.01149425 6.98850575] ; [39.98850575 31.01149425],1
a3,1,0.013192,6.143134,[13  4] ; [31 41],[8.40449438 8.59550562] ; [35.59550562 36.40449438],0
v2,1,0.031356,4.633363,[9 7] ; [20 51],[ 5.33333333 10.66666667] ; [23.66666667 47.33333333],0
d3,1,0.036561,4.370743,[12  5] ; [31 42],[8.12222222 8.87777778] ; [34.87777778 38.12222222],0
p1,1,0.066754,3.361083,[ 4 13] ; [ 6 68],[ 1.86813187 15.13186813] ; [ 8.13186813 65.86813187],0
d1,1,0.068609,3.315992,[9 8] ; [22 52],[ 5.79120879 11.20879121] ; [25.20879121 48.79120879],0
v4,1,0.08316,3.002036,[13  4] ; [39 34],[9.82222222 7.17777778] ; [42.17777778 30.82222222],0
a2,1,0.087618,2.917594,[ 3 14] ; [ 4 70],[ 1.30769231 15.69230769] ; [ 5.69230769 68.30769231],0
d2,1,0.125957,2.341636,[9 7] ; [26 47],[6.29213483 9.70786517] ; [28.70786517 44.29213483],0
p2,1,0.129906,2.29363,[ 5 10] ; [40 33],[7.67045455 7.32954545] ; [37.32954545 35.67045455],0
p4,1,0.13801,2.200011,[ 2 13] ; [24 50],[ 4.38202247 10.61797753] ; [21.61797753 52.38202247],0
a1,1,0.16222,1.953405,[ 4 13] ; [ 8 66],[ 2.24175824 14.75824176] ; [ 9.75824176 64.24175824],0
b1,1,0.162984,1.946321,[ 6 11] ; [40 34],[8.59340659 8.40659341] ; [37.40659341 36.59340659],0
p11,1,0.180303,1.795129,[ 5 12] ; [35 39],[7.47252747 9.52747253] ; [32.52747253 41.47252747],0
s3,1,0.192601,1.697612,[ 2 15] ; [19 52],[ 4.05681818 12.94318182] ; [16.94318182 54.05681818],0
d4,1,0.208833,1.579502,[12  4] ; [43 31],[9.77777778 6.22222222] ; [45.22222222 28.77777778],0
d5,1,0.214144,1.54319,[12  5] ; [40 34],[9.71428571 7.28571429] ; [42.28571429 31.71428571],0
n5,1,0.235069,1.409925,[12  5] ; [40 33],[9.82222222 7.17777778] ; [42.17777778 30.82222222],0
n6,1,0.296665,1.089127,[11  6] ; [37 36],[9.06666667 7.93333333] ; [38.93333333 34.06666667],0
u2,1,0.312126,1.021656,[2 1] ; [16 27],[1.17391304 1.82608696] ; [16.82608696 26.17391304],0
n4,1,0.319242,0.992051,[11  6] ; [38 36],[9.15384615 7.84615385] ; [39.84615385 34.15384615],0
b5,1,0.319242,0.992051,[11  6] ; [38 36],[9.15384615 7.84615385] ; [39.84615385 34.15384615],0
v1,1,0.31956,0.990746,[ 7 10] ; [21 52],[ 5.28888889 11.71111111] ; [22.71111111 50.28888889],0
s5,1,0.384091,0.757566,[ 1 16] ; [10 64],[ 2.05494505 14.94505495] ; [ 8.94505495 65.05494505],0
s4,1,0.384091,0.757566,[ 1 16] ; [10 64],[ 2.05494505 14.94505495] ; [ 8.94505495 65.05494505],0
n2,1,0.431923,0.617647,[5 3] ; [16 18],[4. 4.] ; [17. 17.],0
a6,1,0.468631,0.525202,[9 8] ; [32 42],[7.65934066 9.34065934] ; [33.34065934 40.65934066],0
s1,1,0.484698,0.488275,[ 2 15] ; [ 5 69],[ 1.30769231 15.69230769] ; [ 5.69230769 68.30769231],0
b4,1,0.484698,0.488275,[11  6] ; [41 33],[9.71428571 7.28571429] ; [42.28571429 31.71428571],0
p8,1,0.50371,0.447111,[ 5 11] ; [17 56],[ 3.95505618 12.04494382] ; [18.04494382 54.95505618],0
p7,1,0.5054,0.443579,[ 4 11] ; [26 47],[5.11363636 9.88636364] ; [24.88636364 48.11363636],0
p6,1,0.551606,0.354449,[ 1 15] ; [ 8 63],[ 1.65517241 14.34482759] ; [ 7.34482759 63.65517241],0
s6,1,0.573506,0.316851,[ 6 11] ; [21 53],[ 5.04395604 11.95604396] ; [21.95604396 52.04395604],0
r1,1,0.576058,0.31265,[ 5 12] ; [17 57],[ 4.10989011 12.89010989] ; [17.89010989 56.10989011],0
n3,1,0.62503,0.238861,[5 3] ; [18 16],[4.38095238 3.61904762] ; [18.61904762 15.38095238],0
a7,1,0.650193,0.205657,[9 7] ; [37 37],[8.17777778 7.82222222] ; [37.82222222 36.17777778],0
a4,1,0.679125,0.171112,[ 6 11] ; [22 51],[ 5.28888889 11.71111111] ; [22.71111111 50.28888889],0
n1,1,0.685653,0.163832,[2 6] ; [11 23],[2.47619048 5.52380952] ; [10.52380952 23.47619048],0
a5,1,0.721531,0.127031,[ 7 10] ; [34 40],[7.65934066 9.34065934] ; [33.34065934 40.65934066],0
p3,1,0.781982,0.076583,[ 3 12] ; [17 56],[ 3.40909091 11.59090909] ; [16.59090909 56.40909091],0
p10,1,0.80116,0.063426,[7 9] ; [34 38],[7.45454545 8.54545455] ; [33.54545455 38.45454545],0
b3,1,0.87731,0.023833,[2 4] ; [13 30],[1.83673469 4.16326531] ; [13.16326531 29.83673469],0
b2,1,0.87731,0.023833,[2 4] ; [13 30],[1.83673469 4.16326531] ; [13.16326531 29.83673469],0
s2,1,0.903431,0.01472,[ 3 14] ; [14 60],[ 3.17582418 13.82417582] ; [13.82417582 60.17582418],0
p9,1,0.908288,0.013271,[9 8] ; [37 35],[8.78651685 8.21348315] ; [37.21348315 34.78651685],0
u3,1,0.958679,0.002684,[1 3] ; [11 31],[1.04347826 2.95652174] ; [10.95652174 31.04347826],0
