Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6.2e-05,16.048283,[77  8] ; [2 4],[73.79120879 11.20879121] ; [5.20879121 0.79120879],1
n5,1,0.003203,8.688189,[77  8] ; [3 3],[74.72527473 10.27472527] ; [5.27472527 0.72527473],0
r4,1,0.003203,8.688189,[77  8] ; [3 3],[74.72527473 10.27472527] ; [5.27472527 0.72527473],0
p3,1,0.004301,8.152018,[70 15] ; [2 4],[67.25274725 17.74725275] ; [4.74725275 1.25274725],0
s5,1,0.00435,8.131814,[56 21] ; [1 5],[52.87951807 24.12048193] ; [4.12048193 1.87951807],0
r3,1,0.007145,7.236157,[79  4] ; [4 2],[77.40449438  5.59550562] ; [5.59550562 0.40449438],0
p6,1,0.036746,4.362134,[55 28] ; [1 4],[52.81818182 30.18181818] ; [3.18181818 1.81818182],0
p8,1,0.043878,4.061241,[70 14] ; [3 3],[68.13333333 15.86666667] ; [4.86666667 1.13333333],0
s6,1,0.045105,4.014706,[65 13] ; [3 3],[63.14285714 14.85714286] ; [4.85714286 1.14285714],0
b1,1,0.051192,3.801981,[36 49] ; [5 1],[38.2967033 46.7032967] ; [2.7032967 3.2967033],0
b5,1,0.051192,3.801981,[36 49] ; [5 1],[38.2967033 46.7032967] ; [2.7032967 3.2967033],0
v4,1,0.136163,2.220795,[80  3] ; [5 1],[79.26966292  3.73033708] ; [5.73033708 0.26966292],0
p4,1,0.167713,1.903268,[74 11] ; [4 2],[72.85714286 12.14285714] ; [5.14285714 0.85714286],0
v3,1,0.192437,1.698862,[49 32] ; [2 4],[47.48275862 33.51724138] ; [3.51724138 2.48275862],0
b4,1,0.197219,1.662849,[48 37] ; [5 1],[49.50549451 35.49450549] ; [3.49450549 2.50549451],0
s3,1,0.205636,1.601889,[49 33] ; [2 4],[47.52272727 34.47727273] ; [3.47727273 2.52272727],0
s7,1,0.260514,1.266023,[56 22] ; [3 3],[54.78571429 23.21428571] ; [4.21428571 1.78571429],0
a3,1,0.294325,1.099732,[71 14] ; [4 2],[70.05494505 14.94505495] ; [4.94505495 1.05494505],0
a6,1,0.324023,0.97264,[59 26] ; [3 3],[57.91208791 27.08791209] ; [4.08791209 1.91208791],0
v1,1,0.332995,0.937214,[56 25] ; [3 3],[54.93103448 26.06896552] ; [4.06896552 1.93103448],0
r1,1,0.349452,0.875446,[69 15] ; [4 2],[68.13333333 15.86666667] ; [4.86666667 1.13333333],0
d3,1,0.352127,0.865776,[55 30] ; [5 1],[56.04395604 28.95604396] ; [3.95604396 2.04395604],0
n1,1,0.396144,0.72,[6 9] ; [2 1],[6.66666667 8.33333333] ; [1.33333333 1.66666667],0
a2,1,0.43739,0.603119,[17 68] ; [2 4],[17.74725275 67.25274725] ; [1.25274725 4.74725275],0
p2,1,0.443102,0.588235,[77  8] ; [4 1],[76.5  8.5] ; [4.5 0.5],0
b2,1,0.592021,0.287199,[32 29] ; [2 3],[31.42424242 29.57575758] ; [2.57575758 2.42424242],0
b3,1,0.592021,0.287199,[32 29] ; [2 3],[31.42424242 29.57575758] ; [2.57575758 2.42424242],0
s8,1,0.67152,0.17983,[48 35] ; [4 2],[48.49438202 34.50561798] ; [3.50561798 2.49438202],0
p7,1,0.796778,0.066316,[70 13] ; [4 1],[69.79545455 13.20454545] ; [4.20454545 0.79545455],0
a4,1,0.801121,0.063452,[38 47] ; [3 3],[38.2967033 46.7032967] ; [2.7032967 3.2967033],0
v2,1,0.809907,0.057863,[50 31] ; [4 2],[50.27586207 30.72413793] ; [3.72413793 2.27586207],0
d1,1,0.832812,0.044562,[53 32] ; [4 2],[53.24175824 31.75824176] ; [3.75824176 2.24175824],0
a7,1,0.838953,0.041304,[60 25] ; [4 2],[59.78021978 25.21978022] ; [4.21978022 1.78021978],0
a5,1,0.842966,0.039244,[68 17] ; [5 1],[68.18681319 16.81318681] ; [4.81318681 1.18681319],0
u1,1,0.895771,0.017162,[16 69] ; [1 5],[15.87912088 69.12087912] ; [1.12087912 4.87912088],0
d2,1,0.933375,0.006989,[44 41] ; [3 3],[43.9010989 41.0989011] ; [3.0989011 2.9010989],0
d4,1,0.990018,0.000157,[71 14] ; [5 1],[70.98901099 14.01098901] ; [5.01098901 0.98901099],0
n3,1,1.0,0.0,[10  5] ; [2 1],[10.  5.] ; [2. 1.],0
