Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,27.279058,[31  7] ; [ 3 20],[21.18032787 16.81967213] ; [12.81967213 10.18032787],1
p11,1,0.000562,11.898209,[30  8] ; [ 8 15],[23.67213115 14.32786885] ; [14.32786885  8.67213115],1
p2,1,0.003681,8.434779,[29  9] ; [ 9 14],[23.67213115 14.32786885] ; [14.32786885  8.67213115],0
s8,1,0.004286,8.158419,[14 24] ; [ 1 22],[ 9.3442623 28.6557377] ; [ 5.6557377 17.3442623],0
r4,1,0.005557,7.688527,[16 22] ; [ 2 21],[11.21311475 26.78688525] ; [ 6.78688525 16.21311475],0
r3,1,0.008246,6.979252,[31  6] ; [12 11],[26.51666667 10.48333333] ; [16.48333333  6.51666667],0
n5,1,0.010362,6.571589,[26 12] ; [ 8 15],[21.18032787 16.81967213] ; [12.81967213 10.18032787],0
a5,1,0.018509,5.547343,[25 13] ; [ 8 15],[20.55737705 17.44262295] ; [12.44262295 10.55737705],0
p4,1,0.037401,4.332045,[22 16] ; [ 7 16],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
u2,1,0.046939,3.947587,[12  5] ; [4 8],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
s5,1,0.048039,3.908604,[ 9 29] ; [ 1 22],[ 6.2295082 31.7704918] ; [ 3.7704918 19.2295082],0
p5,1,0.055246,3.674641,[ 9 29] ; [ 1 21],[ 6.33333333 31.66666667] ; [ 3.66666667 18.33333333],0
s7,1,0.06016,3.532976,[11 24] ; [ 2 19],[ 8.125 26.875] ; [ 4.875 16.125],0
s6,1,0.065696,3.387415,[19 19] ; [ 6 17],[15.57377049 22.42622951] ; [ 9.42622951 13.57377049],0
n3,1,0.072143,3.233566,[6 7] ; [9 2],[8.125 4.875] ; [6.875 4.125],0
n6,1,0.082119,3.022448,[26 11] ; [11 12],[22.81666667 14.18333333] ; [14.18333333  8.81666667],0
p8,1,0.087537,2.91909,[15 23] ; [ 4 18],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
v3,1,0.103251,2.654602,[12 26] ; [ 3 20],[ 9.3442623 28.6557377] ; [ 5.6557377 17.3442623],0
a2,1,0.111352,2.534932,[ 1 37] ; [ 3 20],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
v4,1,0.133681,2.249224,[24 14] ; [10 13],[21.18032787 16.81967213] ; [12.81967213 10.18032787],0
b3,1,0.151494,2.057143,[ 9 12] ; [ 3 12],[ 7. 14.] ; [ 5. 10.],0
b2,1,0.151494,2.057143,[ 9 12] ; [ 3 12],[ 7. 14.] ; [ 5. 10.],0
p7,1,0.175161,1.838212,[20 18] ; [ 8 15],[17.44262295 20.55737705] ; [10.55737705 12.44262295],0
p12,1,0.262796,1.253966,[ 5 33] ; [ 1 22],[ 3.73770492 34.26229508] ; [ 2.26229508 20.73770492],0
n4,1,0.27452,1.19402,[22 16] ; [10 13],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
b5,1,0.291428,1.113011,[25 13] ; [12 11],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
v1,1,0.385821,0.752073,[14 24] ; [ 6 17],[12.45901639 25.54098361] ; [ 7.54098361 15.45901639],0
a1,1,0.393904,0.726855,[ 4 34] ; [ 1 22],[ 3.1147541 34.8852459] ; [ 1.8852459 21.1147541],0
d4,1,0.411593,0.674194,[27 11] ; [14  9],[25.54098361 12.45901639] ; [15.45901639  7.54098361],0
u3,1,0.42956,0.624013,[ 5 12] ; [ 2 10],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
b4,1,0.476147,0.507674,[23 15] ; [16  7],[24.29508197 13.70491803] ; [14.70491803  8.29508197],0
d3,1,0.488285,0.480303,[20 18] ; [10 13],[18.68852459 19.31147541] ; [11.31147541 11.68852459],0
a8,1,0.492654,0.470725,[ 7 28] ; [ 3 20],[ 6.03448276 28.96551724] ; [ 3.96551724 19.03448276],0
d2,1,0.506692,0.440892,[13 25] ; [ 6 17],[11.83606557 26.16393443] ; [ 7.16393443 15.83606557],0
p6,1,0.522822,0.408322,[ 8 30] ; [ 3 18],[ 7.08474576 30.91525424] ; [ 3.91525424 17.08474576],0
p3,1,0.599558,0.275663,[11 27] ; [ 5 17],[10.13333333 27.86666667] ; [ 5.86666667 16.13333333],0
s1,1,0.599664,0.275503,[ 2 36] ; [ 2 21],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
d5,1,0.662858,0.190071,[22 16] ; [12 11],[21.18032787 16.81967213] ; [12.81967213 10.18032787],0
s2,1,0.687467,0.161841,[10 28] ; [ 5 18],[ 9.3442623 28.6557377] ; [ 5.6557377 17.3442623],0
a3,1,0.693732,0.155075,[21 17] ; [11 11],[20.26666667 17.73333333] ; [11.73333333 10.26666667],0
r1,1,0.714078,0.134238,[15 23] ; [ 8 15],[14.32786885 23.67213115] ; [ 8.67213115 14.32786885],0
a6,1,0.715973,0.132384,[18 20] ; [12 11],[18.68852459 19.31147541] ; [11.31147541 11.68852459],0
d1,1,0.728032,0.120927,[10 28] ; [ 7 16],[10.59016393 27.40983607] ; [ 6.40983607 16.59016393],0
a4,1,0.809176,0.058317,[11 27] ; [ 6 17],[10.59016393 27.40983607] ; [ 6.40983607 16.59016393],0
n1,1,0.813025,0.055944,[ 3 10] ; [3 8],[3.25 9.75] ; [2.75 8.25],0
b1,1,0.818899,0.052423,[22 16] ; [14  9],[22.42622951 15.57377049] ; [13.57377049  9.42622951],0
s3,1,0.889671,0.019243,[11 27] ; [ 6 16],[10.76666667 27.23333333] ; [ 6.23333333 15.76666667],0
p1,1,0.912,0.012214,[ 3 35] ; [ 2 21],[ 3.1147541 34.8852459] ; [ 1.8852459 21.1147541],0
a7,1,0.972328,0.001203,[20 18] ; [12 11],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
n2,1,0.972671,0.001174,[7 6] ; [6 5],[7.04166667 5.95833333] ; [5.95833333 5.04166667],0
v2,1,0.977794,0.000775,[13 24] ; [ 8 15],[12.95 24.05] ; [ 8.05 14.95],0
