Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000296,13.095238,[9 2] ; [ 7 26],[4. 7.] ; [12. 21.],1
p10,1,0.000388,12.589456,[9 2] ; [ 7 25],[4.09302326 6.90697674] ; [11.90697674 20.09302326],1
p7,1,0.000633,11.676392,[8 2] ; [ 7 26],[3.48837209 6.51162791] ; [11.51162791 21.48837209],1
p4,1,0.000769,11.314286,[8 3] ; [ 6 27],[3.5 7.5] ; [10.5 22.5],1
p6,1,0.007985,7.0368,[5 6] ; [ 3 29],[2.04651163 8.95348837] ; [ 5.95348837 26.04651163],0
s2,1,0.008973,6.828283,[6 5] ; [ 5 28],[2.75 8.25] ; [ 8.25 24.75],0
u2,1,0.028887,4.774306,[5 1] ; [ 5 11],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
u3,1,0.031633,4.618254,[4 2] ; [ 3 13],[1.90909091 4.09090909] ; [ 5.09090909 10.90909091],0
p9,1,0.040208,4.209084,[8 3] ; [11 19],[5.09756098 5.90243902] ; [13.90243902 16.09756098],0
n6,1,0.060605,3.520754,[7 3] ; [12 21],[4.41860465 5.58139535] ; [14.58139535 18.41860465],0
v1,1,0.061664,3.492063,[6 5] ; [ 8 25],[3.5 7.5] ; [10.5 22.5],0
b5,1,0.081723,3.030303,[8 3] ; [14 19],[5.5 5.5] ; [16.5 16.5],0
d3,1,0.11377,2.501053,[7 4] ; [12 21],[4.75 6.25] ; [14.25 18.75],0
r2,1,0.157787,1.995308,[9 2] ; [18 13],[7.07142857 3.92857143] ; [19.92857143 11.07142857],0
b1,1,0.161989,1.955556,[4 7] ; [20 13],[6. 5.] ; [18. 15.],0
v4,1,0.161989,1.955556,[8 3] ; [16 17],[6. 5.] ; [18. 15.],0
p2,1,0.161989,1.955556,[7 4] ; [13 20],[5. 6.] ; [15. 18.],0
n5,1,0.181746,1.783292,[6 5] ; [25  8],[7.75 3.25] ; [23.25  9.75],0
d2,1,0.190401,1.714514,[3 8] ; [16 16],[4.86046512 6.13953488] ; [14.13953488 17.86046512],0
a7,1,0.210829,1.565723,[6 5] ; [11 22],[4.25 6.75] ; [12.75 20.25],0
p3,1,0.212702,1.552941,[4 7] ; [ 6 27],[2.5 8.5] ; [ 7.5 25.5],0
a4,1,0.238187,1.39129,[2 9] ; [12 20],[3.58139535 7.41860465] ; [10.41860465 21.58139535],0
n3,1,0.254524,1.298302,[3 2] ; [4 9],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
b4,1,0.29627,1.090909,[7 4] ; [15 18],[5.5 5.5] ; [16.5 16.5],0
s6,1,0.314879,1.010101,[4 7] ; [ 7 26],[2.75 8.25] ; [ 8.25 24.75],0
n4,1,0.358565,0.842912,[6 5] ; [23 10],[7.25 3.75] ; [21.75 11.25],0
d4,1,0.383596,0.759144,[7 4] ; [16 17],[5.75 5.25] ; [17.25 15.75],0
v2,1,0.391786,0.733391,[3 8] ; [ 5 27],[2.04651163 8.95348837] ; [ 5.95348837 26.04651163],0
s5,1,0.391786,0.733391,[3 8] ; [ 5 27],[2.04651163 8.95348837] ; [ 5.95348837 26.04651163],0
b3,1,0.408961,0.681818,[3 5] ; [12 10],[4. 4.] ; [11. 11.],0
b2,1,0.408961,0.681818,[3 5] ; [12 10],[4. 4.] ; [11. 11.],0
s8,1,0.410648,0.676923,[2 9] ; [ 3 30],[1.25 9.75] ; [ 3.75 29.25],0
a1,1,0.475289,0.509653,[ 1 10] ; [ 6 27],[1.75 9.25] ; [ 5.25 27.75],0
d1,1,0.567109,0.327543,[4 7] ; [ 9 24],[3.25 7.75] ; [ 9.75 23.25],0
a6,1,0.601132,0.273292,[5 6] ; [18 15],[5.75 5.25] ; [17.25 15.75],0
p1,1,0.611974,0.25731,[2 9] ; [ 4 29],[1.5 9.5] ; [ 4.5 28.5],0
n1,1,0.647743,0.208757,[1 4] ; [4 9],[1.38888889 3.61111111] ; [3.61111111 9.38888889],0
s4,1,0.677856,0.172549,[3 8] ; [ 7 26],[2.5 8.5] ; [ 7.5 25.5],0
a3,1,0.727724,0.121212,[5 6] ; [17 16],[5.5 5.5] ; [16.5 16.5],0
a5,1,0.727724,0.121212,[6 5] ; [16 17],[5.5 5.5] ; [16.5 16.5],0
s3,1,0.753596,0.098534,[3 7] ; [ 8 24],[2.61904762 7.38095238] ; [ 8.38095238 23.61904762],0
s7,1,0.760013,0.093308,[2 9] ; [ 7 24],[2.35714286 8.64285714] ; [ 6.64285714 24.35714286],0
n2,1,0.95218,0.003596,[2 3] ; [5 8],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
v3,1,1.0,0.0,[2 9] ; [ 6 27],[2. 9.] ; [ 6. 27.],0
d5,1,1.0,0.0,[6 5] ; [18 15],[6. 5.] ; [18. 15.],0
