Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1e-06,23.474317,[53 24] ; [19 48],[38.5 38.5] ; [33.5 33.5],1
v3,1,1.4e-05,18.919986,[37 38] ; [10 57],[24.82394366 50.17605634] ; [22.17605634 44.82394366],1
p12,1,0.019479,5.458001,[11 67] ; [ 2 65],[ 6.99310345 71.00689655] ; [ 6.00689655 60.99310345],0
b4,1,0.022334,5.2196,[53 25] ; [33 34],[46.26206897 31.73793103] ; [39.73793103 27.26206897],0
p10,1,0.044169,4.050081,[67 11] ; [47 18],[62.18181818 15.81818182] ; [51.81818182 13.18181818],0
p9,1,0.07967,3.071624,[69  9] ; [52 15],[65.08965517 12.91034483] ; [55.91034483 11.08965517],0
a2,1,0.084221,2.981495,[25 53] ; [13 54],[20.44137931 57.55862069] ; [17.55862069 49.44137931],0
n2,1,0.177262,1.820433,[11  6] ; [16  3],[12.75  4.25] ; [14.25  4.75],0
p4,1,0.194411,1.683873,[62 16] ; [47 20],[58.63448276 19.36551724] ; [50.36551724 16.63448276],0
s5,1,0.206758,1.593984,[22 54] ; [25 39],[25.51428571 50.48571429] ; [21.48571429 42.51428571],0
p3,1,0.218278,1.515654,[52 26] ; [38 29],[48.4137931 29.5862069] ; [41.5862069 25.4137931],0
b1,1,0.219318,1.508829,[37 41] ; [25 42],[33.35172414 44.64827586] ; [28.64827586 38.35172414],0
r3,1,0.223638,1.480872,[72  6] ; [64  2],[73.66666667  4.33333333] ; [62.33333333  3.66666667],0
a5,1,0.230893,1.435355,[54 24] ; [40 27],[50.56551724 27.43448276] ; [43.43448276 23.56551724],0
a6,1,0.248239,1.33319,[57 21] ; [43 24],[53.79310345 24.20689655] ; [46.20689655 20.79310345],0
n5,1,0.262873,1.253564,[60 17] ; [46 20],[57.07692308 19.92307692] ; [48.92307692 17.07692308],0
s6,1,0.292498,1.108089,[50 27] ; [36 28],[46.96453901 30.03546099] ; [39.03546099 24.96453901],0
a4,1,0.302183,1.064535,[41 37] ; [29 37],[37.91666667 40.08333333] ; [32.08333333 33.91666667],0
d2,1,0.309455,1.033001,[38 40] ; [27 40],[34.96551724 43.03448276] ; [30.03448276 36.96551724],0
v4,1,0.337397,0.920296,[73  5] ; [65  2],[74.23448276  3.76551724] ; [63.76551724  3.23448276],0
u1,1,0.348976,0.877177,[15 63] ; [ 9 58],[12.91034483 65.08965517] ; [11.08965517 55.91034483],0
p7,1,0.35188,0.866667,[68 10] ; [53 12],[66. 12.] ; [55. 10.],0
p11,1,0.373906,0.790643,[63 15] ; [50 17],[60.7862069 17.2137931] ; [52.2137931 14.7862069],0
d3,1,0.38006,0.770509,[58 20] ; [44 21],[55.63636364 22.36363636] ; [46.36363636 18.63636364],0
p1,1,0.39529,0.722607,[ 8 70] ; [10 57],[ 9.68275862 68.31724138] ; [ 8.31724138 58.68275862],0
s4,1,0.404547,0.694769,[13 65] ; [14 49],[14.93617021 63.06382979] ; [12.06382979 50.93617021],0
a1,1,0.423788,0.639787,[ 6 72] ; [ 3 64],[ 4.84137931 73.15862069] ; [ 4.15862069 62.84137931],0
n1,1,0.428602,0.626609,[ 5 12] ; [ 8 11],[ 6.13888889 10.86111111] ; [ 6.86111111 12.13888889],0
d5,1,0.445108,0.583079,[61 17] ; [48 18],[59.04166667 18.95833333] ; [49.95833333 16.04166667],0
