Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,28.644304,[59  1] ; [12 11],[51.3253012  8.6746988] ; [19.6746988  3.3253012],1
r1,1,0.0,27.726562,[55  5] ; [ 9 15],[45.71428571 14.28571429] ; [18.28571429  5.71428571],1
v4,1,1e-06,23.244965,[56  3] ; [12 12],[48.3373494 10.6626506] ; [19.6626506  4.3373494],1
r2,1,4.6e-05,16.622041,[59  1] ; [15  7],[54.14634146  5.85365854] ; [19.85365854  2.14634146],1
p2,1,8.9e-05,15.36,[43 17] ; [ 6 18],[35. 25.] ; [14. 10.],1
p7,1,0.003888,8.335581,[28 31] ; [ 3 20],[22.30487805 36.69512195] ; [ 8.69512195 14.30487805],0
s6,1,0.006996,7.273951,[34 25] ; [ 6 18],[28.43373494 30.56626506] ; [11.56626506 12.43373494],0
p8,1,0.010534,6.542308,[28 32] ; [ 4 20],[22.85714286 37.14285714] ; [ 9.14285714 14.85714286],0
n6,1,0.01123,6.428608,[46 14] ; [11 12],[41.20481928 18.79518072] ; [15.79518072  7.20481928],0
p11,1,0.015725,5.833333,[35 25] ; [ 7 17],[30. 30.] ; [12. 12.],0
s8,1,0.023337,5.143246,[19 40] ; [ 2 22],[14.92771084 44.07228916] ; [ 6.07228916 17.92771084],0
u1,1,0.035183,4.43625,[18 42] ; [ 2 22],[14.28571429 45.71428571] ; [ 5.71428571 18.28571429],0
s1,1,0.037179,4.342208,[ 1 58] ; [ 3 21],[ 2.84337349 56.15662651] ; [ 1.15662651 22.84337349],0
p4,1,0.049126,3.87103,[30 30] ; [ 6 17],[26.02409639 33.97590361] ; [ 9.97590361 13.02409639],0
n2,1,0.056417,3.639706,[12  6] ; [ 5 10],[9.27272727 8.72727273] ; [7.72727273 7.27272727],0
p6,1,0.066792,3.36014,[12 45] ; [ 1 22],[ 9.2625 47.7375] ; [ 3.7375 19.2625],0
s2,1,0.07663,3.134966,[24 34] ; [ 5 19],[20.51219512 37.48780488] ; [ 8.48780488 15.51219512],0
a6,1,0.089279,2.887329,[44 16] ; [13 11],[40.71428571 19.28571429] ; [16.28571429  7.71428571],0
n3,1,0.09453,2.795489,[11  8] ; [ 4 10],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
u3,1,0.112339,2.521008,[13  4] ; [3 4],[11.33333333  5.66666667] ; [4.66666667 2.33333333],0
a5,1,0.135954,2.223167,[47 13] ; [15  9],[44.28571429 15.71428571] ; [17.71428571  6.28571429],0
n5,1,0.141645,2.16,[38 22] ; [11 13],[35. 25.] ; [14. 10.],0
a7,1,0.150098,2.071252,[46 14] ; [14  9],[43.37349398 16.62650602] ; [16.62650602  6.37349398],0
p1,1,0.158396,1.989474,[ 4 56] ; [ 4 20],[ 5.71428571 54.28571429] ; [ 2.28571429 21.71428571],0
d2,1,0.202786,1.622198,[51  9] ; [16  6],[49.02439024 10.97560976] ; [17.97560976  4.02439024],0
a2,1,0.204518,1.609814,[21 39] ; [ 5 19],[18.57142857 41.42857143] ; [ 7.42857143 16.57142857],0
s7,1,0.320433,0.987179,[20 36] ; [ 5 16],[18.18181818 37.81818182] ; [ 6.81818182 14.18181818],0
p3,1,0.349484,0.875329,[19 40] ; [ 5 18],[17.26829268 41.73170732] ; [ 6.73170732 16.26829268],0
u2,1,0.381905,0.76456,[10  6] ; [3 4],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
b4,1,0.383839,0.75837,[41 19] ; [14 10],[39.28571429 20.71428571] ; [15.71428571  8.28571429],0
n4,1,0.383839,0.75837,[41 19] ; [14 10],[39.28571429 20.71428571] ; [15.71428571  8.28571429],0
d4,1,0.484167,0.489462,[58  1] ; [22  1],[57.56097561  1.43902439] ; [22.43902439  0.56097561],0
b5,1,0.48705,0.483036,[35 25] ; [12 12],[33.57142857 26.42857143] ; [13.42857143 10.57142857],0
s3,1,0.530335,0.39375,[27 33] ; [ 9 15],[25.71428571 34.28571429] ; [10.28571429 13.71428571],0
p10,1,0.646767,0.21,[18 42] ; [ 6 18],[17.14285714 42.85714286] ; [ 6.85714286 17.14285714],0
n1,1,0.678187,0.172174,[ 6 12] ; [ 4 11],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
v3,1,0.692607,0.156278,[17 41] ; [ 6 18],[16.26829268 41.73170732] ; [ 6.73170732 17.26829268],0
a4,1,0.712454,0.135838,[34 26] ; [12 11],[33.25301205 26.74698795] ; [12.74698795 10.25301205],0
b1,1,0.727383,0.121528,[35 25] ; [13 11],[34.28571429 25.71428571] ; [13.71428571 10.28571429],0
s4,1,0.760801,0.092677,[ 8 49] ; [ 4 20],[ 8.44444444 48.55555556] ; [ 3.55555556 20.44444444],0
d3,1,0.76738,0.0875,[51  9] ; [21  3],[51.42857143  8.57142857] ; [20.57142857  3.42857143],0
v1,1,0.773322,0.082963,[22 38] ; [ 8 16],[21.42857143 38.57142857] ; [ 8.57142857 15.42857143],0
a1,1,0.788741,0.071795,[ 4 56] ; [ 2 22],[ 4.28571429 55.71428571] ; [ 1.71428571 22.28571429],0
