Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.650418,[364  14] ; [8 7],[357.80152672  20.19847328] ; [14.19847328  0.80152672],1
p7,1,0.000211,13.729053,[262 106] ; [ 3 10],[255.95800525 112.04199475] ; [9.04199475 3.95800525],1
p11,1,0.007066,7.256003,[308  70] ; [8 7],[303.9389313  74.0610687] ; [12.0610687  2.9389313],0
s6,1,0.008082,7.015297,[320  55] ; [9 6],[316.34615385  58.65384615] ; [12.65384615  2.34615385],0
r2,1,0.008556,6.913195,[365   9] ; [12  2],[363.39690722  10.60309278] ; [13.60309278  0.39690722],0
v2,1,0.012317,6.26469,[224 138] ; [ 4 10],[219.5106383 142.4893617] ; [8.4893617 5.5106383],0
v1,1,0.019569,5.449936,[230 134] ; [ 5 10],[225.69920844 138.30079156] ; [9.30079156 5.69920844],0
d5,1,0.039218,4.2514,[324  53] ; [10  5],[321.21938776  55.78061224] ; [12.78061224  2.21938776],0
r1,1,0.039819,4.225566,[323  53] ; [10  5],[320.22506394  55.77493606] ; [12.77493606  2.22506394],0
n3,1,0.042122,4.130305,[56 22] ; [4 6],[53.18181818 24.81818182] ; [6.81818182 3.18181818],0
d1,1,0.080174,3.061375,[258 120] ; [7 8],[254.88549618 123.11450382] ; [10.11450382  4.88549618],0
p3,1,0.143434,2.140728,[223 155] ; [6 9],[220.25954198 157.74045802] ; [8.74045802 6.25954198],0
d4,1,0.174308,1.845495,[324  53] ; [11  4],[322.18112245  54.81887755] ; [12.81887755  2.18112245],0
n1,1,0.208618,1.580988,[33 43] ; [7 4],[34.94252874 41.05747126] ; [5.05747126 5.94252874],0
a5,1,0.225617,1.468284,[301  77] ; [10  5],[299.12977099  78.87022901] ; [11.87022901  3.12977099],0
a3,1,0.251877,1.312863,[298  79] ; [10  5],[296.21428571  80.78571429] ; [11.78571429  3.21428571],0
a4,1,0.259846,1.269578,[182 196] ; [ 5 10],[179.86259542 198.13740458] ; [7.13740458 7.86259542],0
s2,1,0.277327,1.180142,[273 102] ; [9 6],[271.15384615 103.84615385] ; [10.84615385  4.15384615],0
u1,1,0.368563,0.808505,[ 88 290] ; [ 2 13],[ 86.5648855 291.4351145] ; [ 3.4351145 11.5648855],0
p10,1,0.380733,0.768335,[327  46] ; [12  3],[325.8943299  47.1056701] ; [13.1056701  1.8943299],0
v3,1,0.391282,0.734955,[171 190] ; [5 9],[169.42933333 191.57066667] ; [6.57066667 7.42933333],0
n6,1,0.393683,0.727535,[329  47] ; [12  3],[327.91815857  48.08184143] ; [13.08184143  1.91815857],0
b4,1,0.464297,0.535516,[216 162] ; [10  5],[217.3740458 160.6259542] ; [8.6259542 6.3740458],0
b3,1,0.474526,0.511417,[113 145] ; [4 8],[111.8 146.2] ; [5.2 6.8],0
b2,1,0.474526,0.511417,[113 145] ; [4 8],[111.8 146.2] ; [5.2 6.8],0
s5,1,0.481548,0.495356,[162 196] ; [5 9],[160.71505376 197.28494624] ; [6.28494624 7.71505376],0
n2,1,0.483132,0.491785,[56 22] ; [9 2],[56.96629213 21.03370787] ; [8.03370787 2.96629213],0
n5,1,0.485333,0.486855,[298  78] ; [13  2],[299.06905371  76.93094629] ; [11.93094629  3.06905371],0
u2,1,0.514296,0.425316,[52 27] ; [4 1],[52.66666667 26.33333333] ; [3.33333333 1.66666667],0
a2,1,0.535012,0.384862,[103 275] ; [ 3 12],[101.95419847 276.04580153] ; [ 4.04580153 10.95419847],0
p4,1,0.536092,0.382831,[255 122] ; [9 6],[253.89795918 123.10204082] ; [10.10204082  4.89795918],0
s1,1,0.56791,0.326191,[ 14 358] ; [ 1 14],[ 14.41860465 357.58139535] ; [ 0.58139535 14.41860465],0
u3,1,0.59223,0.286875,[57 23] ; [3 2],[56.47058824 23.52941176] ; [3.52941176 1.47058824],0
b5,1,0.593748,0.284529,[226 152] ; [10  5],[226.99236641 151.00763359] ; [9.00763359 5.99236641],0
p9,1,0.604179,0.268739,[340  35] ; [13  2],[339.42307692  35.57692308] ; [13.57692308  1.42307692],0
p2,1,0.606649,0.265083,[320  57] ; [12  3],[319.29591837  57.70408163] ; [12.70408163  2.29591837],0
p5,1,0.620196,0.245592,[ 57 316] ; [ 3 12],[ 57.68041237 315.31958763] ; [ 2.31958763 12.68041237],0
p6,1,0.626929,0.236248,[173 200] ; [6 9],[172.07989691 200.92010309] ; [6.92010309 8.07989691],0
b1,1,0.647163,0.209495,[154 224] ; [7 8],[154.85496183 223.14503817] ; [6.14503817 8.85496183],0
p1,1,0.657981,0.195985,[ 37 339] ; [ 2 13],[ 37.50383632 338.49616368] ; [ 1.49616368 13.50383632],0
p8,1,0.731676,0.117578,[215 157] ; [8 7],[214.35658915 157.64341085] ; [8.64341085 6.35658915],0
d3,1,0.741053,0.109204,[267 111] ; [10  5],[266.42748092 111.57251908] ; [10.57251908  4.42748092],0
p12,1,0.771045,0.084686,[ 41 334] ; [ 2 13],[ 41.34615385 333.65384615] ; [ 1.65384615 13.34615385],0
a7,1,0.780855,0.077398,[264 113] ; [10  5],[263.51530612 113.48469388] ; [10.48469388  4.51530612],0
d2,1,0.795161,0.0674,[214 164] ; [9 6],[214.48854962 163.51145038] ; [8.51145038 6.48854962],0
s7,1,0.805454,0.060661,[279  82] ; [12  3],[279.39095745  81.60904255] ; [11.60904255  3.39095745],0
n4,1,0.871642,0.026106,[307  69] ; [12  3],[306.76214834  69.23785166] ; [12.23785166  2.76214834],0
s3,1,0.949526,0.004007,[277  97] ; [11  4],[276.89460154  97.10539846] ; [11.10539846  3.89460154],0
a6,1,0.977324,0.000808,[250 127] ; [10  5],[250.05102041 126.94897959] ; [9.94897959 5.05102041],0
s4,1,0.995966,2.6e-05,[ 75 301] ; [ 3 12],[ 75.00767263 300.99232737] ; [ 2.99232737 12.00767263],0
