Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,3e-05,17.435167,[12 16] ; [63 12],[20.38834951  7.61165049] ; [54.61165049 20.38834951],1
p9,1,0.000429,12.402281,[15 11] ; [66  8],[21.06  4.94] ; [59.94 14.06],1
p10,1,0.009294,6.765433,[16 11] ; [62 12],[20.85148515  6.14851485] ; [57.14851485 16.85148515],0
a4,1,0.009904,6.652047,[14 14] ; [18 58],[ 8.61538462 19.38461538] ; [23.38461538 52.61538462],0
a6,1,0.01511,5.903542,[14 14] ; [57 19],[19.11538462  8.88461538] ; [51.88461538 24.11538462],0
d3,1,0.016991,5.697253,[14 14] ; [56 19],[19.02912621  8.97087379] ; [50.97087379 24.02912621],0
u3,1,0.099205,2.718274,[4 4] ; [26  7],[5.85365854 2.14634146] ; [24.14634146  8.85365854],0
p7,1,0.104198,2.640086,[13 15] ; [45 25],[16.57142857 11.42857143] ; [41.42857143 28.57142857],0
a3,1,0.108332,2.578394,[20  8] ; [41 35],[16.42307692 11.57692308] ; [44.57692308 31.42307692],0
p11,1,0.109989,2.554386,[14 14] ; [51 25],[17.5 10.5] ; [47.5 28.5],0
s1,1,0.118774,2.433416,[ 2 26] ; [ 1 74],[ 0.81553398 27.18446602] ; [ 2.18446602 72.81553398],0
p8,1,0.134065,2.244788,[ 9 19] ; [36 38],[12.35294118 15.64705882] ; [32.64705882 41.35294118],0
d1,1,0.148253,2.090131,[11 17] ; [42 34],[14.26923077 13.73076923] ; [38.73076923 37.26923077],0
u2,1,0.178239,1.812249,[3 5] ; [21 12],[4.68292683 3.31707317] ; [19.31707317 13.68292683],0
a1,1,0.189244,1.723492,[ 3 25] ; [ 3 73],[ 1.61538462 26.38461538] ; [ 4.38461538 71.61538462],0
v4,1,0.189244,1.723492,[25  3] ; [73  3],[26.38461538  1.61538462] ; [71.61538462  4.38461538],0
p3,1,0.208263,1.583459,[ 8 20] ; [32 44],[10.76923077 17.23076923] ; [29.23076923 46.76923077],0
n3,1,0.229766,1.442308,[7 6] ; [19  7],[8.66666667 4.33333333] ; [17.33333333  8.66666667],0
n6,1,0.238494,1.389471,[15 13] ; [49 25],[17.56862745 10.43137255] ; [46.43137255 27.56862745],0
d2,1,0.253619,1.303258,[13 15] ; [26 50],[10.5 17.5] ; [28.5 47.5],0
s8,1,0.261357,1.261554,[12 16] ; [42 34],[14.53846154 13.46153846] ; [39.46153846 36.53846154],0
b4,1,0.276702,1.183217,[14 14] ; [47 29],[16.42307692 11.57692308] ; [44.57692308 31.42307692],0
p6,1,0.290865,1.115614,[ 7 21] ; [27 48],[ 9.24271845 18.75728155] ; [24.75728155 50.24271845],0
p4,1,0.315617,1.007024,[12 16] ; [41 35],[14.26923077 13.73076923] ; [38.73076923 37.26923077],0
r2,1,0.32505,0.968518,[25  3] ; [72  4],[26.11538462  1.88461538] ; [70.88461538  5.11538462],0
r1,1,0.335522,0.927467,[17 11] ; [53 22],[19.02912621  8.97087379] ; [50.97087379 24.02912621],0
b1,1,0.346551,0.886047,[12 16] ; [25 51],[ 9.96153846 18.03846154] ; [27.03846154 48.96153846],0
n1,1,0.363426,0.826019,[5 7] ; [ 7 19],[3.78947368 8.21052632] ; [ 8.21052632 17.78947368],0
