Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.535581,[24  4] ; [ 6 17],[16.47058824 11.52941176] ; [13.52941176  9.47058824],1
d2,1,0.006392,7.43631,[22  6] ; [10 14],[17.23076923 10.76923077] ; [14.76923077  9.23076923],0
d1,1,0.012305,6.266323,[24  4] ; [13 11],[19.92307692  8.07692308] ; [17.07692308  6.92307692],0
s5,1,0.023132,5.158532,[11 14] ; [ 3 19],[ 7.44680851 17.55319149] ; [ 6.55319149 15.44680851],0
p1,1,0.037918,4.308712,[ 7 21] ; [ 1 23],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
s6,1,0.061447,3.497879,[22  6] ; [13 11],[18.84615385  9.15384615] ; [16.15384615  7.84615385],0
n4,1,0.075206,3.165584,[26  2] ; [18  6],[23.69230769  4.30769231] ; [20.30769231  3.69230769],0
b3,1,0.095293,2.782603,[ 7 11] ; [9 4],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
b2,1,0.095293,2.782603,[ 7 11] ; [9 4],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
s8,1,0.109038,2.56811,[19  9] ; [11 13],[16.15384615 11.84615385] ; [13.84615385 10.15384615],0
n5,1,0.111391,2.534372,[23  5] ; [15  9],[20.46153846  7.53846154] ; [17.53846154  6.46153846],0
v1,1,0.153346,2.038646,[11 15] ; [15  9],[13.52 12.48] ; [12.48 11.52],0
a8,1,0.175244,1.8375,[ 1 27] ; [ 3 18],[ 2.28571429 25.71428571] ; [ 1.71428571 19.28571429],0
a6,1,0.177227,1.820728,[16 12] ; [18  6],[18.30769231  9.69230769] ; [15.69230769  8.30769231],0
p8,1,0.177227,1.820728,[12 16] ; [ 6 18],[ 9.69230769 18.30769231] ; [ 8.30769231 15.69230769],0
s7,1,0.178531,1.809809,[18  9] ; [11 12],[15.66 11.34] ; [13.34  9.66],0
p2,1,0.190239,1.715764,[24  4] ; [17  7],[22.07692308  5.92307692] ; [18.92307692  5.07692308],0
a5,1,0.198851,1.650794,[23  5] ; [16  8],[21.  7.] ; [18.  6.],0
a3,1,0.202222,1.626255,[22  6] ; [15  9],[19.92307692  8.07692308] ; [17.07692308  6.92307692],0
n1,1,0.263085,1.252449,[7 3] ; [3 4],[5.88235294 4.11764706] ; [4.11764706 2.88235294],0
u2,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
u3,1,0.263552,1.25,[3 3] ; [7 2],[4. 2.] ; [6. 3.],0
v2,1,0.339905,0.910788,[14 13] ; [15  8],[15.66 11.34] ; [13.34  9.66],0
v3,1,0.423127,0.641615,[ 7 19] ; [ 9 15],[ 8.32 17.68] ; [ 7.68 16.32],0
n2,1,0.494125,0.467532,[8 3] ; [4 3],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
a4,1,0.515902,0.422078,[15 13] ; [15  9],[16.15384615 11.84615385] ; [13.84615385 10.15384615],0
b4,1,0.515902,0.422078,[15 13] ; [15  9],[16.15384615 11.84615385] ; [13.84615385 10.15384615],0
n3,1,0.518217,0.41744,[8 3] ; [6 1],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
n6,1,0.533825,0.387105,[24  4] ; [19  5],[23.15384615  4.84615385] ; [19.84615385  4.15384615],0
d3,1,0.570866,0.321236,[19  9] ; [18  6],[19.92307692  8.07692308] ; [17.07692308  6.92307692],0
b5,1,0.615824,0.251781,[18 10] ; [17  7],[18.84615385  9.15384615] ; [16.15384615  7.84615385],0
p11,1,0.615824,0.251781,[18 10] ; [17  7],[18.84615385  9.15384615] ; [16.15384615  7.84615385],0
v4,1,0.646329,0.21056,[26  2] ; [23  1],[26.38461538  1.61538462] ; [22.61538462  1.38461538],0
u1,1,0.722206,0.126389,[ 7 21] ; [ 5 19],[ 6.46153846 21.53846154] ; [ 5.53846154 18.46153846],0
a2,1,0.786029,0.073696,[ 5 23] ; [ 5 19],[ 5.38461538 22.61538462] ; [ 4.61538462 19.38461538],0
d5,1,0.81248,0.056277,[24  4] ; [20  4],[23.69230769  4.30769231] ; [20.30769231  3.69230769],0
p9,1,0.840754,0.040373,[25  3] ; [21  3],[24.76923077  3.23076923] ; [21.23076923  2.76923077],0
r4,1,0.850814,0.035374,[24  4] ; [21  3],[24.23076923  3.76923077] ; [20.76923077  3.23076923],0
d4,1,0.850814,0.035374,[24  4] ; [21  3],[24.23076923  3.76923077] ; [20.76923077  3.23076923],0
s4,1,0.86253,0.029982,[ 5 22] ; [ 4 20],[ 4.76470588 22.23529412] ; [ 4.23529412 19.76470588],0
r1,1,0.893948,0.017772,[18 10] ; [15  9],[17.76923077 10.23076923] ; [15.23076923  8.76923077],0
p4,1,0.927308,0.008323,[19  9] ; [16  8],[18.84615385  9.15384615] ; [16.15384615  7.84615385],0
p10,1,0.927308,0.008323,[19  9] ; [16  8],[18.84615385  9.15384615] ; [16.15384615  7.84615385],0
b1,1,0.927308,0.008323,[ 9 19] ; [ 8 16],[ 9.15384615 18.84615385] ; [ 7.84615385 16.15384615],0
r2,1,0.932248,0.007228,[26  1] ; [23  1],[25.94117647  1.05882353] ; [23.05882353  0.94117647],0
a7,1,1.0,0.0,[21  7] ; [18  6],[21.  7.] ; [18.  6.],0
p3,1,1.0,0.0,[14 14] ; [12 12],[14. 14.] ; [12. 12.],0
