Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,38.976055,[39 56] ; [ 11 134],[19.79166667 75.20833333] ; [ 30.20833333 114.79166667],1
r4,1,8e-06,19.991239,[84 11] ; [90 55],[68.875 26.125] ; [105.125  39.875],1
s7,1,0.000124,14.725306,[35 58] ; [ 21 115],[22.74235808 70.25764192] ; [ 33.25764192 102.74235808],1
s5,1,0.000159,14.266606,[25 69] ; [ 12 131],[14.67510549 79.32489451] ; [ 22.32489451 120.67510549],1
r1,1,0.000337,12.855179,[72 23] ; [76 68],[58.82845188 36.17154812] ; [89.17154812 54.82845188],1
v4,1,0.00039,12.581565,[90  5] ; [112  32],[80.29288703 14.70711297] ; [121.70711297  22.29288703],1
p8,1,0.000623,11.705668,[51 44] ; [45 98],[38.31932773 56.68067227] ; [57.68067227 85.31932773],1
p7,1,0.000708,11.467497,[56 35] ; [56 88],[43.37021277 47.62978723] ; [68.62978723 75.37021277],1
p2,1,0.001373,10.241475,[77 17] ; [90 54],[65.95798319 28.04201681] ; [101.04201681  42.95798319],0
p9,1,0.001852,9.690723,[75 20] ; [84 57],[64.00423729 30.99576271] ; [94.99576271 46.00423729],0
r3,1,0.001853,9.689721,[86  9] ; [107  37],[76.71548117 18.28451883] ; [116.28451883  27.71548117],0
s3,1,0.003201,8.689109,[33 61] ; [ 26 117],[23.40084388 70.59915612] ; [ 35.59915612 107.40084388],0
p11,1,0.004158,8.213427,[71 24] ; [82 63],[60.5625 34.4375] ; [92.4375 52.5625],0
p4,1,0.005545,7.69245,[49 45] ; [49 95],[38.70588235 55.29411765] ; [59.29411765 84.70588235],0
p5,1,0.005613,7.670512,[11 83] ; [  4 140],[ 5.92436975 88.07563025] ; [  9.07563025 134.92436975],0
p10,1,0.006944,7.287479,[66 26] ; [78 66],[56.13559322 35.86440678] ; [87.86440678 56.13559322],0
n4,1,0.020166,5.397438,[72 23] ; [89 56],[63.72916667 31.27083333] ; [97.27083333 47.72916667],0
v1,1,0.020654,5.355736,[37 57] ; [ 36 107],[28.9535865 65.0464135] ; [44.0464135 98.9535865],0
n6,1,0.024714,5.043804,[76 19] ; [96 48],[68.36820084 26.63179916] ; [103.63179916  40.36820084],0
a5,1,0.029101,4.761606,[67 28] ; [82 63],[58.97916667 36.02083333] ; [90.02083333 54.97916667],0
s4,1,0.040018,4.217102,[16 78] ; [ 12 133],[11.0125523 82.9874477] ; [ 16.9874477 128.0125523],0
r2,1,0.050847,3.813296,[85  9] ; [116  27],[79.72151899 14.27848101] ; [121.27848101  21.72151899],0
p3,1,0.051121,3.804308,[38 56] ; [ 41 104],[31.07112971 62.92887029] ; [47.92887029 97.07112971],0
u3,1,0.073606,3.200718,[23 17] ; [24 37],[18.61386139 21.38613861] ; [28.38613861 32.61386139],0
p12,1,0.083975,2.986248,[ 5 90] ; [  2 141],[ 2.79411765 92.20588235] ; [  4.20588235 138.79411765],0
n5,1,0.116184,2.468016,[68 26] ; [90 54],[62.40336134 31.59663866] ; [95.59663866 48.40336134],0
v3,1,0.127926,2.317494,[19 76] ; [ 18 124],[14.83122363 80.16877637] ; [ 22.16877637 119.83122363],0
p6,1,0.134414,2.240775,[26 67] ; [ 28 115],[21.27966102 71.72033898] ; [ 32.72033898 110.27966102],0
d4,1,0.160116,1.973132,[71 24] ; [96 49],[66.10416667 28.89583333] ; [100.89583333  44.10416667],0
d5,1,0.160116,1.973132,[71 24] ; [96 49],[66.10416667 28.89583333] ; [100.89583333  44.10416667],0
a8,1,0.190205,1.716029,[13 76] ; [ 12 122],[ 9.97757848 79.02242152] ; [ 15.02242152 118.97757848],0
n3,1,0.315438,1.007769,[19  8] ; [30 21],[16.96153846 10.03846154] ; [32.03846154 18.96153846],0
d3,1,0.319695,0.990195,[57 38] ; [77 67],[53.26359833 41.73640167] ; [80.73640167 63.26359833],0
u2,1,0.351714,0.867262,[22 19] ; [27 34],[19.69607843 21.30392157] ; [29.30392157 31.69607843],0
a1,1,0.3927,0.730564,[ 3 92] ; [  8 137],[ 4.35416667 90.64583333] ; [  6.64583333 138.35416667],0
d1,1,0.419285,0.652318,[43 52] ; [58 87],[39.97916667 55.02083333] ; [61.02083333 83.97916667],0
u1,1,0.43053,0.621393,[10 85] ; [ 11 134],[ 8.3125 86.6875] ; [ 12.6875 132.3125],0
n1,1,0.455551,0.556805,[12 15] ; [19 34],[10.4625 16.5375] ; [20.5375 32.4625],0
a2,1,0.488033,0.480859,[12 83] ; [ 23 122],[13.85416667 81.14583333] ; [ 21.14583333 123.85416667],0
