Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,23.358256,[19  5] ; [ 5 28],[10.10526316 13.89473684] ; [13.89473684 19.10526316],1
d3,1,4e-06,21.248693,[22  2] ; [10 23],[13.47368421 10.52631579] ; [18.52631579 14.47368421],1
a4,1,6.8e-05,15.869318,[15  9] ; [ 4 29],[ 8. 16.] ; [11. 22.],1
d5,1,0.000615,11.73117,[23  1] ; [18 15],[17.26315789  6.73684211] ; [23.73684211  9.26315789],1
a2,1,0.005035,7.866912,[ 7 17] ; [ 1 32],[ 3.36842105 20.63157895] ; [ 4.63157895 28.36842105],0
a5,1,0.010424,6.560931,[19  5] ; [15 18],[14.31578947  9.68421053] ; [19.68421053 13.31578947],0
a3,1,0.012829,6.192593,[16  8] ; [11 22],[11.36842105 12.63157895] ; [15.63157895 17.36842105],0
u1,1,0.030588,4.675914,[ 5 19] ; [ 1 32],[ 2.52631579 21.47368421] ; [ 3.47368421 29.52631579],0
b5,1,0.069809,3.287506,[11 13] ; [23 10],[14.31578947  9.68421053] ; [19.68421053 13.31578947],0
p8,1,0.100133,2.703418,[14 10] ; [12 21],[10.94736842 13.05263158] ; [15.05263158 17.94736842],0
r1,1,0.158291,1.990476,[20  4] ; [22 11],[17.68421053  6.31578947] ; [24.31578947  8.68421053],0
s3,1,0.18938,1.722435,[10 14] ; [19 13],[12.42857143 11.57142857] ; [16.57142857 15.42857143],0
p10,1,0.329124,0.95234,[ 7 17] ; [ 6 27],[ 5.47368421 18.52631579] ; [ 7.52631579 25.47368421],0
n6,1,0.349926,0.873726,[14  9] ; [24  9],[15.60714286  7.39285714] ; [22.39285714 10.60714286],0
b1,1,0.374773,0.787776,[14 10] ; [23 10],[15.57894737  8.42105263] ; [21.42105263 11.57894737],0
v4,1,0.389578,0.74026,[20  4] ; [30  3],[21.05263158  2.94736842] ; [28.94736842  4.05263158],0
p1,1,0.396153,0.719974,[ 3 21] ; [ 2 31],[ 2.10526316 21.89473684] ; [ 2.89473684 30.10526316],0
p5,1,0.396153,0.719974,[ 3 21] ; [ 2 31],[ 2.10526316 21.89473684] ; [ 2.89473684 30.10526316],0
u2,1,0.408384,0.683502,[4 4] ; [ 7 14],[3.03448276 4.96551724] ; [ 7.96551724 13.03448276],0
p2,1,0.4244,0.638099,[17  7] ; [20 13],[15.57894737  8.42105263] ; [21.42105263 11.57894737],0
v3,1,0.429607,0.623886,[ 8 16] ; [14 18],[ 9.42857143 14.57142857] ; [12.57142857 19.42857143],0
r2,1,0.438727,0.59961,[22  2] ; [28  5],[21.05263158  2.94736842] ; [28.94736842  4.05263158],0
p7,1,0.440427,0.595169,[13 10] ; [22 11],[14.375  8.625] ; [20.625 12.375],0
n5,1,0.462196,0.540572,[14 10] ; [16 17],[12.63157895 11.36842105] ; [17.36842105 15.63157895],0
p6,1,0.467166,0.528671,[ 7 14] ; [ 8 25],[ 5.83333333 15.16666667] ; [ 9.16666667 23.83333333],0
v2,1,0.471704,0.517983,[12 11] ; [14 19],[10.67857143 12.32142857] ; [15.32142857 17.67857143],0
s6,1,0.471704,0.517983,[11 12] ; [19 14],[12.32142857 10.67857143] ; [17.67857143 15.32142857],0
a7,1,0.486376,0.484534,[16  8] ; [19 14],[14.73684211  9.26315789] ; [20.26315789 12.73684211],0
n4,1,0.497143,0.461029,[18  6] ; [22 11],[16.84210526  7.15789474] ; [23.15789474  9.84210526],0
b2,1,0.529368,0.395604,[ 5 10] ; [ 5 16],[ 4.16666667 10.83333333] ; [ 5.83333333 15.16666667],0
b3,1,0.529368,0.395604,[ 5 10] ; [ 5 16],[ 4.16666667 10.83333333] ; [ 5.83333333 15.16666667],0
u3,1,0.54393,0.368304,[5 3] ; [11 11],[4.26666667 3.73333333] ; [11.73333333 10.26666667],0
n3,1,0.550985,0.355556,[7 3] ; [5 1],[7.5 2.5] ; [4.5 1.5],0
v1,1,0.626851,0.236355,[11 13] ; [13 20],[10.10526316 13.89473684] ; [13.89473684 19.10526316],0
r3,1,0.67882,0.171457,[21  3] ; [30  3],[21.47368421  2.52631579] ; [29.52631579  3.47368421],0
n1,1,0.69627,0.152381,[4 6] ; [3 3],[4.375 5.625] ; [2.625 3.375],0
a1,1,0.740154,0.109991,[ 2 22] ; [ 2 31],[ 1.68421053 22.31578947] ; [ 2.31578947 30.68421053],0
a8,1,0.749961,0.101564,[ 1 19] ; [ 1 30],[ 0.78431373 19.21568627] ; [ 1.21568627 29.78431373],0
r4,1,0.80224,0.062725,[19  5] ; [27  6],[19.36842105  4.63157895] ; [26.63157895  6.36842105],0
s2,1,0.802938,0.062274,[10 13] ; [15 17],[10.45454545 12.54545455] ; [14.54545455 17.45454545],0
s4,1,0.875384,0.024594,[ 6 17] ; [ 8 25],[ 5.75 17.25] ; [ 8.25 24.75],0
s8,1,0.875384,0.024594,[ 6 17] ; [ 8 25],[ 5.75 17.25] ; [ 8.25 24.75],0
s7,1,0.923525,0.009215,[ 6 13] ; [10 23],[ 5.84615385 13.15384615] ; [10.15384615 22.84615385],0
p4,1,0.930026,0.007711,[15  9] ; [21 12],[15.15789474  8.84210526] ; [20.84210526 12.15789474],0
b4,1,0.930026,0.007711,[15  9] ; [21 12],[15.15789474  8.84210526] ; [20.84210526 12.15789474],0
a6,1,0.954389,0.003271,[14 10] ; [19 14],[13.89473684 10.10526316] ; [19.10526316 13.89473684],0
s1,1,0.965686,0.001851,[ 3 21] ; [ 4 29],[ 2.94736842 21.05263158] ; [ 4.05263158 28.94736842],0
p11,1,0.977384,0.000804,[11 13] ; [15 18],[10.94736842 13.05263158] ; [15.05263158 17.94736842],0
s5,1,0.990398,0.000145,[ 5 18] ; [ 7 25],[ 5.01818182 17.98181818] ; [ 6.98181818 25.01818182],0
