Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000271,13.260035,[22  9] ; [51 93],[12.93142857 18.06857143] ; [60.06857143 83.93142857],1
p8,1,0.000814,11.209299,[14 17] ; [108  35],[21.73563218  9.26436782] ; [100.26436782  42.73563218],1
p10,1,0.004214,8.189395,[24  7] ; [135   9],[28.16571429  2.83428571] ; [130.83428571  13.16571429],0
r3,1,0.004334,8.138109,[26  4] ; [141   3],[28.79310345  1.20689655] ; [138.20689655   5.79310345],0
b4,1,0.006265,7.47235,[26  5] ; [83 61],[19.30857143 11.69142857] ; [89.69142857 54.30857143],0
p5,1,0.010256,6.589942,[ 3 28] ; [47 97],[ 8.85714286 22.14285714] ; [ 41.14285714 102.85714286],0
p7,1,0.01027,6.587482,[20 11] ; [120  22],[25.0867052  5.9132948] ; [114.9132948  27.0867052],0
d2,1,0.014172,6.016553,[23  8] ; [72 72],[16.82857143 14.17142857] ; [78.17142857 65.82857143],0
n5,1,0.02022,5.392826,[20 10] ; [122  22],[24.48275862  5.51724138] ; [117.51724138  26.48275862],0
b5,1,0.023742,5.113391,[22  9] ; [70 74],[16.29714286 14.70285714] ; [75.70285714 68.29714286],0
r1,1,0.045194,4.011396,[23  8] ; [126  17],[26.54597701  4.45402299] ; [122.45402299  20.54597701],0
a6,1,0.060318,3.528611,[16 15] ; [99 44],[20.48850575 10.51149425] ; [94.51149425 48.48850575],0
p2,1,0.066882,3.357932,[25  6] ; [132  12],[27.81142857  3.18857143] ; [129.18857143  14.81142857],0
p4,1,0.127391,2.324013,[23  8] ; [123  21],[25.86285714  5.13714286] ; [120.13714286  23.86285714],0
n6,1,0.141487,2.161713,[24  5] ; [132  12],[26.15028902  2.84971098] ; [129.84971098  14.15028902],0
a4,1,0.142037,2.155748,[20 11] ; [72 72],[16.29714286 14.70285714] ; [75.70285714 68.29714286],0
p9,1,0.145429,2.119558,[27  4] ; [135   8],[28.86206897  2.13793103] ; [133.13793103   9.86206897],0
d4,1,0.151093,2.061184,[30  1] ; [126  17],[27.79310345  3.20689655] ; [128.20689655  14.79310345],0
n1,1,0.154833,2.023979,[7 2] ; [11 11],[5.22580645 3.77419355] ; [12.77419355  9.22580645],0
b3,1,0.168438,1.896792,[ 4 11] ; [42 50],[6.44859813 8.55140187] ; [39.55140187 52.44859813],0
b2,1,0.168438,1.896792,[ 4 11] ; [42 50],[6.44859813 8.55140187] ; [39.55140187 52.44859813],0
d5,1,0.191014,1.709777,[29  2] ; [121  22],[26.72413793  4.27586207] ; [123.27586207  19.72413793],0
n4,1,0.198385,1.654225,[22  8] ; [120  24],[24.48275862  5.51724138] ; [117.51724138  26.48275862],0
r4,1,0.207621,1.587938,[28  3] ; [138   6],[29.40571429  1.59428571] ; [136.59428571   7.40571429],0
s4,1,0.224242,1.477016,[10 21] ; [ 31 110],[ 7.38953488 23.61046512] ; [ 33.61046512 107.38953488],0
v1,1,0.232149,1.427649,[17 14] ; [94 48],[19.89017341 11.10982659] ; [91.10982659 50.89017341],0
a7,1,0.285781,1.139393,[18 13] ; [98 46],[20.54857143 10.45142857] ; [95.45142857 48.54857143],0
u2,1,0.305963,1.048022,[2 3] ; [18 10],[3.03030303 1.96969697] ; [16.96969697 11.03030303],0
v4,1,0.30786,1.039833,[29  2] ; [140   4],[29.93714286  1.06285714] ; [139.06285714   4.93714286],0
d1,1,0.338009,0.917968,[24  7] ; [99 45],[21.78857143  9.21142857] ; [101.21142857  42.78857143],0
s3,1,0.390951,0.735981,[19 12] ; [99 44],[21.02298851  9.97701149] ; [96.97701149 46.02298851],0
n3,1,0.444549,0.584512,[7 2] ; [14  8],[6.09677419 2.90322581] ; [14.90322581  7.09677419],0
p1,1,0.456011,0.555669,[ 6 24] ; [ 21 123],[ 4.65517241 25.34482759] ; [ 22.34482759 121.65517241],0
d3,1,0.457033,0.553152,[25  6] ; [107  37],[23.38285714  7.61714286] ; [108.61714286  35.38285714],0
u3,1,0.487857,0.48125,[3 2] ; [21  7],[3.63636364 1.36363636] ; [20.36363636  7.63636364],0
s6,1,0.566493,0.328587,[28  3] ; [122  19],[27.03488372  3.96511628] ; [122.96511628  18.03488372],0
v3,1,0.575512,0.313547,[13 17] ; [70 73],[14.39306358 15.60693642] ; [68.60693642 74.39306358],0
p12,1,0.583577,0.300487,[ 3 28] ; [ 19 124],[ 3.91954023 27.08045977] ; [ 18.08045977 124.91954023],0
s8,1,0.586142,0.296409,[17 14] ; [86 57],[18.35057471 12.64942529] ; [84.64942529 58.35057471],0
s7,1,0.634926,0.22544,[19  7] ; [93 43],[17.97530864  8.02469136] ; [94.02469136 41.97530864],0
a8,1,0.672077,0.179182,[ 4 25] ; [ 15 121],[ 3.33939394 25.66060606] ; [ 15.66060606 120.33939394],0
a2,1,0.707161,0.141129,[ 8 23] ; [ 42 102],[ 8.85714286 22.14285714] ; [ 41.14285714 102.85714286],0
a3,1,0.719921,0.128568,[26  5] ; [116  27],[25.29885057  5.70114943] ; [116.70114943  26.29885057],0
a1,1,0.726102,0.122721,[ 2 29] ; [ 12 132],[ 2.48 28.52] ; [ 11.52 132.48],0
p6,1,0.822525,0.05031,[17 14] ; [81 61],[17.56069364 13.43930636] ; [80.43930636 61.56069364],0
s1,1,0.827454,0.04751,[ 1 29] ; [  6 137],[ 1.21387283 28.78612717] ; [  5.78612717 137.21387283],0
