Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,28.458733,[  6 153] ; [10 20],[ 13.46031746 145.53968254] ; [ 2.53968254 27.46031746],1
p6,1,1e-06,24.562516,[ 55 104] ; [25  5],[67.3015873 91.6984127] ; [12.6984127 17.3015873],1
s5,1,1.8e-05,18.431647,[ 39 116] ; [19 10],[ 48.85869565 106.14130435] ; [ 9.14130435 19.85869565],1
p1,1,0.006804,7.324043,[ 14 145] ; [ 8 23],[ 18.41052632 140.58947368] ; [ 3.58947368 27.41052632],0
s6,1,0.007069,7.25528,[99 55] ; [26  3],[105.19125683  48.80874317] ; [19.80874317  9.19125683],0
s7,1,0.010963,6.471369,[68 87] ; [19  8],[74.09340659 80.90659341] ; [12.90659341 14.09340659],0
p3,1,0.015881,5.81605,[81 79] ; [23  8],[87.12041885 72.87958115] ; [16.87958115 14.12041885],0
n6,1,0.017045,5.691688,[125  34] ; [30  1],[129.71052632  29.28947368] ; [25.28947368  5.71052632],0
a1,1,0.022642,5.195779,[  3 157] ; [ 3 28],[  5.02617801 154.97382199] ; [ 0.97382199 30.02617801],0
s8,1,0.026165,4.945104,[ 54 106] ; [17 14],[ 59.47643979 100.52356021] ; [11.52356021 19.47643979],0
p10,1,0.039438,4.241907,[129  29] ; [29  1],[132.78723404  25.21276596] ; [25.21276596  4.78723404],0
v3,1,0.039632,4.233586,[ 51 107] ; [16 15],[ 56.01058201 101.98941799] ; [10.98941799 20.01058201],0
p4,1,0.042713,4.10671,[98 61] ; [25  6],[102.93157895  56.06842105] ; [20.06842105 10.93157895],0
b4,1,0.050511,3.824405,[83 77] ; [22  9],[87.95811518 72.04188482] ; [17.04188482 13.95811518],0
p9,1,0.062635,3.46619,[133  25] ; [30  1],[136.26455026  21.73544974] ; [26.73544974  4.26455026],0
n4,1,0.074839,3.173562,[108  51] ; [26  5],[112.13684211  46.86315789] ; [21.86315789  9.13684211],0
s4,1,0.101763,2.677697,[ 29 129] ; [ 2 29],[ 25.91534392 132.08465608] ; [ 5.08465608 25.91534392],0
u2,1,0.127557,2.321981,[39 40] ; [10  4],[41.62365591 37.37634409] ; [7.37634409 6.62365591],0
b3,1,0.146383,2.109548,[25 61] ; [8 9],[27.55339806 58.44660194] ; [ 5.44660194 11.55339806],0
b2,1,0.146383,2.109548,[25 61] ; [8 9],[27.55339806 58.44660194] ; [ 5.44660194 11.55339806],0
