Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,5e-06,20.724432,[33 36] ; [255  84],[48.70588235 20.29411765] ; [239.29411765  99.70588235],1
v1,1,0.002995,8.810406,[22 47] ; [171 161],[33.20947631 35.79052369] ; [159.79052369 172.20947631],0
v2,1,0.004882,7.922709,[27 42] ; [187 137],[37.57251908 31.42748092] ; [176.42748092 147.57251908],0
u1,1,0.00623,7.48255,[ 2 67] ; [ 51 288],[ 8.96323529 60.03676471] ; [ 44.03676471 294.96323529],0
d3,1,0.010064,6.623543,[37 32] ; [236 103],[46.16911765 22.83088235] ; [226.83088235 112.16911765],0
d1,1,0.013285,6.130769,[27 42] ; [188 151],[36.36029412 32.63970588] ; [178.63970588 160.36029412],0
d4,1,0.013724,6.073285,[46 23] ; [271  67],[53.74201474 15.25798526] ; [263.25798526  74.74201474],0
u3,1,0.014033,6.034026,[ 9 18] ; [65 44],[14.69117647 12.30882353] ; [59.30882353 49.69117647],0
r2,1,0.014256,6.006183,[62  6] ; [328   9],[65.48148148  2.51851852] ; [324.51851852  12.48148148],0
a2,1,0.037582,4.323839,[ 7 62] ; [ 71 268],[13.19117647 55.80882353] ; [ 64.80882353 274.19117647],0
s8,1,0.0737,3.198623,[12 57] ; [ 93 242],[17.93316832 51.06683168] ; [ 87.06683168 247.93316832],0
s5,1,0.088162,2.90761,[ 8 58] ; [ 70 259],[13.03291139 52.96708861] ; [ 64.96708861 264.03291139],0
n3,1,0.092811,2.824921,[19  2] ; [51 19],[16.15384615  4.84615385] ; [53.84615385 16.15384615],0
a7,1,0.115058,2.483334,[44 25] ; [248  91],[49.38235294 19.61764706] ; [242.61764706  96.38235294],0
a6,1,0.115058,2.483334,[44 25] ; [248  91],[49.38235294 19.61764706] ; [242.61764706  96.38235294],0
n6,1,0.119505,2.423796,[61  8] ; [272  66],[56.45454545 12.54545455] ; [276.54545455  61.45454545],0
n4,1,0.119789,2.42008,[46 23] ; [255  82],[51.15517241 17.84482759] ; [249.84482759  87.15517241],0
n2,1,0.12001,2.417193,[18  3] ; [50 23],[15.19148936  5.80851064] ; [52.80851064 20.19148936],0
p8,1,0.127904,2.317762,[30 38] ; [179 151],[35.70854271 32.29145729] ; [173.29145729 156.70854271],0
s3,1,0.153336,2.038743,[21 47] ; [ 76 258],[16.4079602 51.5920398] ; [ 80.5920398 253.4079602],0
v4,1,0.163761,1.939144,[64  5] ; [325  12],[66.11083744  2.88916256] ; [322.88916256  14.11083744],0
n1,1,0.226659,1.461708,[ 9 11] ; [22 50],[ 6.73913043 13.26086957] ; [24.26086957 47.73913043],0
a3,1,0.234955,1.410613,[42 27] ; [230 107],[46.22660099 22.77339901] ; [225.77339901 111.22660099],0
d5,1,0.263121,1.252262,[51 18] ; [271  68],[54.45588235 14.54411765] ; [267.54411765  71.45588235],0
p2,1,0.267926,1.227336,[53 16] ; [278  59],[56.25369458 12.74630542] ; [274.74630542  62.25369458],0
b2,1,0.287427,1.131635,[17 22] ; [ 70 132],[14.07883817 24.92116183] ; [ 72.92116183 129.07883817],0
b3,1,0.287427,1.131635,[17 22] ; [ 70 132],[14.07883817 24.92116183] ; [ 72.92116183 129.07883817],0
p10,1,0.295017,1.096584,[48 20] ; [255  78],[51.38154613 16.61845387] ; [251.61845387  81.38154613],0
p6,1,0.299837,1.074918,[24 43] ; [ 98 235],[20.435 46.565] ; [101.565 231.435],0
u2,1,0.300623,1.071429,[12 15] ; [60 48],[14.4 12.6] ; [57.6 50.4],0
p7,1,0.351249,0.868941,[39 29] ; [211 122],[42.39401496 25.60598504] ; [207.60598504 125.39401496],0
s6,1,0.355931,0.8522,[29 39] ; [161 169],[32.46231156 35.53768844] ; [157.53768844 172.46231156],0
b5,1,0.359171,0.84079,[45 24] ; [201 138],[41.60294118 27.39705882] ; [204.39705882 134.60294118],0
d2,1,0.361051,0.834233,[26 42] ; [150 189],[29.40540541 38.59459459] ; [146.59459459 192.40540541],0
p1,1,0.392922,0.729881,[ 7 62] ; [ 24 312],[ 5.28148148 63.71851852] ; [ 25.71851852 310.28148148],0
a4,1,0.402668,0.700346,[25 44] ; [140 196],[28.11111111 40.88888889] ; [136.88888889 199.11111111],0
a1,1,0.421011,0.647491,[ 1 68] ; [ 11 328],[ 2.02941176 66.97058824] ; [  9.97058824 329.02941176],0
p11,1,0.44606,0.580644,[53 16] ; [274  65],[55.30147059 13.69852941] ; [271.69852941  67.30147059],0
s7,1,0.470924,0.519807,[15 50] ; [ 88 233],[17.34455959 47.65544041] ; [ 85.65544041 235.34455959],0
p4,1,0.485303,0.486923,[34 34] ; [183 152],[36.61538462 31.38461538] ; [180.38461538 154.61538462],0
b1,1,0.545515,0.365414,[22 47] ; [121 218],[24.18382353 44.81617647] ; [118.81617647 220.18382353],0
a8,1,0.601425,0.272852,[ 7 59] ; [ 39 262],[ 8.27247956 57.72752044] ; [ 37.72752044 263.27247956],0
