Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,148.508232,[  4 104] ; [272 119],[59.73547094 48.26452906] ; [216.26452906 174.73547094],1
d3,1,0.0,80.979131,[33 74] ; [301  90],[71.76305221 35.23694779] ; [262.23694779 128.76305221],1
d5,1,0.0,75.38053,[51 56] ; [339  52],[83.79518072 23.20481928] ; [306.20481928  84.79518072],1
d2,1,0.0,30.841302,[24 84] ; [204 186],[49.44578313 58.55421687] ; [178.55421687 211.44578313],1
a5,1,1e-06,24.212657,[53 55] ; [289 102],[74.02004008 33.97995992] ; [267.97995992 123.02004008],1
a3,1,1e-06,23.620475,[51 56] ; [283 107],[71.90744467 35.09255533] ; [262.09255533 127.90744467],1
a4,1,1e-06,23.328742,[21 85] ; [178 211],[42.61414141 63.38585859] ; [156.38585859 232.61414141],1
u1,1,1e-05,19.475188,[  2 106] ; [ 75 316],[16.66533066 91.33466934] ; [ 60.33466934 330.66533066],1
r1,1,6.3e-05,15.999347,[66 41] ; [313  77],[81.59557344 25.40442656] ; [297.40442656  92.59557344],1
a2,1,0.000124,14.736362,[  8 100] ; [ 95 296],[22.29258517 85.70741483] ; [ 80.70741483 310.29258517],1
a7,1,0.000248,13.42841,[63 44] ; [299  91],[77.93561368 29.06438632] ; [284.06438632 105.93561368],1
v2,1,0.000411,12.483147,[40 64] ; [218 158],[55.9 48.1] ; [202.1 173.9],1
a6,1,0.001471,10.115184,[59 49] ; [277 114],[72.72144289 35.27855711] ; [263.27855711 127.72144289],0
r3,1,0.001613,9.945245,[94 13] ; [375  16],[100.76907631   6.23092369] ; [368.23092369  22.76907631],0
b3,1,0.001871,9.672464,[15 56] ; [ 95 134],[26.03333333 44.96666667] ; [ 83.96666667 145.03333333],0
b2,1,0.001871,9.672464,[15 56] ; [ 95 134],[26.03333333 44.96666667] ; [ 83.96666667 145.03333333],0
r2,1,0.004501,8.069706,[93 15] ; [362  22],[99.87804878  8.12195122] ; [355.12195122  28.87804878],0
u3,1,0.011695,6.356567,[21 36] ; [61 45],[28.67484663 28.32515337] ; [53.32515337 52.67484663],0
v3,1,0.012007,6.309858,[29 78] ; [152 224],[40.09730849 66.90269151] ; [140.90269151 235.09730849],0
s7,1,0.012651,6.217212,[32 72] ; [166 208],[43.07949791 60.92050209] ; [154.92050209 219.07949791],0
