Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.6e-05,17.686719,[37  9] ; [ 4 13],[29.93650794 16.06349206] ; [11.06349206  5.93650794],1
u2,1,0.011072,6.453782,[ 3 14] ; [5 2],[ 5.66666667 11.33333333] ; [2.33333333 4.66666667],0
u3,1,0.01962,5.445378,[ 2 15] ; [4 3],[ 4.25 12.75] ; [1.75 5.25],0
d2,1,0.025278,5.004772,[22 23] ; [ 3 14],[18.14516129 26.85483871] ; [ 6.85483871 10.14516129],0
n2,1,0.027737,4.844349,[19 10] ; [1 5],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
n6,1,0.031553,4.622647,[27 18] ; [ 5 12],[23.22580645 21.77419355] ; [8.77419355 8.22580645],0
a5,1,0.049126,3.871036,[29 17] ; [ 6 11],[25.55555556 20.44444444] ; [9.44444444 7.55555556],0
n1,1,0.061257,3.503024,[17 12] ; [1 5],[14.91428571 14.08571429] ; [3.08571429 2.91428571],0
a6,1,0.070632,3.268262,[28 18] ; [ 6 11],[24.82539683 21.17460317] ; [9.17460317 7.82539683],0
r4,1,0.078576,3.094102,[12 34] ; [ 1 16],[ 9.49206349 36.50793651] ; [ 3.50793651 13.49206349],0
r2,1,0.084878,2.968933,[34 11] ; [9 8],[31.20967742 13.79032258] ; [11.79032258  5.20967742],0
p2,1,0.097655,2.743433,[16 29] ; [10  7],[18.87096774 26.12903226] ; [7.12903226 9.87096774],0
s8,1,0.09887,2.723678,[11 34] ; [ 1 16],[ 8.70967742 36.29032258] ; [ 3.29032258 13.70967742],0
s3,1,0.12529,2.349909,[15 29] ; [ 2 13],[12.6779661 31.3220339] ; [ 4.3220339 10.6779661],0
d4,1,0.144358,2.130882,[23 23] ; [12  5],[25.55555556 20.44444444] ; [9.44444444 7.55555556],0
p7,1,0.156168,2.010944,[12 31] ; [8 9],[14.33333333 28.66666667] ; [ 5.66666667 11.33333333],0
d3,1,0.162628,1.949616,[18 28] ; [10  7],[20.44444444 25.55555556] ; [7.55555556 9.44444444],0
b3,1,0.232228,1.427166,[15 19] ; [2 7],[13.44186047 20.55813953] ; [3.55813953 5.44186047],0
b2,1,0.232228,1.427166,[15 19] ; [2 7],[13.44186047 20.55813953] ; [3.55813953 5.44186047],0
v2,1,0.257732,1.280896,[11 33] ; [ 2 15],[ 9.37704918 34.62295082] ; [ 3.62295082 13.37704918],0
p3,1,0.268923,1.222233,[12 33] ; [ 7 10],[13.79032258 31.20967742] ; [ 5.20967742 11.79032258],0
b5,1,0.279027,1.171821,[20 26] ; [10  7],[21.9047619 24.0952381] ; [8.0952381 8.9047619],0
d1,1,0.315615,1.007033,[17 29] ; [ 4 13],[15.33333333 30.66666667] ; [ 5.66666667 11.33333333],0
s7,1,0.327357,0.959327,[11 32] ; [ 2 13],[ 9.63793103 33.36206897] ; [ 3.36206897 11.63793103],0
s2,1,0.370828,0.800888,[10 36] ; [ 2 15],[ 8.76190476 37.23809524] ; [ 3.23809524 13.76190476],0
s5,1,0.370828,0.800888,[10 36] ; [ 2 15],[ 8.76190476 37.23809524] ; [ 3.23809524 13.76190476],0
r1,1,0.374247,0.789514,[22 24] ; [ 6 11],[20.44444444 25.55555556] ; [7.55555556 9.44444444],0
a7,1,0.50356,0.447425,[20 26] ; [9 8],[21.17460317 24.82539683] ; [7.82539683 9.17460317],0
v1,1,0.526605,0.400938,[15 31] ; [ 7 10],[16.06349206 29.93650794] ; [ 5.93650794 11.06349206],0
s6,1,0.557392,0.34424,[14 31] ; [ 4 13],[13.06451613 31.93548387] ; [ 4.93548387 12.06451613],0
b4,1,0.577124,0.310908,[29 17] ; [12  5],[29.93650794 16.06349206] ; [11.06349206  5.93650794],0
p1,1,0.58749,0.294282,[ 8 38] ; [ 2 15],[ 7.3015873 38.6984127] ; [ 2.6984127 14.3015873],0
a3,1,0.605359,0.266989,[29 15] ; [10  7],[28.13114754 15.86885246] ; [10.86885246  6.13114754],0
p10,1,0.659189,0.19451,[21 24] ; [9 8],[21.77419355 23.22580645] ; [8.22580645 8.77419355],0
b1,1,0.665149,0.187329,[27 19] ; [11  6],[27.74603175 18.25396825] ; [10.25396825  6.74603175],0
s1,1,0.713856,0.134456,[ 4 42] ; [ 1 16],[ 3.65079365 42.34920635] ; [ 1.34920635 15.65079365],0
a4,1,0.727059,0.121829,[15 29] ; [ 5 12],[14.42622951 29.57377049] ; [ 5.57377049 11.42622951],0
n3,1,0.749139,0.102256,[12 16] ; [3 3],[12.35294118 15.64705882] ; [2.64705882 3.35294118],0
p4,1,0.753276,0.098799,[14 31] ; [ 6 11],[14.51612903 30.48387097] ; [ 5.48387097 11.51612903],0
v4,1,0.759486,0.093732,[29 17] ; [10  7],[28.47619048 17.52380952] ; [10.52380952  6.47619048],0
p8,1,0.795414,0.06723,[14 30] ; [ 6 11],[14.42622951 29.57377049] ; [ 5.57377049 11.42622951],0
d5,1,0.799596,0.06445,[26 20] ; [9 8],[25.55555556 20.44444444] ; [9.44444444 7.55555556],0
v3,1,0.801159,0.063427,[12 33] ; [ 4 13],[11.61290323 33.38709677] ; [ 4.38709677 12.61290323],0
a2,1,0.892364,0.01831,[ 6 40] ; [ 2 15],[ 5.84126984 40.15873016] ; [ 2.15873016 14.84126984],0
p9,1,0.968868,0.001523,[22 20] ; [9 8],[22.06779661 19.93220339] ; [8.93220339 8.06779661],0
p11,1,0.969845,0.001429,[16 30] ; [ 6 11],[16.06349206 29.93650794] ; [ 5.93650794 11.06349206],0
