Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.00011,14.961293,[25 19] ; [32 96],[14.58139535 29.41860465] ; [42.41860465 85.58139535],1
s2,1,0.000111,14.944561,[30 14] ; [46 86],[19. 25.] ; [57. 75.],1
s6,1,0.003558,8.496875,[34 10] ; [69 63],[25.75 18.25] ; [77.25 54.75],0
s3,1,0.004073,8.251065,[30 14] ; [57 75],[21.75 22.25] ; [65.25 66.75],0
p6,1,0.004325,8.14206,[18 25] ; [ 26 104],[10.93641618 32.06358382] ; [33.06358382 96.93641618],0
s5,1,0.020237,5.391303,[18 24] ; [ 32 100],[12.06896552 29.93103448] ; [37.93103448 94.06896552],0
r1,1,0.056428,3.639371,[26 18] ; [98 34],[31. 13.] ; [93. 39.],0
p11,1,0.07746,3.117398,[27 17] ; [100  33],[31.57062147 12.42937853] ; [95.42937853 37.57062147],0
v2,1,0.094791,2.791067,[15 26] ; [66 62],[19.65088757 21.34911243] ; [61.34911243 66.65088757],0
v1,1,0.129984,2.292699,[14 29] ; [59 70],[18.25 24.75] ; [54.75 74.25],0
p7,1,0.152303,2.049028,[29 11] ; [78 52],[25.17647059 14.82352941] ; [81.82352941 48.17647059],0
p1,1,0.166673,1.912619,[ 4 40] ; [  5 127],[ 2.25 41.75] ; [  6.75 125.25],0
d3,1,0.201566,1.63099,[34  9] ; [91 41],[30.71428571 12.28571429] ; [94.28571429 37.71428571],0
n5,1,0.237949,1.392705,[19 25] ; [44 88],[15.75 28.25] ; [47.25 84.75],0
d4,1,0.249056,1.328592,[37  7] ; [100  32],[34.25  9.75] ; [102.75  29.25],0
d5,1,0.259469,1.271588,[33 10] ; [90 43],[30.05113636 12.94886364] ; [92.94886364 40.05113636],0
b5,1,0.266241,1.236013,[29 15] ; [75 58],[25.85310734 18.14689266] ; [78.14689266 54.85310734],0
r2,1,0.326261,0.963683,[41  3] ; [116  16],[39.25  4.75] ; [117.75  14.25],0
p9,1,0.331652,0.942438,[33 10] ; [110  22],[35.13714286  7.86285714] ; [107.86285714  24.13714286],0
p10,1,0.358302,0.843836,[34  9] ; [95 37],[31.69714286 11.30285714] ; [97.30285714 34.69714286],0
v4,1,0.375553,0.785209,[40  4] ; [124   7],[41.23428571  2.76571429] ; [122.76571429   8.23428571],0
s8,1,0.389332,0.741029,[17 27] ; [42 91],[14.66666667 29.33333333] ; [44.33333333 88.66666667],0
n1,1,0.394305,0.725624,[ 5 11] ; [10 38],[ 3.75 12.25] ; [11.25 36.75],0
u3,1,0.426686,0.631828,[14  7] ; [30 23],[12.48648649  8.51351351] ; [31.51351351 21.48648649],0
a3,1,0.428338,0.627327,[23 21] ; [78 54],[25.25 18.75] ; [75.75 56.25],0
a2,1,0.438731,0.5996,[ 4 40] ; [ 18 115],[ 5.46892655 38.53107345] ; [ 16.53107345 116.46892655],0
a4,1,0.507314,0.439603,[10 34] ; [37 96],[11.68361582 32.31638418] ; [35.31638418 97.68361582],0
v3,1,0.571889,0.319532,[ 9 34] ; [32 95],[10.37058824 32.62941176] ; [30.62941176 96.37058824],0
b4,1,0.622694,0.2421,[27 17] ; [76 57],[25.60451977 18.39548023] ; [77.39548023 55.60451977],0
p4,1,0.633731,0.227035,[22 22] ; [61 72],[20.63276836 23.36723164] ; [62.36723164 70.63276836],0
r4,1,0.649806,0.206145,[34 10] ; [107  26],[35.05084746  8.94915254] ; [105.94915254  27.05084746],0
b1,1,0.670181,0.181391,[14 30] ; [47 86],[15.16384181 28.83615819] ; [45.83615819 87.16384181],0
a6,1,0.690235,0.158831,[28 16] ; [89 44],[29.08474576 14.91525424] ; [87.91525424 45.08474576],0
d1,1,0.691797,0.157147,[19 25] ; [62 71],[20.13559322 23.86440678] ; [60.86440678 72.13559322],0
n2,1,0.714277,0.134043,[12  4] ; [33 14],[11.42857143  4.57142857] ; [33.57142857 13.42857143],0
b2,1,0.76629,0.088346,[ 6 16] ; [19 43],[ 6.54761905 15.45238095] ; [18.45238095 43.54761905],0
b3,1,0.76629,0.088346,[ 6 16] ; [19 43],[ 6.54761905 15.45238095] ; [18.45238095 43.54761905],0
d2,1,0.800538,0.063832,[13 31] ; [42 91],[13.67231638 30.32768362] ; [41.32768362 91.67231638],0
p8,1,0.831729,0.04515,[21 21] ; [64 69],[20.4 21.6] ; [64.6 68.4],0
r3,1,0.833188,0.044359,[39  4] ; [122  11],[39.33522727  3.66477273] ; [121.66477273  11.33522727],0
n3,1,0.874489,0.024951,[11  5] ; [34 14],[11.25  4.75] ; [33.75 14.25],0
u1,1,0.8764,0.024191,[ 5 39] ; [ 14 119],[ 4.72316384 39.27683616] ; [ 14.27683616 118.72316384],0
u2,1,0.966339,0.001781,[12  9] ; [30 23],[11.91891892  9.08108108] ; [30.08108108 22.91891892],0
a5,1,0.968504,0.001559,[24 20] ; [73 60],[24.11299435 19.88700565] ; [72.88700565 60.11299435],0
p3,1,0.972605,0.001179,[17 27] ; [51 82],[16.9039548 27.0960452] ; [51.0960452 81.9039548],0
a7,1,0.994356,5e-05,[33 10] ; [102  31],[32.98295455 10.01704545] ; [102.01704545  30.98295455],0
n6,1,0.998292,5e-06,[29 14] ; [89 43],[28.99428571 14.00571429] ; [89.00571429 42.99428571],0
