Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.193705,[83  2] ; [104  37],[70.33185841 14.66814159] ; [116.66814159  24.33185841],1
s2,1,0.00083,11.172869,[70 16] ; [86 57],[58.58515284 27.41484716] ; [97.41484716 45.58515284],1
s3,1,0.003947,8.308185,[72 12] ; [98 45],[62.90748899 21.09251101] ; [107.09251101  35.90748899],0
s4,1,0.016767,5.720558,[24 63] ; [ 21 122],[17.02173913 69.97826087] ; [ 27.97826087 115.02173913],0
n3,1,0.037181,4.342105,[18  4] ; [18 15],[14.4  7.6] ; [21.6 11.4],0
p2,1,0.051073,3.805891,[76 11] ; [110  33],[70.35652174 16.64347826] ; [115.64347826  27.35652174],0
v2,1,0.064419,3.419803,[56 29] ; [73 64],[49.39189189 35.60810811] ; [79.60810811 57.39189189],0
p12,1,0.07169,3.243895,[ 8 79] ; [  5 137],[ 4.93886463 82.06113537] ; [  8.06113537 133.93886463],0
v3,1,0.07622,3.143714,[44 41] ; [53 81],[37.64840183 47.35159817] ; [59.35159817 74.64840183],0
r2,1,0.088368,2.903848,[83  2] ; [130  11],[80.11061947  4.88938053] ; [132.88938053   8.11061947],0
s8,1,0.09134,2.85059,[61 25] ; [85 57],[55.07017544 30.92982456] ; [90.92982456 51.07017544],0
a1,1,0.091806,2.842419,[ 1 86] ; [  8 135],[ 3.40434783 83.59565217] ; [  5.59565217 137.40434783],0
a3,1,0.108453,2.576614,[75 12] ; [111  32],[70.35652174 16.64347826] ; [115.64347826  27.35652174],0
p9,1,0.118959,2.430979,[76  9] ; [116  26],[71.89427313 13.10572687] ; [120.10572687  21.89427313],0
d5,1,0.20406,1.613073,[75 12] ; [113  29],[71.42358079 15.57641921] ; [116.57641921  25.42358079],0
r4,1,0.22385,1.479517,[79  8] ; [122  21],[76.03043478 10.96956522] ; [124.96956522  18.03043478],0
p7,1,0.239594,1.382983,[52 31] ; [77 64],[47.79910714 35.20089286] ; [81.20089286 59.79910714],0
p5,1,0.243117,1.362428,[11 76] ; [ 11 128],[ 8.46902655 78.53097345] ; [ 13.53097345 125.46902655],0
r1,1,0.244527,1.354307,[74 11] ; [116  27],[70.83333333 14.16666667] ; [119.16666667  23.83333333],0
n5,1,0.24535,1.349589,[69 15] ; [108  35],[65.49779736 18.50220264] ; [111.50220264  31.49779736],0
d4,1,0.251708,1.313797,[75 12] ; [114  28],[71.80349345 15.19650655] ; [117.19650655  24.80349345],0
b5,1,0.261614,1.260197,[47 40] ; [88 55],[51.06521739 35.93478261] ; [83.93478261 59.06521739],0
v4,1,0.265151,1.241661,[82  3] ; [131  10],[80.11061947  4.88938053] ; [132.88938053   8.11061947],0
a6,1,0.333426,0.935546,[54 33] ; [97 45],[57.36681223 29.63318777] ; [93.63318777 48.36681223],0
p8,1,0.368283,0.809449,[41 43] ; [61 82],[37.74449339 46.25550661] ; [64.25550661 78.74449339],0
d2,1,0.469483,0.523193,[49 38] ; [73 69],[46.34934498 40.65065502] ; [75.65065502 66.34934498],0
r3,1,0.47046,0.520896,[83  3] ; [135   8],[81.86899563  4.13100437] ; [136.13100437   6.86899563],0
b3,1,0.496022,0.463437,[24 35] ; [36 66],[21.98757764 37.01242236] ; [38.01242236 63.98757764],0
b2,1,0.496022,0.463437,[24 35] ; [36 66],[21.98757764 37.01242236] ; [38.01242236 63.98757764],0
p4,1,0.505337,0.443711,[49 37] ; [75 68],[46.56768559 39.43231441] ; [77.43231441 65.56768559],0
a5,1,0.528289,0.397682,[70 17] ; [110  33],[68.08695652 18.91304348] ; [111.91304348  31.08695652],0
n1,1,0.537082,0.380975,[12 11] ; [14 18],[10.87272727 12.12727273] ; [15.12727273 16.87272727],0
p1,1,0.573897,0.316206,[ 5 82] ; [ 11 132],[ 6.05217391 80.94782609] ; [  9.94782609 133.05217391],0
a2,1,0.586794,0.295379,[26 61] ; [ 38 105],[24.20869565 62.79130435] ; [ 39.79130435 103.20869565],0
n6,1,0.603569,0.269646,[72 12] ; [118  24],[70.61946903 13.38053097] ; [119.38053097  22.61946903],0
