Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.871539,[13 21] ; [42  6],[22.80487805 11.19512195] ; [32.19512195 15.80487805],1
r2,1,3.1e-05,17.358159,[20 14] ; [46  2],[27.36585366  6.63414634] ; [38.63414634  9.36585366],1
b1,1,0.010805,6.497038,[21 13] ; [16 32],[15.34146341 18.65853659] ; [21.65853659 26.34146341],0
a7,1,0.021938,5.250734,[14 20] ; [32 16],[19.07317073 14.92682927] ; [26.92682927 21.07317073],0
r3,1,0.026736,4.907775,[25  9] ; [44  4],[28.6097561  5.3902439] ; [40.3902439  7.6097561],0
d5,1,0.055273,3.673835,[17 17] ; [34 14],[21.14634146 12.85365854] ; [29.85365854 18.14634146],0
a6,1,0.065802,3.384748,[15 19] ; [31 17],[19.07317073 14.92682927] ; [26.92682927 21.07317073],0
b4,1,0.09935,2.715951,[15 19] ; [30 18],[18.65853659 15.34146341] ; [26.34146341 21.65853659],0
s4,1,0.106935,2.598946,[ 9 25] ; [ 6 42],[ 6.2195122 27.7804878] ; [ 8.7804878 39.2195122],0
v2,1,0.119912,2.418469,[10 24] ; [21 24],[13.34177215 20.65822785] ; [17.65822785 27.34177215],0
a2,1,0.141492,2.161656,[ 2 32] ; [ 8 40],[ 4.14634146 29.85365854] ; [ 5.85365854 42.14634146],0
d1,1,0.15873,1.986282,[11 23] ; [23 25],[14.09756098 19.90243902] ; [19.90243902 28.09756098],0
d4,1,0.173812,1.849751,[23 11] ; [38  9],[25.60493827  8.39506173] ; [35.39506173 11.60493827],0
s5,1,0.183547,1.768668,[ 8 25] ; [ 6 41],[ 5.775 27.225] ; [ 8.225 38.775],0
v4,1,0.196515,1.668086,[25  9] ; [40  7],[27.28395062  6.71604938] ; [37.71604938  9.28395062],0
v1,1,0.234541,1.413112,[ 7 26] ; [16 32],[ 9.37037037 23.62962963] ; [13.62962963 34.37037037],0
p11,1,0.254914,1.296171,[12 22] ; [23 25],[14.51219512 19.48780488] ; [20.48780488 27.51219512],0
p3,1,0.27111,1.211124,[12 21] ; [12 36],[ 9.77777778 23.22222222] ; [14.22222222 33.77777778],0
p8,1,0.284741,1.144322,[ 8 25] ; [17 31],[10.18518519 22.81481481] ; [14.81481481 33.18518519],0
p4,1,0.321106,0.984435,[15 19] ; [16 32],[12.85365854 21.14634146] ; [18.14634146 29.85365854],0
d3,1,0.349063,0.876862,[17 17] ; [29 19],[19.07317073 14.92682927] ; [26.92682927 21.07317073],0
p7,1,0.349063,0.876862,[17 17] ; [19 29],[14.92682927 19.07317073] ; [21.07317073 26.92682927],0
p2,1,0.349063,0.876862,[17 17] ; [29 19],[19.07317073 14.92682927] ; [26.92682927 21.07317073],0
a1,1,0.366662,0.814946,[ 2 32] ; [ 1 47],[ 1.24390244 32.75609756] ; [ 1.75609756 46.24390244],0
v3,1,0.378827,0.774506,[ 4 29] ; [ 9 37],[ 5.43037975 27.56962025] ; [ 7.56962025 38.43037975],0
p1,1,0.385274,0.753807,[ 3 31] ; [ 2 46],[ 2.07317073 31.92682927] ; [ 2.92682927 45.07317073],0
b5,1,0.426179,0.633214,[19 15] ; [31 17],[20.73170732 13.26829268] ; [29.26829268 18.73170732],0
b3,1,0.433521,0.613373,[ 6 13] ; [ 6 22],[ 4.85106383 14.14893617] ; [ 7.14893617 20.85106383],0
b2,1,0.433521,0.613373,[ 6 13] ; [ 6 22],[ 4.85106383 14.14893617] ; [ 7.14893617 20.85106383],0
u2,1,0.44419,0.585434,[ 6 11] ; [10 11],[7.15789474 9.84210526] ; [ 8.84210526 12.15789474],0
u3,1,0.454812,0.558633,[8 9] ; [13  9],[9.15384615 7.84615385] ; [11.84615385 10.15384615],0
n3,1,0.517471,0.418931,[9 7] ; [14  7],[9.94594595 6.05405405] ; [13.05405405  7.94594595],0
d2,1,0.547157,0.362436,[15 19] ; [18 30],[13.68292683 20.31707317] ; [19.31707317 28.68292683],0
s7,1,0.634567,0.225919,[ 6 25] ; [ 7 39],[ 5.23376623 25.76623377] ; [ 7.76623377 38.23376623],0
p6,1,0.636377,0.223512,[ 7 26] ; [ 8 39],[ 6.1875 26.8125] ; [ 8.8125 38.1875],0
a4,1,0.63934,0.219606,[ 9 25] ; [15 33],[ 9.95121951 24.04878049] ; [14.04878049 33.95121951],0
n1,1,0.663033,0.18986,[ 4 12] ; [ 4 17],[ 3.45945946 12.54054054] ; [ 4.54054054 16.45945946],0
a8,1,0.670017,0.181582,[ 1 33] ; [ 2 39],[ 1.36 32.64] ; [ 1.64 39.36],0
n6,1,0.73395,0.115516,[19 15] ; [25 23],[18.24390244 15.75609756] ; [25.75609756 22.24390244],0
a5,1,0.73395,0.115516,[15 19] ; [23 25],[15.75609756 18.24390244] ; [22.24390244 25.75609756],0
n5,1,0.788901,0.071684,[ 9 25] ; [14 34],[ 9.53658537 24.46341463] ; [13.46341463 34.53658537],0
a3,1,0.814242,0.055205,[17 16] ; [26 22],[17.51851852 15.48148148] ; [25.48148148 22.51851852],0
p9,1,0.84547,0.037987,[10 22] ; [16 32],[10.4 21.6] ; [15.6 32.4],0
s2,1,0.862968,0.02979,[10 24] ; [13 34],[ 9.65432099 24.34567901] ; [13.34567901 33.65432099],0
s6,1,0.901391,0.015352,[14 20] ; [20 27],[14.27160494 19.72839506] ; [19.72839506 27.27160494],0
s3,1,0.901882,0.015199,[13 21] ; [19 29],[13.26829268 20.73170732] ; [18.73170732 29.26829268],0
s1,1,0.937619,0.006125,[ 3 31] ; [ 4 44],[ 2.90243902 31.09756098] ; [ 4.09756098 43.90243902],0
n2,1,0.940215,0.005625,[9 7] ; [11  9],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
s8,1,0.981273,0.000551,[ 5 29] ; [ 7 40],[ 5.03703704 28.96296296] ; [ 6.96296296 40.03703704],0
