Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,35.339394,[69 16] ; [ 8 26],[55. 30.] ; [22. 12.],1
p11,1,0.007503,7.148506,[64 21] ; [17 17],[57.85714286 27.14285714] ; [23.14285714 10.85714286],0
s6,1,0.008389,6.948529,[55 30] ; [13 21],[48.57142857 36.42857143] ; [19.42857143 14.57142857],0
s8,1,0.010843,6.490909,[36 49] ; [ 6 28],[30. 55.] ; [12. 22.],0
a7,1,0.037292,4.337048,[64 21] ; [19 15],[59.28571429 25.71428571] ; [23.71428571 10.28571429],0
v4,1,0.050616,3.820922,[80  4] ; [27  5],[77.48275862  6.51724138] ; [29.51724138  2.48275862],0
s7,1,0.057976,3.594346,[33 49] ; [ 6 23],[28.81081081 53.18918919] ; [10.18918919 18.81081081],0
b3,1,0.062558,3.468249,[14 32] ; [ 2 19],[10.98507463 35.01492537] ; [ 5.01492537 15.98507463],0
b2,1,0.062558,3.468249,[14 32] ; [ 2 19],[10.98507463 35.01492537] ; [ 5.01492537 15.98507463],0
b5,1,0.067247,3.348968,[60 25] ; [18 16],[55.71428571 29.28571429] ; [22.28571429 11.71428571],0
n5,1,0.069878,3.285879,[40 44] ; [10 24],[35.59322034 48.40677966] ; [14.40677966 19.59322034],0
s2,1,0.076221,3.143699,[37 47] ; [ 9 25],[32.74576271 51.25423729] ; [13.25423729 20.74576271],0
b1,1,0.08171,3.03056,[40 45] ; [22 12],[44.28571429 40.71428571] ; [17.71428571 16.28571429],0
p4,1,0.092686,2.82709,[47 38] ; [13 21],[42.85714286 42.14285714] ; [17.14285714 16.85714286],0
d3,1,0.103967,2.643614,[60 24] ; [19 15],[56.23728814 27.76271186] ; [22.76271186 11.23728814],0
r2,1,0.107721,2.587345,[75  8] ; [27  7],[72.35897436 10.64102564] ; [29.64102564  4.35897436],0
d2,1,0.116662,2.461567,[27 58] ; [16 18],[30.71428571 54.28571429] ; [12.28571429 21.71428571],0
n1,1,0.132725,2.260334,[ 8 12] ; [ 2 11],[ 6.06060606 13.93939394] ; [3.93939394 9.06060606],0
v2,1,0.167464,1.905497,[40 39] ; [12 21],[36.67857143 42.32142857] ; [15.32142857 17.67857143],0
s4,1,0.212022,1.557563,[14 71] ; [ 9 25],[16.42857143 68.57142857] ; [ 6.57142857 27.42857143],0
b4,1,0.216112,1.53,[47 38] ; [23 11],[50. 35.] ; [20. 14.],0
p8,1,0.221963,1.491633,[40 44] ; [12 22],[37.01694915 46.98305085] ; [14.98305085 19.01694915],0
v1,1,0.224704,1.474073,[41 40] ; [13 21],[38.03478261 42.96521739] ; [15.96521739 18.03478261],0
u2,1,0.2449,1.352163,[23  7] ; [9 6],[21.33333333  8.66666667] ; [10.66666667  4.33333333],0
a8,1,0.285643,1.140044,[ 7 69] ; [ 1 30],[ 5.68224299 70.31775701] ; [ 2.31775701 28.68224299],0
n2,1,0.306702,1.044825,[16  4] ; [9 5],[14.70588235  5.29411765] ; [10.29411765  3.70588235],0
n3,1,0.306702,1.044825,[16  4] ; [9 5],[14.70588235  5.29411765] ; [10.29411765  3.70588235],0
a5,1,0.344424,0.893897,[53 32] ; [18 16],[50.71428571 34.28571429] ; [20.28571429 13.71428571],0
s5,1,0.412994,0.670164,[21 62] ; [ 6 27],[19.31896552 63.68103448] ; [ 7.68103448 25.31896552],0
a3,1,0.438999,0.598898,[54 31] ; [19 15],[52.14285714 32.85714286] ; [20.85714286 13.14285714],0
d4,1,0.479214,0.500652,[67 18] ; [24  9],[65.55084746 19.44915254] ; [25.44915254  7.55084746],0
d1,1,0.560389,0.339031,[40 45] ; [14 20],[38.57142857 46.42857143] ; [15.42857143 18.57142857],0
v3,1,0.629063,0.233333,[21 59] ; [ 7 25],[20. 60.] ; [ 8. 24.],0
p6,1,0.636421,0.223453,[24 60] ; [ 8 25],[22.97435897 61.02564103] ; [ 9.02564103 23.97435897],0
a6,1,0.65607,0.198333,[61 24] ; [23 11],[60. 25.] ; [24. 10.],0
r1,1,0.666802,0.185365,[61 23] ; [26  8],[61.93220339 22.06779661] ; [25.06779661  8.93220339],0
r4,1,0.669406,0.182298,[68 17] ; [26  8],[67.14285714 17.85714286] ; [26.85714286  7.14285714],0
s3,1,0.678187,0.172174,[45 38] ; [17 17],[43.98290598 39.01709402] ; [18.01709402 15.98290598],0
n4,1,0.684343,0.165278,[44 41] ; [19 15],[45. 40.] ; [18. 16.],0
r3,1,0.700178,0.148287,[77  8] ; [30  4],[76.42857143  8.57142857] ; [30.57142857  3.42857143],0
a4,1,0.710972,0.137308,[27 58] ; [12 22],[27.85714286 57.14285714] ; [11.14285714 22.85714286],0
d5,1,0.789438,0.071311,[63 22] ; [26  8],[63.57142857 21.42857143] ; [25.42857143  8.57142857],0
s1,1,0.841507,0.039986,[ 2 82] ; [ 1 32],[ 2.15384615 81.84615385] ; [ 0.84615385 32.15384615],0
p1,1,0.846494,0.037479,[ 6 79] ; [ 2 31],[ 5.76271186 79.23728814] ; [ 2.23728814 30.76271186],0
p3,1,0.906495,0.013797,[36 49] ; [14 20],[35.71428571 49.28571429] ; [14.28571429 19.71428571],0
u1,1,0.920278,0.010017,[ 8 77] ; [ 3 31],[ 7.85714286 77.14285714] ; [ 3.14285714 30.85714286],0
p7,1,0.925801,0.008673,[49 33] ; [20 14],[48.77586207 33.22413793] ; [20.22413793 13.77586207],0
a2,1,0.935517,0.006546,[13 72] ; [ 5 29],[12.85714286 72.14285714] ; [ 5.14285714 28.85714286],0
u3,1,1.0,0.0,[20 10] ; [10  5],[20. 10.] ; [10.  5.],0
