Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.566877,[130   7] ; [52 22],[118.17061611  18.82938389] ; [63.82938389 10.17061611],1
p4,1,2e-06,23.143101,[78 60] ; [16 57],[61.47867299 76.52132701] ; [32.52132701 40.47867299],1
p7,1,4e-06,21.132096,[80 56] ; [19 55],[64.11428571 71.88571429] ; [34.88571429 39.11428571],1
p9,1,4e-06,21.05858,[100  35] ; [29 41],[84.95121951 50.04878049] ; [44.04878049 25.95121951],1
r4,1,4.9e-05,16.472788,[125  14] ; [50 24],[114.20187793  24.79812207] ; [60.79812207 13.20187793],1
p10,1,0.000208,13.757471,[86 49] ; [26 45],[73.39805825 61.60194175] ; [38.60194175 32.39805825],1
v4,1,0.000221,13.639826,[131   7] ; [58 16],[123.02830189  14.97169811] ; [65.97169811  8.02830189],1
s6,1,0.000463,12.259351,[97 38] ; [34 38],[85.43478261 49.56521739] ; [45.56521739 26.43478261],1
p3,1,0.001924,9.620868,[64 75] ; [18 56],[53.51173709 85.48826291] ; [28.48826291 45.51173709],0
v1,1,0.002037,9.516149,[71 66] ; [22 52],[60.38388626 76.61611374] ; [32.61611374 41.38388626],0
a1,1,0.002569,9.090474,[  3 136] ; [ 9 65],[  7.83098592 131.16901408] ; [ 4.16901408 69.83098592],0
s2,1,0.002986,8.816033,[78 60] ; [26 48],[67.69811321 70.30188679] ; [36.30188679 37.69811321],0
p8,1,0.004176,8.205748,[54 82] ; [15 59],[44.68571429 91.31428571] ; [24.31428571 49.68571429],0
s3,1,0.006424,7.427469,[82 56] ; [29 44],[72.5971564 65.4028436] ; [38.4028436 34.5971564],0
n6,1,0.008415,6.942849,[102  35] ; [42 32],[93.49763033 43.50236967] ; [50.50236967 23.49763033],0
p6,1,0.008841,6.854674,[49 86] ; [14 60],[40.6937799 94.3062201] ; [22.3062201 51.6937799],0
s8,1,0.016256,5.774927,[57 81] ; [18 55],[49.0521327 88.9478673] ; [25.9478673 47.0521327],0
s1,1,0.018523,5.546006,[  5 131] ; [ 9 65],[  9.06666667 126.93333333] ; [ 4.93333333 69.06666667],0
s7,1,0.026455,4.926008,[65 65] ; [22 44],[57.70408163 72.29591837] ; [29.29591837 36.70408163],0
r1,1,0.045074,4.015853,[108  29] ; [49 25],[101.93838863  35.06161137] ; [55.06161137 18.93838863],0
n4,1,0.047053,3.943483,[93 44] ; [40 34],[86.35545024 50.64454976] ; [46.64454976 27.35545024],0
a7,1,0.052718,3.752842,[105  33] ; [47 27],[98.94339623 39.05660377] ; [53.05660377 20.94339623],0
d3,1,0.052913,3.746662,[97 40] ; [42 31],[90.68095238 46.31904762] ; [48.31904762 24.68095238],0
b4,1,0.068674,3.314426,[82 57] ; [34 40],[75.69953052 63.30046948] ; [40.30046948 33.69953052],0
p5,1,0.069023,3.306099,[ 13 125] ; [ 2 72],[  9.76415094 128.23584906] ; [ 5.23584906 68.76415094],0
s5,1,0.131308,2.276972,[48 83] ; [18 51],[43.23 87.77] ; [22.77 46.23],0
n5,1,0.141606,2.160417,[90 47] ; [41 33],[85.05687204 51.94312796] ; [45.94312796 28.05687204],0
b5,1,0.143183,2.143412,[93 46] ; [42 32],[88.09859155 50.90140845] ; [46.90140845 27.09859155],0
b3,1,0.150875,2.063385,[16 48] ; [16 26],[19.32075472 44.67924528] ; [12.67924528 29.32075472],0
b2,1,0.150875,2.063385,[16 48] ; [16 26],[19.32075472 44.67924528] ; [12.67924528 29.32075472],0
n2,1,0.161269,1.962286,[34 10] ; [24 14],[31.12195122 12.87804878] ; [26.87804878 11.12195122],0
u2,1,0.182694,1.775572,[23 23] ; [ 8 16],[20.37142857 25.62857143] ; [10.62857143 13.37142857],0
u3,1,0.208,1.58529,[27 20] ; [10 14],[24.49295775 22.50704225] ; [12.50704225 11.49295775],0
a6,1,0.221635,1.493751,[90 49] ; [41 32],[85.89150943 53.10849057] ; [45.10849057 27.89150943],0
n3,1,0.348769,0.87793,[32 12] ; [22 13],[30.07594937 13.92405063] ; [23.92405063 11.07594937],0
v2,1,0.351806,0.866933,[65 67] ; [31 42],[61.81463415 70.18536585] ; [34.18536585 38.81463415],0
d4,1,0.357872,0.845346,[108  30] ; [53 20],[105.2985782  32.7014218] ; [55.7014218 17.2985782],0
u1,1,0.401666,0.703333,[ 25 114] ; [10 64],[ 22.84037559 116.15962441] ; [12.15962441 61.84037559],0
d5,1,0.464826,0.534249,[110  28] ; [55 18],[107.91469194  30.08530806] ; [57.08530806 15.91469194],0
d2,1,0.536955,0.381213,[71 68] ; [40 32],[73.12322275 65.87677725] ; [37.87677725 34.12322275],0
a5,1,0.540075,0.375402,[90 49] ; [51 23],[92.01408451 46.98591549] ; [48.98591549 25.01408451],0
p1,1,0.615507,0.252233,[ 12 126] ; [ 8 66],[ 13.01886792 124.98113208] ; [ 6.98113208 67.01886792],0
a8,1,0.619999,0.245869,[ 13 109] ; [ 6 65],[ 12.01036269 109.98963731] ; [ 6.98963731 64.01036269],0
a4,1,0.644096,0.213426,[61 78] ; [34 38],[62.58293839 76.41706161] ; [32.41706161 39.58293839],0
b1,1,0.67035,0.181193,[69 70] ; [39 35],[70.47887324 68.52112676] ; [37.52112676 36.47887324],0
u4,1,0.679543,0.170641,[  3 136] ; [ 1 73],[  2.61032864 136.38967136] ; [ 1.38967136 72.61032864],0
a3,1,0.68191,0.167983,[90 47] ; [50 23],[91.33333333 45.66666667] ; [48.66666667 24.33333333],0
d1,1,0.716758,0.131621,[75 64] ; [38 36],[73.74178404 65.25821596] ; [39.25821596 34.74178404],0
n1,1,0.769539,0.085836,[20 23] ; [16 21],[19.35 23.65] ; [16.65 20.35],0
s4,1,0.803121,0.062155,[ 30 108] ; [15 59],[ 29.29245283 108.70754717] ; [15.70754717 58.29245283],0
v3,1,0.808422,0.058788,[44 89] ; [24 45],[44.77227723 88.22772277] ; [23.22772277 45.77227723],0
a2,1,0.924323,0.009023,[ 33 106] ; [18 56],[ 33.28169014 105.71830986] ; [17.71830986 56.28169014],0
