Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,75.605651,[ 27 148] ; [157 120],[ 71.23893805 103.76106195] ; [112.76106195 164.23893805],1
v1,1,0.0,36.19023,[ 62 115] ; [180 102],[93.32026144 83.67973856] ; [148.67973856 133.32026144],1
p9,1,0.014696,5.95252,[137  40] ; [244  39],[146.60217391  30.39782609] ; [234.39782609  48.60217391],0
r3,1,0.022129,5.235644,[165  13] ; [280   8],[169.97854077   8.02145923] ; [275.02145923  12.97854077],0
p12,1,0.032471,4.573437,[  6 172] ; [ 24 262],[ 11.50862069 166.49137931] ; [ 18.49137931 267.50862069],0
s4,1,0.042526,4.114157,[ 38 138] ; [ 41 246],[ 30.03023758 145.96976242] ; [ 48.96976242 238.03023758],0
s7,1,0.050336,3.830228,[74 94] ; [148 128],[84. 84.] ; [138. 138.],0
a8,1,0.055628,3.66316,[ 15 150] ; [ 39 212],[ 21.41826923 143.58173077] ; [ 32.58173077 218.41826923],0
p11,1,0.056037,3.650956,[128  51] ; [229  60],[136.54487179  42.45512821] ; [220.45512821  68.54487179],0
s2,1,0.075514,3.158903,[84 93] ; [160 126],[93.27861771 83.72138229] ; [150.72138229 135.27861771],0
s1,1,0.081774,3.02929,[  8 169] ; [  5 279],[  4.99132321 172.00867679] ; [  8.00867679 275.99132321],0
a3,1,0.102724,2.662742,[134  44] ; [235  53],[140.94849785  37.05150215] ; [228.05150215  59.94849785],0
p10,1,0.109914,2.555456,[136  43] ; [234  51],[142.73706897  36.26293103] ; [227.26293103  57.73706897],0
n4,1,0.132447,2.263585,[135  44] ; [234  54],[141.43683084  37.56316916] ; [227.56316916  60.43683084],0
p7,1,0.134285,2.242251,[102  76] ; [180 100],[109.59825328  68.40174672] ; [172.40174672 107.59825328],0
p4,1,0.14856,2.08697,[101  78] ; [180 105],[108.40301724  70.59698276] ; [172.59698276 112.40301724],0
n6,1,0.163903,1.937846,[146  33] ; [247  39],[151.28387097  27.71612903] ; [241.71612903  44.28387097],0
p3,1,0.16487,1.928984,[80 98] ; [148 139],[87.27741935 90.72258065] ; [140.72258065 146.27741935],0
b1,1,0.178292,1.811808,[ 73 106] ; [100 189],[ 66.16880342 112.83119658] ; [106.83119658 182.16880342],0
a6,1,0.178403,1.810874,[124  54] ; [217  71],[130.25321888  47.74678112] ; [210.74678112  77.25321888],0
p2,1,0.181268,1.787201,[141  38] ; [241  47],[146.41970021  32.58029979] ; [235.58029979  52.41970021],0
a2,1,0.196857,1.665542,[ 57 122] ; [109 180],[ 63.49145299 115.50854701] ; [102.50854701 186.49145299],0
a5,1,0.203429,1.617584,[145  34] ; [247  42],[149.93162393  29.06837607] ; [242.06837607  46.93162393],0
a7,1,0.205882,1.60015,[132  47] ; [227  61],[137.60385439  41.39614561] ; [221.39614561  66.60385439],0
s6,1,0.216672,1.526276,[111  66] ; [194  90],[117.10412148  59.89587852] ; [187.89587852  96.10412148],0
d2,1,0.23385,1.417288,[123  54] ; [214  73],[128.55387931  48.44612069] ; [208.44612069  78.55387931],0
n3,1,0.268932,1.222189,[35 19] ; [41 14],[37.65137615 16.34862385] ; [38.34862385 16.65137615],0
d5,1,0.272709,1.20307,[172   5] ; [285   4],[173.58154506   3.41845494] ; [283.41845494   5.58154506],0
s8,1,0.277569,1.178953,[ 79 100] ; [141 145],[84.68817204 94.31182796] ; [135.31182796 150.68817204],0
d3,1,0.285795,1.139324,[161  17] ; [252  37],[157.41755889  20.58244111] ; [255.58244111  33.41755889],0
b4,1,0.287572,1.130952,[102  77] ; [179 110],[107.47649573  71.52350427] ; [173.52350427 115.47649573],0
d4,1,0.29487,1.097253,[173   4] ; [285   3],[174.33548387   2.66451613] ; [283.66451613   4.33548387],0
b5,1,0.303689,1.057924,[108  71] ; [188 101],[113.21367521  65.78632479] ; [182.78632479 106.21367521],0
b3,1,0.309455,1.033,[46 66] ; [ 64 118],[41.9047619 70.0952381] ; [ 68.0952381 113.9047619],0
b2,1,0.309455,1.033,[46 66] ; [ 64 118],[41.9047619 70.0952381] ; [ 68.0952381 113.9047619],0
p8,1,0.353267,0.861688,[87 92] ; [148 131],[91.84497817 87.15502183] ; [143.15502183 135.84497817],0
a4,1,0.382864,0.761484,[99 79] ; [172 116],[103.51502146  74.48497854] ; [167.48497854 120.51502146],0
u2,1,0.429395,0.62446,[29 16] ; [30 23],[27.09183673 17.90816327] ; [31.90816327 21.09183673],0
u4,1,0.44848,0.574491,[  3 176] ; [  8 281],[  4.20726496 174.79273504] ; [  6.79273504 282.20726496],0
r1,1,0.453141,0.562783,[146  32] ; [243  44],[148.90752688  29.09247312] ; [240.09247312  46.90752688],0
s3,1,0.479198,0.500689,[95 83] ; [160 122],[98.67391304 79.32608696] ; [156.32608696 125.67391304],0
n2,1,0.506934,0.44039,[35 21] ; [37 17],[36.65454545 19.34545455] ; [35.34545455 18.65454545],0
a1,1,0.541422,0.37291,[  6 173] ; [ 13 276],[  7.26709402 171.73290598] ; [ 11.73290598 277.26709402],0
p1,1,0.560089,0.339551,[ 13 166] ; [ 17 271],[ 11.49892934 167.50107066] ; [ 18.50107066 269.49892934],0
u1,1,0.697224,0.151376,[ 46 133] ; [ 79 210],[ 47.80982906 131.19017094] ; [ 77.19017094 211.80982906],0
u3,1,0.732838,0.116521,[29 16] ; [33 21],[28.18181818 16.81818182] ; [33.81818182 20.18181818],0
r4,1,0.757313,0.095488,[162  17] ; [259  30],[161.02350427  17.97649573] ; [259.97649573  29.02350427],0
n5,1,0.784862,0.074523,[130  49] ; [211  75],[131.26666667  47.73333333] ; [209.73333333  76.26666667],0
n1,1,0.786429,0.073414,[18 37] ; [19 35],[18.66972477 36.33027523] ; [18.33027523 35.66972477],0
v4,1,0.790654,0.07047,[168  11] ; [272  16],[168.6509636  10.3490364] ; [271.3490364  16.6509636],0
s5,1,0.849333,0.036088,[ 60 118] ; [ 90 184],[ 59.07079646 118.92920354] ; [ 90.92920354 183.07079646],0
r2,1,0.958124,0.002757,[169   6] ; [274  10],[168.89978214   6.10021786] ; [274.10021786   9.89978214],0
p6,1,0.987972,0.000227,[ 67 112] ; [105 175],[ 67.07625272 111.92374728] ; [104.92374728 175.07625272],0
