Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.9e-05,18.290342,[ 8 51] ; [21 18],[17.45918367 41.54081633] ; [11.54081633 27.45918367],1
p4,1,3.8e-05,16.985003,[13 47] ; [25 15],[22.8 37.2] ; [15.2 24.8],1
p3,1,0.000446,12.329403,[10 49] ; [20 20],[17.87878788 41.12121212] ; [12.12121212 27.87878788],1
p2,1,0.001688,9.86135,[27 33] ; [30  9],[34.54545455 25.45454545] ; [22.45454545 16.54545455],0
d1,1,0.003155,8.715595,[29 31] ; [ 8 33],[21.98019802 38.01980198] ; [15.01980198 25.98019802],0
s6,1,0.003329,8.61753,[15 45] ; [22 19],[21.98019802 38.01980198] ; [15.01980198 25.98019802],0
p6,1,0.004104,8.237336,[ 6 52] ; [13 25],[11.47916667 46.52083333] ; [ 7.52083333 30.47916667],0
d2,1,0.004874,7.925424,[31 28] ; [10 31],[24.19 34.81] ; [16.81 24.19],0
b3,1,0.00698,7.278184,[17 18] ; [ 4 22],[12.04918033 22.95081967] ; [ 8.95081967 17.04918033],0
b2,1,0.00698,7.278184,[17 18] ; [ 4 22],[12.04918033 22.95081967] ; [ 8.95081967 17.04918033],0
p11,1,0.020984,5.328132,[27 33] ; [28 13],[32.67326733 27.32673267] ; [22.32673267 18.67326733],0
s8,1,0.02623,4.94077,[ 7 53] ; [12 29],[11.28712871 48.71287129] ; [ 7.71287129 33.28712871],0
a4,1,0.028444,4.800931,[22 37] ; [ 7 34],[17.11 41.89] ; [11.89 29.11],0
s2,1,0.029113,4.760891,[14 46] ; [18 23],[19.00990099 40.99009901] ; [12.99009901 28.00990099],0
s3,1,0.037385,4.332767,[16 43] ; [19 21],[20.85858586 38.14141414] ; [14.14141414 25.85858586],0
b5,1,0.039083,4.257252,[27 33] ; [27 14],[32.07920792 27.92079208] ; [21.92079208 19.07920792],0
p10,1,0.043172,4.088657,[24 35] ; [24 15],[28.89795918 30.10204082] ; [19.10204082 19.89795918],0
b4,1,0.056654,3.632732,[35 25] ; [16 25],[30.2970297 29.7029703] ; [20.7029703 20.2970297],0
p1,1,0.059136,3.561439,[ 8 52] ; [ 1 40],[ 5.34653465 54.65346535] ; [ 3.65346535 37.34653465],0
u2,1,0.06827,3.324123,[ 7 18] ; [10  8],[ 9.88372093 15.11627907] ; [ 7.11627907 10.88372093],0
v4,1,0.077351,3.119694,[33 27] ; [29 11],[37.2 22.8] ; [24.8 15.2],0
b1,1,0.114576,2.489935,[30 30] ; [27 14],[33.86138614 26.13861386] ; [23.13861386 17.86138614],0
s4,1,0.142929,2.146136,[ 9 51] ; [11 30],[11.88118812 48.11881188] ; [ 8.11881188 32.88118812],0
n1,1,0.158124,1.992074,[ 6 19] ; [ 8 10],[ 8.13953488 16.86046512] ; [ 5.86046512 12.13953488],0
a2,1,0.162375,1.951963,[ 8 52] ; [ 2 39],[ 5.94059406 54.05940594] ; [ 4.05940594 36.94059406],0
a1,1,0.162375,1.951963,[ 8 52] ; [ 2 39],[ 5.94059406 54.05940594] ; [ 4.05940594 36.94059406],0
p5,1,0.169061,1.891253,[ 2 58] ; [ 4 36],[ 3.6 56.4] ; [ 2.4 37.6],0
s1,1,0.179936,1.798149,[ 2 58] ; [ 4 37],[ 3.56435644 56.43564356] ; [ 2.43564356 38.56435644],0
s7,1,0.230084,1.440343,[14 43] ; [14 25],[16.625 40.375] ; [11.375 27.625],0
a6,1,0.241144,1.373892,[28 32] ; [24 17],[30.89108911 29.10891089] ; [21.10891089 19.89108911],0
