Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00745,7.161109,[19 17] ; [ 5 21],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
n1,1,0.018018,5.594419,[5 8] ; [8 1],[7.68181818 5.31818182] ; [5.31818182 3.68181818],0
a7,1,0.023412,5.137693,[28  9] ; [13 14],[23.703125 13.296875] ; [17.296875  9.703125],0
r3,1,0.032053,4.595676,[36  1] ; [22  5],[33.53125  3.46875] ; [24.46875  2.53125],0
u2,1,0.036331,4.381481,[7 2] ; [1 4],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
d5,1,0.049549,3.856657,[33  3] ; [19  7],[30.19354839  5.80645161] ; [21.80645161  4.19354839],0
d4,1,0.049549,3.856657,[33  3] ; [19  7],[30.19354839  5.80645161] ; [21.80645161  4.19354839],0
d1,1,0.051731,3.784439,[29  8] ; [15 12],[25.4375 11.5625] ; [18.5625  8.4375],0
p5,1,0.064768,3.410878,[ 2 35] ; [ 5 19],[ 4.24590164 32.75409836] ; [ 2.75409836 21.24590164],0
s1,1,0.074566,3.179532,[ 1 36] ; [ 4 23],[ 2.890625 34.109375] ; [ 2.109375 24.890625],0
p6,1,0.12322,2.375904,[15 22] ; [ 6 21],[12.140625 24.859375] ; [ 8.859375 18.140625],0
v3,1,0.170349,1.879867,[20 16] ; [ 9 15],[17.4 18.6] ; [11.6 12.4],0
p12,1,0.183627,1.768021,[ 5 32] ; [ 1 26],[ 3.46875 33.53125] ; [ 2.53125 24.46875],0
a5,1,0.199869,1.643335,[31  6] ; [19  8],[28.90625  8.09375] ; [21.09375  5.90625],0
s6,1,0.199869,1.643335,[31  6] ; [19  8],[28.90625  8.09375] ; [21.09375  5.90625],0
p1,1,0.202169,1.626638,[ 2 35] ; [ 4 23],[ 3.46875 33.53125] ; [ 2.53125 24.46875],0
u3,1,0.20686,1.593266,[8 1] ; [3 2],[7.07142857 1.92857143] ; [3.92857143 1.07142857],0
a8,1,0.221931,1.491841,[ 6 27] ; [ 2 25],[ 4.4 28.6] ; [ 3.6 23.4],0
d3,1,0.232918,1.422953,[26 10] ; [15 11],[23.80645161 12.19354839] ; [17.19354839  8.80645161],0
a6,1,0.256571,1.287167,[27  9] ; [16 10],[24.96774194 11.03225806] ; [18.03225806  7.96774194],0
n5,1,0.264147,1.246889,[24 13] ; [21  6],[26.015625 10.984375] ; [18.984375  8.015625],0
n2,1,0.32179,0.981658,[10  4] ; [8 1],[10.95652174  3.04347826] ; [7.04347826 1.95652174],0
s2,1,0.326945,0.960961,[25 12] ; [15 12],[23.125 13.875] ; [16.875 10.125],0
d2,1,0.339905,0.910791,[25 11] ; [15 11],[23.22580645 12.77419355] ; [16.77419355  9.22580645],0
r1,1,0.340335,0.909169,[31  6] ; [20  7],[29.484375  7.515625] ; [21.515625  5.484375],0
