Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,32.264252,[ 24 140] ; [68 89],[ 47.00311526 116.99688474] ; [ 44.99688474 112.00311526],1
v1,1,0.0,31.368125,[ 50 115] ; [98 62],[75.13846154 89.86153846] ; [72.86153846 87.13846154],1
r1,1,1.4e-05,18.938049,[92 73] ; [127  35],[110.50458716  54.49541284] ; [108.49541284  53.50458716],1
p11,1,0.0007,11.487963,[104  62] ; [129  33],[117.92073171  48.07926829] ; [115.07926829  46.92073171],1
r3,1,0.001025,10.781013,[132  33] ; [149  12],[142.22392638  22.77607362] ; [138.77607362  22.22392638],0
v4,1,0.001576,9.987662,[137  29] ; [152  10],[146.26219512  19.73780488] ; [142.73780488  19.26219512],0
p7,1,0.001844,9.699047,[69 95] ; [95 65],[83.01234568 80.98765432] ; [80.98765432 79.01234568],0
d3,1,0.00251,9.133448,[91 73] ; [116  46],[104.13496933  59.86503067] ; [102.86503067  59.13496933],0
r4,1,0.00253,9.118825,[116  50] ; [136  26],[127.53658537  38.46341463] ; [124.46341463  37.53658537],0
p10,1,0.002709,8.994028,[99 64] ; [122  38],[111.52631579  51.47368421] ; [109.47368421  50.52631579],0
p4,1,0.002811,8.926327,[ 65 100] ; [89 70],[78.42592593 86.57407407] ; [75.57407407 83.42592593],0
d1,1,0.002898,8.870454,[68 98] ; [93 69],[81.48170732 84.51829268] ; [79.51829268 82.48170732],0
p3,1,0.006417,7.429422,[ 52 113] ; [74 86],[ 63.96923077 101.03076923] ; [62.03076923 97.96923077],0
d4,1,0.00693,7.291023,[116  50] ; [133  28],[126.40366972  39.59633028] ; [122.59633028  38.40366972],0
p2,1,0.007867,7.063599,[111  53] ; [129  31],[121.48148148  42.51851852] ; [118.51851852  41.48148148],0
d5,1,0.012337,6.261852,[116  49] ; [133  29],[125.64220183  39.35779817] ; [123.35779817  38.64220183],0
s1,1,0.018895,5.511246,[  8 156] ; [  1 161],[  4.52760736 159.47239264] ; [  4.47239264 157.52760736],0
p8,1,0.036729,4.362911,[ 65 100] ; [81 78],[74.35185185 90.64814815] ; [71.64814815 87.35185185],0
s6,1,0.039106,4.256239,[ 48 115] ; [65 96],[ 56.84876543 106.15123457] ; [ 56.15123457 104.84876543],0
p9,1,0.041941,4.137587,[108  54] ; [123  37],[116.2173913  45.7826087] ; [114.7826087  45.2173913],0
u1,1,0.059202,3.559592,[ 12 154] ; [ 22 140],[ 17.20731707 148.79268293] ; [ 16.79268293 145.20731707],0
n3,1,0.0664,3.369854,[30 23] ; [30 10],[34.19354839 18.80645161] ; [25.80645161 14.19354839],0
n4,1,0.086439,2.93948,[103  63] ; [115  47],[110.32926829  55.67073171] ; [107.67073171  54.32926829],0
a5,1,0.088358,2.904032,[102  64] ; [114  48],[109.31707317  56.68292683] ; [106.68292683  55.31707317],0
a6,1,0.099572,2.712385,[108  58] ; [119  43],[114.88414634  51.11585366] ; [112.11585366  49.88414634],0
a3,1,0.102145,2.671725,[96 68] ; [109  53],[103.12883436  60.87116564] ; [101.87116564  60.12883436],0
a2,1,0.125317,2.349579,[ 25 141] ; [ 35 127],[ 30.36585366 135.63414634] ; [ 29.63414634 132.36585366],0
n2,1,0.127304,2.325072,[31 24] ; [28 11],[34.5212766 20.4787234] ; [24.4787234 14.5212766],0
s5,1,0.147292,2.100078,[ 24 138] ; [ 34 128],[ 29. 133.] ; [ 29. 133.],0
r2,1,0.162004,1.955417,[139  25] ; [143  16],[143.18266254  20.81733746] ; [138.81733746  20.18266254],0
a4,1,0.16802,1.900521,[ 59 106] ; [70 92],[65.09174312 99.90825688] ; [63.90825688 98.09174312],0
b5,1,0.231995,1.428585,[106  60] ; [93 69],[100.71341463  65.28658537] ; [98.28658537 63.71341463],0
a7,1,0.242341,1.366924,[109  56] ; [116  45],[113.8803681  51.1196319] ; [111.1196319  49.8803681],0
p6,1,0.248627,1.331004,[ 37 126] ; [ 45 114],[ 41.50931677 121.49068323] ; [ 40.49068323 118.50931677],0
s4,1,0.307067,1.04325,[ 21 142] ; [ 15 146],[ 18.11111111 144.88888889] ; [ 17.88888889 143.11111111],0
p12,1,0.330917,0.945304,[  4 161] ; [  7 153],[  5.58461538 159.41538462] ; [  5.41538462 154.58461538],0
b1,1,0.33663,0.923225,[68 98] ; [ 58 104],[ 63.76829268 102.23170732] ; [62.23170732 99.76829268],0
