Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000165,14.190353,[70 15] ; [17 18],[61.625 23.375] ; [25.375  9.625],1
v4,1,0.000195,13.883333,[77  8] ; [21 13],[70. 15.] ; [28.  6.],1
r3,1,0.001489,10.092723,[74 10] ; [22 13],[67.76470588 16.23529412] ; [28.23529412  6.76470588],0
p4,1,0.003296,8.635712,[38 45] ; [ 6 29],[30.94915254 52.05084746] ; [13.05084746 21.94915254],0
b5,1,0.003424,8.566336,[54 31] ; [12 23],[46.75 38.25] ; [19.25 15.75],0
s6,1,0.005416,7.735,[45 39] ; [ 9 26],[38.11764706 45.88235294] ; [15.88235294 19.11764706],0
r4,1,0.00626,7.474027,[69 16] ; [20 15],[63.04166667 21.95833333] ; [25.95833333  9.04166667],0
p8,1,0.008363,6.953983,[30 55] ; [ 4 31],[24.08333333 60.91666667] ; [ 9.91666667 25.08333333],0
p11,1,0.01035,6.573577,[51 34] ; [12 23],[44.625 40.375] ; [18.375 16.625],0
u1,1,0.016827,5.714286,[17 68] ; [ 1 34],[12.75 72.25] ; [ 5.25 29.75],0
s8,1,0.033787,4.505434,[25 59] ; [ 4 31],[20.47058824 63.52941176] ; [ 8.52941176 26.47058824],0
p7,1,0.056609,3.634059,[39 43] ; [10 25],[34.34188034 47.65811966] ; [14.65811966 20.34188034],0
s2,1,0.078202,3.101875,[33 50] ; [ 8 27],[28.83898305 54.16101695] ; [12.16101695 22.83898305],0
p10,1,0.113455,2.505428,[26 57] ; [ 6 29],[22.50847458 60.49152542] ; [ 9.49152542 25.50847458],0
d1,1,0.130057,2.291826,[42 43] ; [12 23],[38.25 46.75] ; [15.75 19.25],0
n2,1,0.133076,2.256255,[16  5] ; [9 8],[13.81578947  7.18421053] ; [11.18421053  5.81578947],0
v2,1,0.148352,2.089117,[38 45] ; [11 24],[34.46610169 48.53389831] ; [14.53389831 20.46610169],0
b4,1,0.175622,1.834289,[55 30] ; [18 17],[51.70833333 33.29166667] ; [21.29166667 13.70833333],0
b2,1,0.189211,1.723751,[17 40] ; [10 12],[19.48101266 37.51898734] ; [ 7.51898734 14.48101266],0
b3,1,0.189211,1.723751,[17 40] ; [10 12],[19.48101266 37.51898734] ; [ 7.51898734 14.48101266],0
a7,1,0.202378,1.625131,[56 28] ; [19 16],[52.94117647 31.05882353] ; [22.05882353 12.94117647],0
s7,1,0.207079,1.591733,[30 51] ; [ 7 22],[27.24545455 53.75454545] ; [ 9.75454545 19.24545455],0
r2,1,0.216511,1.527349,[76  8] ; [28  6],[74.03389831  9.96610169] ; [29.96610169  4.03389831],0
n3,1,0.230139,1.44,[14  7] ; [7 8],[12.25  8.75] ; [8.75 6.25],0
v3,1,0.306662,1.044998,[34 50] ; [10 23],[31.58974359 52.41025641] ; [12.41025641 20.58974359],0
p6,1,0.339418,0.912628,[18 64] ; [ 5 30],[16.11965812 65.88034188] ; [ 6.88034188 28.11965812],0
s1,1,0.381547,0.765712,[ 6 78] ; [ 1 33],[ 4.98305085 79.01694915] ; [ 2.01694915 31.98305085],0
a2,1,0.383389,0.759805,[18 67] ; [ 5 30],[16.29166667 68.70833333] ; [ 6.70833333 28.29166667],0
r1,1,0.383996,0.757868,[67 18] ; [25 10],[65.16666667 19.83333333] ; [26.83333333  8.16666667],0
p2,1,0.412262,0.672269,[53 32] ; [19 16],[51. 34.] ; [21. 14.],0
a1,1,0.431155,0.61971,[ 6 79] ; [ 4 31],[ 7.08333333 77.91666667] ; [ 2.91666667 32.08333333],0
v1,1,0.482121,0.494062,[35 50] ; [12 23],[33.29166667 51.70833333] ; [13.70833333 21.29166667],0
b1,1,0.485159,0.487245,[52 33] ; [19 16],[50.29166667 34.70833333] ; [20.70833333 14.29166667],0
p3,1,0.528486,0.397302,[29 55] ; [10 25],[27.52941176 56.47058824] ; [11.47058824 23.52941176],0
d4,1,0.536359,0.382329,[60 24] ; [23 12],[58.58823529 25.41176471] ; [24.41176471 10.58823529],0
a6,1,0.595102,0.282447,[53 32] ; [20 15],[51.70833333 33.29166667] ; [21.29166667 13.70833333],0
a3,1,0.5971,0.279391,[48 37] ; [21 13],[49.28571429 35.71428571] ; [19.71428571 14.28571429],0
a5,1,0.64071,0.217815,[52 33] ; [23 12],[53.125 31.875] ; [21.875 13.125],0
d3,1,0.681835,0.168067,[52 33] ; [20 15],[51. 34.] ; [21. 14.],0
a8,1,0.701022,0.14741,[ 8 65] ; [ 3 32],[ 7.43518519 65.56481481] ; [ 3.56481481 31.43518519],0
n1,1,0.708959,0.139319,[10 10] ; [7 9],[ 9.44444444 10.55555556] ; [7.55555556 8.44444444],0
s3,1,0.729861,0.11924,[40 44] ; [15 19],[39.15254237 44.84745763] ; [15.84745763 18.15254237],0
s4,1,0.75678,0.095921,[10 72] ; [ 5 30],[10.51282051 71.48717949] ; [ 4.48717949 30.51282051],0
p1,1,0.772727,0.083411,[ 9 76] ; [ 3 31],[ 8.57142857 76.42857143] ; [ 3.42857143 30.57142857],0
u2,1,0.785959,0.073746,[16 19] ; [7 7],[16.42857143 18.57142857] ; [6.57142857 7.42857143],0
