Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.139127,[46 22] ; [ 58 118],[28.98360656 39.01639344] ; [ 75.01639344 100.98360656],1
r4,1,0.001674,9.876558,[61  8] ; [127  57],[51.27272727 17.72727273] ; [136.72727273  47.27272727],0
v1,1,0.001969,9.578004,[39 28] ; [ 65 114],[28.32520325 38.67479675] ; [ 75.67479675 103.32520325],0
r2,1,0.010027,6.630009,[64  5] ; [143  38],[57.132 11.868] ; [149.868  31.132],0
p1,1,0.012759,6.202188,[11 58] ; [ 11 172],[ 6.02380952 62.97619048] ; [ 15.97619048 167.02380952],0
p3,1,0.022942,5.172914,[34 35] ; [ 62 122],[26.18181818 42.81818182] ; [ 69.81818182 114.18181818],0
p5,1,0.033066,4.542372,[11 58] ; [ 13 170],[ 6.57142857 62.42857143] ; [ 17.42857143 165.57142857],0
r1,1,0.041922,4.138356,[51 18] ; [110  73],[44.08333333 24.91666667] ; [116.91666667  66.08333333],0
a3,1,0.043764,4.065629,[43 26] ; [87 94],[35.88 33.12] ; [94.12 86.88],0
v4,1,0.072543,3.224513,[64  5] ; [153  29],[59.65338645  9.34661355] ; [157.34661355  24.65338645],0
b4,1,0.08397,2.98634,[44 25] ; [95 89],[37.90909091 31.09090909] ; [101.09090909  82.90909091],0
s7,1,0.090842,2.859394,[20 43] ; [ 37 138],[15.08823529 47.91176471] ; [ 41.91176471 133.08823529],0
p4,1,0.095578,2.777829,[35 32] ; [ 74 109],[29.212 37.788] ; [ 79.788 103.212],0
a7,1,0.113275,2.50793,[48 21] ; [108  76],[42.54545455 26.45454545] ; [113.45454545  70.54545455],0
p6,1,0.130589,2.28549,[21 47] ; [ 39 141],[16.4516129 51.5483871] ; [ 43.5483871 136.4516129],0
s8,1,0.139282,2.185874,[17 52] ; [ 30 152],[12.92031873 56.07968127] ; [ 34.07968127 147.92031873],0
d3,1,0.145938,2.114208,[31 38] ; [ 64 119],[26.01190476 42.98809524] ; [ 68.98809524 114.01190476],0
p7,1,0.147423,2.098719,[41 27] ; [90 90],[35.91935484 32.08064516] ; [95.08064516 84.91935484],0
p12,1,0.164069,1.936317,[ 5 63] ; [  6 176],[ 2.992 65.008] ; [  8.008 173.992],0
a2,1,0.177945,1.814704,[ 6 63] ; [  8 176],[ 3.81818182 65.18181818] ; [ 10.18181818 173.81818182],0
r3,1,0.178909,1.806665,[62  7] ; [152  31],[58.5952381 10.4047619] ; [155.4047619  27.5952381],0
n4,1,0.208016,1.585182,[49 19] ; [117  67],[44.79365079 23.20634921] ; [121.20634921  62.79365079],0
s4,1,0.208932,1.578814,[ 5 63] ; [ 24 160],[ 7.82539683 60.17460317] ; [ 21.17460317 162.82539683],0
n6,1,0.258914,1.274553,[54 15] ; [131  53],[50.45454545 18.54545455] ; [134.54545455  49.45454545],0
s5,1,0.261369,1.261489,[13 55] ; [ 24 155],[10.18623482 57.81376518] ; [ 26.81376518 152.18623482],0
p10,1,0.342713,0.900256,[47 20] ; [114  65],[43.8495935 23.1504065] ; [117.1504065  61.8495935],0
s6,1,0.347818,0.881401,[32 35] ; [ 74 106],[28.75303644 38.24696356] ; [ 77.24696356 102.75303644],0
n5,1,0.400388,0.707162,[49 19] ; [121  61],[46.24 21.76] ; [123.76  58.24],0
p2,1,0.408468,0.683256,[49 20] ; [140  44],[51.54545455 17.45454545] ; [137.45454545  46.54545455],0
a6,1,0.436884,0.604453,[42 27] ; [102  82],[39.27272727 29.72727273] ; [104.72727273  79.27272727],0
d2,1,0.450384,0.569685,[ 9 60] ; [ 31 152],[10.95238095 58.04761905] ; [ 29.04761905 153.95238095],0
p9,1,0.487867,0.481227,[51 17] ; [127  53],[48.80645161 19.19354839] ; [129.19354839  50.80645161],0
b2,1,0.508305,0.437555,[16 26] ; [32 67],[14.29787234 27.70212766] ; [33.70212766 65.29787234],0
b3,1,0.508305,0.437555,[16 26] ; [32 67],[14.29787234 27.70212766] ; [33.70212766 65.29787234],0
p8,1,0.641379,0.216943,[31 38] ; [ 75 105],[29.37349398 39.62650602] ; [ 76.62650602 103.37349398],0
s3,1,0.676938,0.173593,[16 52] ; [ 47 133],[17.27419355 50.72580645] ; [ 45.72580645 134.27419355],0
b5,1,0.717309,0.131085,[40 29] ; [102  82],[38.72727273 30.27272727] ; [103.27272727  80.72727273],0
a5,1,0.719179,0.129281,[37 32] ; [94 90],[35.72727273 33.27272727] ; [95.27272727 88.72727273],0
s1,1,0.737814,0.112058,[ 2 66] ; [  7 176],[ 2.43824701 65.56175299] ; [  6.56175299 176.43824701],0
a1,1,0.771331,0.084468,[ 4 65] ; [  9 175],[ 3.54545455 65.45454545] ; [  9.45454545 174.54545455],0
n2,1,0.782279,0.076369,[10  5] ; [45 19],[10.44303797  4.55696203] ; [44.55696203 19.44303797],0
n1,1,0.815562,0.054408,[5 9] ; [25 39],[5.38461538 8.61538462] ; [24.61538462 39.38461538],0
d5,1,0.816911,0.053602,[36 33] ; [99 85],[36.81818182 32.18181818] ; [98.18181818 85.81818182],0
u3,1,0.821044,0.051168,[11 15] ; [43 53],[11.50819672 14.49180328] ; [42.49180328 53.50819672],0
b1,1,0.855334,0.033239,[28 41] ; [ 77 107],[28.63636364 40.36363636] ; [ 76.36363636 107.63636364],0
n3,1,0.878001,0.023563,[10  4] ; [47 17],[10.23076923  3.76923077] ; [46.76923077 17.23076923],0
a8,1,0.87918,0.023107,[ 7 59] ; [ 17 154],[ 6.6835443 59.3164557] ; [ 17.3164557 153.6835443],0
a4,1,0.917229,0.0108,[17 52] ; [ 46 136],[17.3187251 51.6812749] ; [ 45.6812749 136.3187251],0
u1,1,0.937636,0.006122,[ 2 67] ; [  5 179],[ 1.90909091 67.09090909] ; [  5.09090909 178.90909091],0
p11,1,0.954043,0.003321,[50 19] ; [134  50],[50.18181818 18.81818182] ; [133.81818182  50.18181818],0
u2,1,0.967719,0.001638,[12 13] ; [47 50],[12.09016393 12.90983607] ; [46.90983607 50.09016393],0
d4,1,1.0,0.0,[36 33] ; [96 88],[36. 33.] ; [96. 88.],0
