Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.6e-05,15.922865,[31 13] ; [ 2 14],[24.2 19.8] ; [8.8 7.2],1
d5,1,0.007001,7.272727,[37  7] ; [8 8],[33. 11.] ; [12.  4.],0
u2,1,0.013954,6.043956,[11  3] ; [2 6],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
b1,1,0.025754,4.972452,[16 28] ; [11  5],[19.8 24.2] ; [7.2 8.8],0
a8,1,0.030295,4.692483,[ 1 40] ; [ 3 13],[ 2.87719298 38.12280702] ; [ 1.12280702 14.87719298],0
r2,1,0.052374,3.763783,[41  3] ; [12  4],[38.86666667  5.13333333] ; [14.13333333  1.86666667],0
b4,1,0.070812,3.264089,[28 16] ; [ 6 10],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
u3,1,0.101302,2.684931,[8 7] ; [7 1],[9.7826087 5.2173913] ; [5.2173913 2.7826087],0
n4,1,0.121291,2.400568,[29 15] ; [7 9],[26.4 17.6] ; [9.6 6.4],0
n1,1,0.163165,1.944643,[5 9] ; [3 1],[6.22222222 7.77777778] ; [1.77777778 2.22222222],0
s1,1,0.183466,1.76932,[ 3 40] ; [ 3 13],[ 4.37288136 38.62711864] ; [ 1.62711864 14.37288136],0
s2,1,0.199967,1.642614,[26 18] ; [6 9],[23.86440678 20.13559322] ; [8.13559322 6.86440678],0
b2,1,0.210482,1.568106,[13 18] ; [2 8],[11.34146341 19.65853659] ; [3.65853659 6.34146341],0
b3,1,0.210482,1.568106,[13 18] ; [2 8],[11.34146341 19.65853659] ; [3.65853659 6.34146341],0
a7,1,0.223397,1.482415,[27 17] ; [7 9],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
b5,1,0.223397,1.482415,[27 17] ; [7 9],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
v2,1,0.22524,1.470668,[25 18] ; [6 9],[22.98275862 20.01724138] ; [8.01724138 6.98275862],0
a2,1,0.252366,1.31016,[ 8 36] ; [ 1 15],[ 6.6 37.4] ; [ 2.4 13.6],0
s5,1,0.254014,1.301091,[16 26] ; [ 3 11],[14.25 27.75] ; [4.75 9.25],0
a3,1,0.262357,1.256276,[29 15] ; [8 8],[27.13333333 16.86666667] ; [9.86666667 6.13333333],0
n6,1,0.297487,1.085428,[35  8] ; [11  5],[33.52542373  9.47457627] ; [12.47457627  3.52542373],0
a4,1,0.311246,1.025382,[23 21] ; [ 6 10],[21.26666667 22.73333333] ; [7.73333333 8.26666667],0
s7,1,0.312029,1.022067,[18 23] ; [ 4 10],[16.4 24.6] ; [5.6 8.4],0
p6,1,0.378441,0.77576,[16 27] ; [ 4 12],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],0
p7,1,0.409376,0.680613,[19 24] ; [9 7],[20.40677966 22.59322034] ; [7.59322034 8.40677966],0
d2,1,0.459309,0.547578,[24 20] ; [7 9],[22.73333333 21.26666667] ; [8.26666667 7.73333333],0
p12,1,0.481321,0.495868,[ 3 41] ; [ 2 14],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
v1,1,0.505518,0.443333,[21 21] ; [6 9],[19.89473684 22.10526316] ; [7.10526316 7.89473684],0
p3,1,0.582416,0.302345,[24 20] ; [10  6],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
s4,1,0.587435,0.294367,[ 8 35] ; [ 4 12],[ 8.74576271 34.25423729] ; [ 3.25423729 12.74576271],0
p10,1,0.599558,0.275663,[27 17] ; [11  5],[27.86666667 16.13333333] ; [10.13333333  5.86666667],0
n5,1,0.599558,0.275663,[27 17] ; [11  5],[27.86666667 16.13333333] ; [10.13333333  5.86666667],0
n2,1,0.708687,0.139592,[10  4] ; [4 1],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
r3,1,0.724771,0.123967,[40  4] ; [15  1],[40.33333333  3.66666667] ; [14.66666667  1.33333333],0
a6,1,0.754969,0.097403,[24 20] ; [8 8],[23.46666667 20.53333333] ; [8.53333333 7.46666667],0
a5,1,0.762397,0.091407,[32 12] ; [11  5],[31.53333333 12.46666667] ; [11.46666667  4.53333333],0
s6,1,0.783203,0.075706,[31 13] ; [10  5],[30.57627119 13.42372881] ; [10.42372881  4.57627119],0
p1,1,0.788776,0.07177,[ 2 42] ; [ 1 15],[ 2.2 41.8] ; [ 0.8 15.2],0
v3,1,0.788888,0.071693,[14 26] ; [ 5 11],[13.57142857 26.42857143] ; [ 5.42857143 10.57142857],0
r4,1,0.794003,0.068182,[37  7] ; [13  3],[36.66666667  7.33333333] ; [13.33333333  2.66666667],0
p11,1,0.836454,0.042614,[29 15] ; [11  5],[29.33333333 14.66666667] ; [10.66666667  5.33333333],0
r1,1,0.898614,0.016234,[31 13] ; [11  5],[30.8 13.2] ; [11.2  4.8],0
v4,1,0.903491,0.014702,[39  5] ; [14  2],[38.86666667  5.13333333] ; [14.13333333  1.86666667],0
s8,1,0.906572,0.013774,[20 24] ; [7 9],[19.8 24.2] ; [7.2 8.8],0
p5,1,0.909196,0.013008,[ 5 36] ; [ 2 13],[ 5.125 35.875] ; [ 1.875 13.125],0
p8,1,0.950645,0.003831,[18 26] ; [6 9],[17.89830508 26.10169492] ; [6.10169492 8.89830508],0
p9,1,0.966627,0.00175,[30 14] ; [11  5],[30.06666667 13.93333333] ; [10.93333333  5.06666667],0
s3,1,1.0,0.0,[22 22] ; [8 8],[22. 22.] ; [8. 8.],0
