Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.008648,6.894093,[9 2] ; [ 9 17],[5.35135135 5.64864865] ; [12.64864865 13.35135135],0
s7,1,0.021288,5.30303,[6 4] ; [ 5 20],[3.14285714 6.85714286] ; [ 7.85714286 17.14285714],0
v2,1,0.033486,4.520742,[8 3] ; [ 9 17],[5.05405405 5.94594595] ; [11.94594595 14.05405405],0
p6,1,0.038198,4.296198,[6 5] ; [ 5 20],[3.36111111 7.63888889] ; [ 7.63888889 17.36111111],0
p3,1,0.062719,3.463997,[7 4] ; [ 8 18],[4.45945946 6.54054054] ; [10.54054054 15.45945946],0
s6,1,0.068139,3.327303,[7 3] ; [ 9 16],[4.57142857 5.42857143] ; [11.42857143 13.57142857],0
n5,1,0.074011,3.191745,[10  1] ; [16 10],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
s5,1,0.12663,2.333333,[4 6] ; [ 4 21],[2.28571429 7.71428571] ; [ 5.71428571 19.28571429],0
r4,1,0.284984,1.143166,[3 8] ; [12 14],[4.45945946 6.54054054] ; [10.54054054 15.45945946],0
n6,1,0.292584,1.107692,[8 2] ; [16 10],[6.66666667 3.33333333] ; [17.33333333  8.66666667],0
a5,1,0.317497,0.99923,[9 2] ; [17  9],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
n2,1,0.345779,0.888889,[1 1] ; [5 1],[1.5 0.5] ; [4.5 1.5],0
n1,1,0.345779,0.888889,[1 1] ; [5 1],[1.5 0.5] ; [4.5 1.5],0
a2,1,0.347635,0.882072,[2 9] ; [ 2 24],[1.18918919 9.81081081] ; [ 2.81081081 23.18918919],0
d1,1,0.392416,0.731442,[5 6] ; [ 8 18],[3.86486486 7.13513514] ; [ 9.13513514 16.86486486],0
d3,1,0.49478,0.466115,[6 5] ; [11 15],[5.05405405 5.94594595] ; [11.94594595 14.05405405],0
p4,1,0.49478,0.466115,[6 5] ; [11 15],[5.05405405 5.94594595] ; [11.94594595 14.05405405],0
b5,1,0.49478,0.466115,[5 6] ; [15 11],[5.94594595 5.05405405] ; [14.05405405 11.94594595],0
a4,1,0.51465,0.424601,[3 8] ; [10 16],[3.86486486 7.13513514] ; [ 9.13513514 16.86486486],0
v1,1,0.534355,0.386103,[5 6] ; [ 9 17],[4.16216216 6.83783784] ; [ 9.83783784 16.16216216],0
p12,1,0.539038,0.377326,[ 1 10] ; [ 1 24],[ 0.61111111 10.38888889] ; [ 1.38888889 23.61111111],0
d4,1,0.565801,0.329759,[7 4] ; [19  7],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
s8,1,0.565801,0.329759,[4 7] ; [ 7 19],[3.27027027 7.72972973] ; [ 7.72972973 18.27027027],0
p5,1,0.608766,0.261976,[ 1 10] ; [ 4 22],[1.48648649 9.51351351] ; [ 3.51351351 22.48648649],0
v3,1,0.628745,0.233766,[3 8] ; [ 5 20],[2.44444444 8.55555556] ; [ 5.55555556 19.44444444],0
a6,1,0.640654,0.217887,[6 5] ; [12 14],[5.35135135 5.64864865] ; [12.64864865 13.35135135],0
a3,1,0.662771,0.190175,[8 3] ; [17  9],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
b4,1,0.662771,0.190175,[8 3] ; [17  9],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
p11,1,0.662771,0.190175,[8 3] ; [17  9],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
r2,1,0.668576,0.183273,[7 4] ; [14 11],[6.41666667 4.58333333] ; [14.58333333 10.41666667],0
b1,1,0.736421,0.113297,[7 4] ; [15 11],[6.54054054 4.45945946] ; [15.45945946 10.54054054],0
r1,1,0.736421,0.113297,[4 7] ; [11 15],[4.45945946 6.54054054] ; [10.54054054 15.45945946],0
p8,1,0.79246,0.069231,[3 7] ; [ 9 17],[3.33333333 6.66666667] ; [ 8.66666667 17.33333333],0
a7,1,0.800391,0.063929,[6 5] ; [13 13],[5.64864865 5.35135135] ; [13.35135135 12.64864865],0
p7,1,0.800391,0.063929,[5 6] ; [13 13],[5.35135135 5.64864865] ; [12.64864865 13.35135135],0
n4,1,0.831573,0.045234,[8 3] ; [18  8],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
d5,1,0.831573,0.045234,[8 3] ; [18  8],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
s4,1,0.832899,0.044515,[2 9] ; [ 4 22],[1.78378378 9.21621622] ; [ 4.21621622 21.78378378],0
a8,1,0.85554,0.033144,[2 9] ; [ 5 19],[2.2 8.8] ; [ 4.8 19.2],0
s1,1,0.886721,0.020293,[ 1 10] ; [ 2 24],[ 0.89189189 10.10810811] ; [ 2.10810811 23.89189189],0
u1,1,0.886721,0.020293,[ 1 10] ; [ 2 24],[ 0.89189189 10.10810811] ; [ 2.10810811 23.89189189],0
a1,1,0.886721,0.020293,[ 1 10] ; [ 2 24],[ 0.89189189 10.10810811] ; [ 2.10810811 23.89189189],0
b2,1,0.946434,0.004514,[3 5] ; [ 7 11],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
b3,1,0.946434,0.004514,[3 5] ; [ 7 11],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
d2,1,0.96888,0.001522,[5 6] ; [12 14],[5.05405405 5.94594595] ; [11.94594595 14.05405405],0
u2,1,1.0,0.0,[1 2] ; [3 6],[1. 2.] ; [3. 6.],0
