Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,95.474435,[379  94] ; [62 97],[330.05221519 142.94778481] ; [110.94778481  48.05221519],1
d3,1,0.0,64.43351,[396  77] ; [83 76],[358.49208861 114.50791139] ; [120.50791139  38.49208861],1
a2,1,0.0,29.596918,[156 318] ; [ 17 142],[129.5450237 344.4549763] ; [ 43.4549763 115.5450237],1
u1,1,0.0,25.409964,[122 352] ; [ 11 148],[ 99.59241706 374.40758294] ; [ 33.40758294 125.59241706],1
b5,1,0.000118,14.819619,[311 163] ; [77 82],[290.54028436 183.45971564] ; [97.45971564 61.54028436],1
b1,1,0.007892,7.057923,[148 326] ; [68 91],[161.74407583 312.25592417] ; [ 54.25592417 104.74407583],0
b2,1,0.013557,6.094891,[100 180] ; [52 53],[110.54545455 169.45454545] ; [41.45454545 63.54545455],0
b3,1,0.013557,6.094891,[100 180] ; [52 53],[110.54545455 169.45454545] ; [41.45454545 63.54545455],0
s5,1,0.019573,5.449624,[156 297] ; [68 83],[168. 285.] ; [56. 95.],0
s7,1,0.024706,5.04439,[224 228] ; [93 62],[236.05271829 215.94728171] ; [80.94728171 74.05271829],0
r1,1,0.027091,4.885016,[391  78] ; [120  39],[381.62261146  87.37738854] ; [129.37738854  29.62261146],0
a3,1,0.033295,4.530549,[353 119] ; [132  27],[362.78922345 109.21077655] ; [122.21077655  36.78922345],0
n5,1,0.034018,4.493814,[357 112] ; [133  25],[366.523126 102.476874] ; [123.476874  34.523126],0
v4,1,0.042464,4.116599,[453  15] ; [148  11],[448.59330144  19.40669856] ; [152.40669856   6.59330144],0
d1,1,0.046785,3.953121,[349 125] ; [104  55],[339.21327014 134.78672986] ; [113.78672986  45.21327014],0
u3,1,0.050532,3.823729,[73 46] ; [11 16],[68.46575342 50.53424658] ; [15.53424658 11.46575342],0
n1,1,0.057287,3.614227,[34 62] ; [24 22],[39.21126761 56.78873239] ; [18.78873239 27.21126761],0
n4,1,0.082672,3.011568,[371 102] ; [134  24],[378.54992076  94.45007924] ; [126.45007924  31.54992076],0
u2,1,0.090742,2.86116,[74 45] ; [12 15],[70.09589041 48.90410959] ; [15.90410959 11.09589041],0
r4,1,0.133836,2.247436,[436  38] ; [140  19],[431.31753555  42.68246445] ; [144.68246445  14.31753555],0
r3,1,0.160103,1.973249,[455  15] ; [150   9],[452.06677266  17.93322734] ; [152.93322734   6.06677266],0
s8,1,0.19812,1.656178,[224 247] ; [85 74],[231.01428571 239.98571429] ; [77.98571429 81.01428571],0
a4,1,0.200149,1.641287,[237 236] ; [89 70],[243.98417722 229.01582278] ; [82.01582278 76.98417722],0
p8,1,0.202876,1.621549,[263 205] ; [78 77],[256.16051364 211.83948636] ; [84.83948636 70.16051364],0
v3,1,0.216719,1.525966,[179 271] ; [70 84],[185.51324503 264.48675497] ; [63.48675497 90.51324503],0
n2,1,0.216796,1.525456,[71 26] ; [38  8],[73.93706294 23.06293706] ; [35.06293706 10.93706294],0
s4,1,0.217992,1.517544,[ 74 392] ; [ 32 127],[ 79.0336 386.9664] ; [ 26.9664 132.0336],0
a8,1,0.240976,1.374878,[ 66 355] ; [ 18 135],[ 61.6097561 359.3902439] ; [ 22.3902439 130.6097561],0
v2,1,0.250707,1.31936,[279 171] ; [88 67],[272.97520661 177.02479339] ; [94.02479339 60.97520661],0
p12,1,0.266292,1.235749,[ 44 430] ; [ 10 146],[ 40.62857143 433.37142857] ; [ 13.37142857 142.62857143],0
d2,1,0.268921,1.22224,[249 225] ; [91 67],[255. 219.] ; [85. 73.],0
p11,1,0.287787,1.129944,[388  86] ; [136  23],[392.37914692  81.62085308] ; [131.62085308  27.37914692],0
p2,1,0.297036,1.087455,[417  55] ; [132  23],[413.28229665  58.71770335] ; [135.71770335  19.28229665],0
u4,1,0.328902,0.953214,[ 11 462] ; [  6 153],[ 12.72310127 460.27689873] ; [  4.27689873 154.72310127],0
a1,1,0.411775,0.67367,[ 22 452] ; [ 10 149],[ 23.96208531 450.03791469] ; [  8.03791469 150.96208531],0
p5,1,0.412185,0.672489,[ 57 413] ; [ 23 134],[ 59.96810207 410.03189793] ; [ 20.03189793 136.96810207],0
p10,1,0.428442,0.627043,[432  38] ; [142  16],[429.58598726  40.41401274] ; [144.41401274  13.58598726],0
n3,1,0.453213,0.562604,[72 25] ; [36  9],[73.77464789 23.22535211] ; [34.22535211 10.77464789],0
r2,1,0.507396,0.439434,[447  18] ; [149   8],[445.56270096  19.43729904] ; [150.43729904   6.56270096],0
p6,1,0.511833,0.430318,[186 285] ; [65 88],[189.45673077 281.54326923] ; [61.54326923 91.45673077],0
p1,1,0.541926,0.371982,[ 40 431] ; [ 11 147],[ 38.18918919 432.81081081] ; [ 12.81081081 145.18918919],0
s1,1,0.542636,0.370677,[ 13 454] ; [  3 155],[ 11.9552 455.0448] ; [  4.0448 153.9552],0
