Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001001,10.82501,[ 8 17] ; [89 44],[15.34810127  9.65189873] ; [81.65189873 51.34810127],0
v1,1,0.002364,9.2433,[ 3 22] ; [59 74],[ 9.81012658 15.18987342] ; [52.18987342 80.81012658],0
r2,1,0.01484,5.935353,[23  2] ; [132   1],[24.52531646  0.47468354] ; [130.47468354   2.52531646],0
s6,1,0.01833,5.564302,[ 8 17] ; [75 55],[13.38709677 11.61290323] ; [69.61290323 60.38709677],0
a2,1,0.020168,5.397306,[ 1 24] ; [ 33 100],[ 5.37974684 19.62025316] ; [ 28.62025316 104.37974684],0
a7,1,0.033152,4.537904,[12 13] ; [93 40],[16.61392405  8.38607595] ; [88.38607595 44.61392405],0
d1,1,0.033615,4.514179,[ 7 18] ; [68 65],[11.86708861 13.13291139] ; [63.13291139 69.86708861],0
d5,1,0.042234,4.125795,[14 11] ; [100  32],[18.15286624  6.84713376] ; [95.84713376 36.15286624],0
n4,1,0.052443,3.761589,[12 13] ; [90 42],[16.24203822  8.75796178] ; [85.75796178 46.24203822],0
s2,1,0.057529,3.607232,[ 5 20] ; [52 78],[ 9.19354839 15.80645161] ; [47.80645161 82.19354839],0
a4,1,0.079727,3.070454,[ 7 18] ; [62 70],[10.98726115 14.01273885] ; [58.01273885 73.98726115],0
p11,1,0.098883,2.723465,[10 15] ; [77 56],[13.76582278 11.23417722] ; [73.23417722 59.76582278],0
n5,1,0.105451,2.621108,[10 15] ; [76 56],[13.69426752 11.30573248] ; [72.30573248 59.69426752],0
s4,1,0.12499,2.353646,[ 6 19] ; [ 16 114],[ 3.5483871 21.4516129] ; [ 18.4516129 111.5483871],0
d4,1,0.138948,2.189573,[16  9] ; [102  29],[18.91025641  6.08974359] ; [99.08974359 31.91025641],0
p7,1,0.19289,1.695403,[15 10] ; [60 71],[12.01923077 12.98076923] ; [62.98076923 68.01923077],0
v2,1,0.2307,1.436537,[ 8 17] ; [58 71],[10.71428571 14.28571429] ; [55.28571429 73.71428571],0
s8,1,0.247458,1.337601,[ 5 20] ; [41 89],[ 7.41935484 17.58064516] ; [38.58064516 91.41935484],0
u3,1,0.254316,1.299435,[5 6] ; [32 18],[6.67213115 4.32786885] ; [30.32786885 19.67213115],0
a8,1,0.285803,1.139287,[ 2 23] ; [19 97],[ 3.72340426 21.27659574] ; [17.27659574 98.72340426],0
p8,1,0.301701,1.066658,[ 6 18] ; [47 84],[ 8.20645161 15.79354839] ; [44.79354839 86.20645161],0
p3,1,0.329615,0.950409,[11 14] ; [45 88],[ 8.86075949 16.13924051] ; [47.13924051 85.86075949],0
p6,1,0.337104,0.921414,[ 8 15] ; [33 98],[ 6.12337662 16.87662338] ; [34.87662338 96.12337662],0
d3,1,0.342492,0.90108,[13 12] ; [82 50],[15.12738854  9.87261146] ; [79.87261146 52.12738854],0
a6,1,0.381125,0.767069,[13 12] ; [81 51],[14.96815287 10.03184713] ; [79.03184713 52.96815287],0
b4,1,0.409741,0.679552,[14 11] ; [86 47],[15.82278481  9.17721519] ; [84.17721519 48.82278481],0
p4,1,0.430545,0.621352,[12 12] ; [55 78],[10.24203822 13.75796178] ; [56.75796178 76.24203822],0
p9,1,0.452406,0.564618,[11 13] ; [49 81],[ 9.35064935 14.64935065] ; [50.64935065 79.35064935],0
s3,1,0.452994,0.56315,[10 14] ; [65 65],[11.68831169 12.31168831] ; [63.31168831 66.68831169],0
p2,1,0.456185,0.55524,[15 10] ; [90 43],[16.61392405  8.38607595] ; [88.38607595 44.61392405],0
s7,1,0.490459,0.475519,[ 7 17] ; [46 80],[ 8.48 15.52] ; [44.52 81.48],0
b3,1,0.511487,0.431025,[ 4 12] ; [29 58],[ 5.12621359 10.87378641] ; [27.87378641 59.12621359],0
b2,1,0.511487,0.431025,[ 4 12] ; [29 58],[ 5.12621359 10.87378641] ; [27.87378641 59.12621359],0
a3,1,0.516326,0.421225,[14 11] ; [83 49],[15.44585987  9.55414013] ; [81.55414013 50.44585987],0
d2,1,0.535497,0.383949,[11 14] ; [67 65],[12.42038217 12.57961783] ; [65.57961783 66.42038217],0
p1,1,0.591324,0.288281,[ 1 24] ; [  9 122],[ 1.6025641 23.3974359] ; [  8.3974359 122.6025641],0
u2,1,0.601723,0.272404,[6 5] ; [22 26],[5.22033898 5.77966102] ; [22.77966102 25.22033898],0
n1,1,0.624988,0.238918,[3 5] ; [22 25],[3.63636364 4.36363636] ; [21.36363636 25.63636364],0
n3,1,0.683553,0.166154,[7 2] ; [32 13],[6.5 2.5] ; [32.5 12.5],0
p5,1,0.690015,0.159069,[ 1 24] ; [  8 125],[ 1.42405063 23.57594937] ; [  7.57594937 125.42405063],0
v4,1,0.715787,0.132565,[23  2] ; [124   8],[23.40764331  1.59235669] ; [123.59235669   8.40764331],0
n6,1,0.760697,0.09276,[18  7] ; [91 41],[17.3566879  7.6433121] ; [91.6433121 40.3566879],0
