Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.004456,8.087938,[ 5 25] ; [15 14],[10.16949153 19.83050847] ; [ 9.83050847 19.16949153],0
s6,1,0.071416,3.25018,[27  3] ; [20  8],[24.31034483  5.68965517] ; [22.68965517  5.31034483],0
v1,1,0.140343,2.174192,[13 16] ; [18 10],[15.77192982 13.22807018] ; [15.22807018 12.77192982],0
n4,1,0.149207,2.080344,[18 11] ; [23  6],[20.5  8.5] ; [20.5  8.5],0
p8,1,0.153759,2.034561,[11 19] ; [16 13],[13.72881356 16.27118644] ; [13.27118644 15.72881356],0
b3,1,0.207178,1.591038,[ 4 15] ; [ 9 14],[ 5.88095238 13.11904762] ; [ 7.11904762 15.88095238],0
b2,1,0.207178,1.591038,[ 4 15] ; [ 9 14],[ 5.88095238 13.11904762] ; [ 7.11904762 15.88095238],0
a7,1,0.218395,1.514887,[16 14] ; [20  9],[18.30508475 11.69491525] ; [17.69491525 11.30508475],0
p6,1,0.232666,1.424486,[ 8 22] ; [12 17],[10.16949153 19.83050847] ; [ 9.83050847 19.16949153],0
n5,1,0.249466,1.326289,[21  9] ; [24  5],[22.88135593  7.11864407] ; [22.11864407  6.88135593],0
v4,1,0.267642,1.228792,[29  1] ; [25  3],[27.93103448  2.06896552] ; [26.06896552  1.93103448],0
d1,1,0.284175,1.147017,[ 1 29] ; [ 3 26],[ 2.03389831 27.96610169] ; [ 1.96610169 27.03389831],0
u1,1,0.284175,1.147017,[ 1 29] ; [ 3 26],[ 2.03389831 27.96610169] ; [ 1.96610169 27.03389831],0
p7,1,0.29608,1.091766,[19 11] ; [22  7],[20.84745763  9.15254237] ; [20.15254237  8.84745763],0
a4,1,0.29608,1.091766,[11 19] ; [ 7 22],[ 9.15254237 20.84745763] ; [ 8.84745763 20.15254237],0
u3,1,0.305319,1.050816,[5 6] ; [8 4],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
a6,1,0.340879,0.907121,[16 14] ; [19 10],[17.79661017 12.20338983] ; [17.20338983 11.79661017],0
s4,1,0.346885,0.88482,[ 7 23] ; [ 4 25],[ 5.59322034 24.40677966] ; [ 5.40677966 23.59322034],0
s5,1,0.348897,0.877463,[ 8 21] ; [11 17],[ 9.66666667 19.33333333] ; [ 9.33333333 18.66666667],0
a8,1,0.483522,0.490909,[ 6 21] ; [ 4 23],[ 5. 22.] ; [ 5. 22.],0
d3,1,0.493494,0.4689,[ 6 24] ; [ 8 21],[ 7.11864407 22.88135593] ; [ 6.88135593 22.11864407],0
