Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5e-06,20.926339,[ 1 27] ; [19 13],[ 9.33333333 18.66666667] ; [10.66666667 21.33333333],1
d4,1,0.00596,7.56248,[15 14] ; [27  5],[19.96721311  9.03278689] ; [22.03278689  9.96721311],0
d5,1,0.007667,7.109655,[12 17] ; [24  8],[17.1147541 11.8852459] ; [18.8852459 13.1147541],0
p11,1,0.009044,6.81402,[ 6 23] ; [17 15],[10.93442623 18.06557377] ; [12.06557377 19.93442623],0
p10,1,0.009209,6.78179,[ 5 23] ; [16 16],[ 9.8 18.2] ; [11.2 20.8],0
p9,1,0.010274,6.586841,[ 7 21] ; [18 13],[11.86440678 16.13559322] ; [13.13559322 17.86440678],0
p2,1,0.012995,6.169854,[ 6 23] ; [16 15],[10.63333333 18.36666667] ; [11.36666667 19.63333333],0
p1,1,0.015184,5.895019,[ 7 22] ; [ 1 31],[ 3.80327869 25.19672131] ; [ 4.19672131 27.80327869],0
s6,1,0.019585,5.448525,[ 4 25] ; [13 19],[ 8.08196721 20.91803279] ; [ 8.91803279 23.08196721],0
n3,1,0.019935,5.417605,[ 4 11] ; [8 3],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
a7,1,0.026538,4.920638,[ 9 20] ; [19 13],[13.31147541 15.68852459] ; [14.68852459 17.31147541],0
a1,1,0.031597,4.620248,[ 6 23] ; [ 1 31],[ 3.32786885 25.67213115] ; [ 3.67213115 28.32786885],0
r2,1,0.036342,4.380964,[13 15] ; [22  8],[16.89655172 11.10344828] ; [18.10344828 11.89655172],0
n6,1,0.041462,4.157029,[ 8 20] ; [17 14],[11.86440678 16.13559322] ; [13.13559322 17.86440678],0
b4,1,0.058677,3.574391,[15 14] ; [24  8],[18.54098361 10.45901639] ; [20.45901639 11.54098361],0
r1,1,0.073524,3.202547,[ 8 21] ; [16 16],[11.40983607 17.59016393] ; [12.59016393 19.40983607],0
n5,1,0.081455,3.035625,[20  9] ; [15 17],[16.63934426 12.36065574] ; [18.36065574 13.63934426],0
b5,1,0.094322,2.799014,[11 18] ; [19 13],[14.26229508 14.73770492] ; [15.73770492 16.26229508],0
v3,1,0.104957,2.628562,[ 6 23] ; [ 2 29],[ 3.86666667 25.13333333] ; [ 4.13333333 26.86666667],0
s2,1,0.10541,2.621718,[ 4 25] ; [10 22],[ 6.6557377 22.3442623] ; [ 7.3442623 24.6557377],0
d1,1,0.132551,2.262375,[ 9 20] ; [16 16],[11.8852459 17.1147541] ; [13.1147541 18.8852459],0
u2,1,0.161178,1.963141,[ 1 11] ; [4 9],[2.4 9.6] ; [ 2.6 10.4],0
s1,1,0.178602,1.809216,[ 5 24] ; [ 2 30],[ 3.32786885 25.67213115] ; [ 3.67213115 28.32786885],0
n2,1,0.193931,1.6875,[ 5 10] ; [7 5],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
s5,1,0.203772,1.615128,[ 3 26] ; [ 7 24],[ 4.83333333 24.16666667] ; [ 5.16666667 25.83333333],0
p8,1,0.225082,1.471671,[ 3 25] ; [ 7 24],[ 4.74576271 23.25423729] ; [ 5.25423729 25.74576271],0
p4,1,0.260415,1.26655,[ 7 22] ; [12 20],[ 9.03278689 19.96721311] ; [ 9.96721311 22.03278689],0
s7,1,0.273124,1.200988,[ 4 23] ; [ 8 22],[ 5.68421053 21.31578947] ; [ 6.31578947 23.68421053],0
n4,1,0.30615,1.047212,[20  9] ; [18 14],[18.06557377 10.93442623] ; [19.93442623 12.06557377],0
s3,1,0.328782,0.953689,[ 8 20] ; [13 19],[ 9.8 18.2] ; [11.2 20.8],0
a4,1,0.360241,0.837054,[11 17] ; [ 9 23],[ 9.33333333 18.66666667] ; [10.66666667 21.33333333],0
d3,1,0.372844,0.794165,[13 16] ; [18 14],[14.73770492 14.26229508] ; [16.26229508 15.73770492],0
a6,1,0.384987,0.754717,[15 14] ; [13 19],[13.31147541 15.68852459] ; [14.68852459 17.31147541],0
d2,1,0.427186,0.630462,[12 16] ; [17 15],[13.53333333 14.46666667] ; [15.46666667 16.53333333],0
a8,1,0.464774,0.534374,[ 2 26] ; [ 4 27],[ 2.84745763 25.15254237] ; [ 3.15254237 27.84745763],0
b1,1,0.499833,0.455292,[17 12] ; [16 16],[15.68852459 13.31147541] ; [17.31147541 14.68852459],0
a5,1,0.547975,0.360957,[15 14] ; [19 13],[16.16393443 12.83606557] ; [17.83606557 14.16393443],0
n1,1,0.795012,0.0675,[7 8] ; [5 7],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
p3,1,0.818623,0.052586,[ 8 21] ; [ 8 24],[ 7.60655738 21.39344262] ; [ 8.39344262 23.60655738],0
