Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-05,18.210088,[ 86 139] ; [42 19],[100.6993007 124.3006993] ; [27.3006993 33.6993007],1
s6,1,9.3e-05,15.270431,[138  95] ; [51  8],[150.81164384  82.18835616] ; [38.18835616 20.81164384],1
s2,1,0.000226,13.604525,[ 98 137] ; [41 19],[110.72881356 124.27118644] ; [28.27118644 31.72881356],1
s5,1,0.003152,8.717472,[ 64 169] ; [28 31],[ 73.4109589 159.5890411] ; [18.5890411 40.4109589],0
s3,1,0.006047,7.53626,[119 115] ; [43 18],[128.50169492 105.49830508] ; [33.49830508 27.50169492],0
b3,1,0.052515,3.7593,[59 89] ; [ 9 30],[53.81818182 94.18181818] ; [14.18181818 24.81818182],0
b2,1,0.052515,3.7593,[59 89] ; [ 9 30],[53.81818182 94.18181818] ; [14.18181818 24.81818182],0
p8,1,0.092162,2.836202,[118 117] ; [38 23],[123.85135135 111.14864865] ; [32.14864865 28.85135135],0
p6,1,0.098242,2.733856,[ 77 157] ; [27 34],[ 82.49491525 151.50508475] ; [21.50508475 39.49491525],0
s8,1,0.117108,2.455581,[ 90 146] ; [30 31],[ 95.35353535 140.64646465] ; [24.64646465 36.35353535],0
r4,1,0.165553,1.922753,[210  27] ; [50 11],[206.77852349  30.22147651] ; [53.22147651  7.77852349],0
n2,1,0.194567,1.682692,[35 17] ; [15  3],[37.14285714 14.85714286] ; [12.85714286  5.14285714],0
p5,1,0.194591,1.682512,[ 29 204] ; [ 4 57],[ 26.15306122 206.84693878] ; [ 6.84693878 54.15306122],0
p3,1,0.196151,1.670804,[102 134] ; [32 29],[106.47811448 129.52188552] ; [27.52188552 33.47811448],0
a7,1,0.196985,1.664589,[157  80] ; [35 26],[152.69798658  84.30201342] ; [39.30201342 21.69798658],0
a4,1,0.236204,1.403107,[101 135] ; [21 40],[ 96.94276094 139.05723906] ; [25.05723906 35.94276094],0
p4,1,0.25963,1.270729,[132 104] ; [39 22],[135.87878788 100.12121212] ; [35.12121212 25.87878788],0
u1,1,0.290832,1.115764,[ 27 210] ; [10 51],[ 29.4261745 207.5738255] ; [ 7.5738255 53.4261745],0
p2,1,0.290966,1.115144,[195  40] ; [54  7],[197.68581081  37.31418919] ; [51.31418919  9.68581081],0
d3,1,0.324448,0.970931,[143  94] ; [41 20],[146.33557047  90.66442953] ; [37.66442953 23.33557047],0
v4,1,0.368904,0.807352,[221  15] ; [58  2],[222.44594595  13.55405405] ; [56.55405405  3.44594595],0
n5,1,0.385478,0.75316,[168  67] ; [47 14],[170.69256757  64.30743243] ; [44.30743243 16.69256757],0
u3,1,0.402348,0.701299,[48 36] ; [16  8],[49.77777778 34.22222222] ; [14.22222222  9.77777778],0
b1,1,0.453989,0.560674,[ 90 147] ; [20 41],[ 87.48322148 149.51677852] ; [22.51677852 38.48322148],0
n1,1,0.456967,0.553314,[18 34] ; [ 8 10],[19.31428571 32.68571429] ; [ 6.68571429 11.31428571],0
p10,1,0.46313,0.53832,[190  44] ; [52  9],[191.95932203  42.04067797] ; [50.04067797 10.95932203],0
a1,1,0.479816,0.499281,[  8 229] ; [ 1 60],[  7.15771812 229.84228188] ; [ 1.84228188 59.15771812],0
b5,1,0.4877,0.481597,[136 101] ; [38 23],[138.38255034  98.61744966] ; [35.61744966 25.38255034],0
r3,1,0.519393,0.415099,[222  14] ; [56  5],[220.9023569  15.0976431] ; [57.0976431  3.9023569],0
r1,1,0.519718,0.414453,[173  64] ; [42 19],[170.98993289  66.01006711] ; [44.01006711 16.98993289],0
p7,1,0.520441,0.413019,[137  92] ; [38 21],[139.14930556  89.85069444] ; [35.85069444 23.14930556],0
d4,1,0.53406,0.386661,[183  53] ; [45 16],[181.17171717  54.82828283] ; [46.82828283 14.17171717],0
d2,1,0.548093,0.360744,[ 99 137] ; [23 38],[ 96.94276094 139.05723906] ; [25.05723906 35.94276094],0
n4,1,0.585692,0.297122,[179  58] ; [44 17],[177.35234899  59.64765101] ; [45.64765101 15.35234899],0
a3,1,0.614863,0.253155,[152  85] ; [37 24],[150.31208054  86.68791946] ; [38.68791946 22.31208054],0
b4,1,0.644171,0.213329,[136 101] ; [33 28],[134.40604027 102.59395973] ; [34.59395973 26.40604027],0
n6,1,0.656041,0.198369,[199  37] ; [50 11],[197.85858586  38.14141414] ; [51.14141414  9.85858586],0
n3,1,0.66369,0.189072,[34 17] ; [13  5],[34.73913043 16.26086957] ; [12.26086957  5.73913043],0
d5,1,0.697678,0.150899,[176  60] ; [44 17],[174.81481481  61.18518519] ; [45.18518519 15.81481481],0
p1,1,0.751778,0.100043,[ 20 214] ; [ 6 55],[ 20.62372881 213.37627119] ; [ 5.37627119 55.62372881],0
a6,1,0.787041,0.072984,[151  86] ; [40 21],[151.90268456  85.09731544] ; [39.09731544 21.90268456],0
p9,1,0.787432,0.072709,[197  38] ; [52  9],[197.68581081  37.31418919] ; [51.31418919  9.68581081],0
d1,1,0.793976,0.0682,[116 121] ; [31 30],[116.90939597 120.09060403] ; [30.09060403 30.90939597],0
v3,1,0.821333,0.050999,[ 39 193] ; [11 50],[ 39.59044369 192.40955631] ; [10.40955631 50.59044369],0
s1,1,0.827087,0.047716,[ 10 224] ; [ 3 58],[ 10.31186441 223.68813559] ; [ 2.68813559 58.31186441],0
p12,1,0.844765,0.038338,[ 13 221] ; [ 3 58],[ 12.69152542 221.30847458] ; [ 3.30847458 57.69152542],0
a2,1,0.923818,0.009144,[ 44 193] ; [11 50],[ 43.74161074 193.25838926] ; [11.25838926 49.74161074],0
v1,1,0.926374,0.008539,[ 89 141] ; [24 37],[ 89.31271478 140.68728522] ; [23.68728522 37.31271478],0
a5,1,0.940494,0.005572,[162  75] ; [42 19],[162.24161074  74.75838926] ; [41.75838926 19.24161074],0
u2,1,0.965644,0.001855,[50 35] ; [14 10],[49.90825688 35.09174312] ; [14.09174312  9.90825688],0
r2,1,0.977298,0.00081,[216  19] ; [56  5],[215.94594595  19.05405405] ; [56.05405405  4.94594595],0
