Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,26.930825,[86 31] ; [24 45],[69.19354839 47.80645161] ; [40.80645161 28.19354839],1
a6,1,7.7e-05,15.637065,[82 35] ; [28 41],[69.19354839 47.80645161] ; [40.80645161 28.19354839],1
u1,1,0.000402,12.522477,[26 92] ; [ 2 67],[ 17.6684492 100.3315508] ; [10.3315508 58.6684492],1
d5,1,0.000424,12.422736,[93 24] ; [38 31],[82.40322581 34.59677419] ; [48.59677419 20.40322581],1
r1,1,0.000473,12.217886,[98 19] ; [42 27],[88.06451613 28.93548387] ; [51.93548387 17.06451613],1
p2,1,0.001157,10.558317,[83 35] ; [32 37],[72.56684492 45.43315508] ; [42.43315508 26.56684492],0
d4,1,0.001339,10.288601,[97 20] ; [42 26],[87.90810811 29.09189189] ; [51.09189189 16.90810811],0
a2,1,0.002519,9.126897,[32 86] ; [ 6 63],[23.97860963 94.02139037] ; [14.02139037 54.97860963],0
b5,1,0.004079,8.248118,[83 35] ; [34 35],[73.82887701 44.17112299] ; [43.17112299 25.82887701],0
r4,1,0.007496,7.15012,[105  13] ; [51 18],[98.43850267 19.56149733] ; [57.56149733 11.43850267],0
a3,1,0.048666,3.886843,[79 38] ; [36 32],[72.72972973 44.27027027] ; [42.27027027 25.72972973],0
s6,1,0.051683,3.78601,[65 51] ; [28 40],[58.63043478 57.36956522] ; [34.36956522 33.63043478],0
p8,1,0.057512,3.607708,[43 73] ; [16 52],[37.19565217 78.80434783] ; [21.80434783 46.19565217],0
d1,1,0.059683,3.546179,[63 55] ; [27 42],[56.79144385 61.20855615] ; [33.20855615 35.79144385],0
b1,1,0.061569,3.494615,[50 68] ; [39 30],[56.16042781 61.83957219] ; [32.83957219 36.16042781],0
n6,1,0.151349,2.058601,[81 36] ; [40 28],[76.52432432 40.47567568] ; [44.47567568 23.52432432],0
r3,1,0.175168,1.838152,[107  11] ; [58 11],[104.11764706  13.88235294] ; [60.88235294  8.11764706],0
n2,1,0.205644,1.601833,[25 16] ; [24  8],[27.52054795 13.47945205] ; [21.47945205 10.52054795],0
n4,1,0.218034,1.517266,[80 38] ; [40 28],[76.12903226 41.87096774] ; [43.87096774 24.12903226],0
s5,1,0.218102,1.516819,[20 93] ; [17 50],[23.22777778 89.77222222] ; [13.77222222 53.22777778],0
v4,1,0.230709,1.436484,[106  12] ; [57 11],[103.40860215  14.59139785] ; [59.59139785  8.40860215],0
p5,1,0.23447,1.413537,[  4 114] ; [ 5 64],[  5.67914439 112.32085561] ; [ 3.32085561 65.67914439],0
p4,1,0.250158,1.322419,[50 68] ; [23 45],[46.31182796 71.68817204] ; [26.68817204 41.31182796],0
v1,1,0.281947,1.157679,[50 68] ; [23 44],[46.56216216 71.43783784] ; [26.43783784 40.56216216],0
v2,1,0.305978,1.047958,[53 63] ; [25 41],[49.71428571 66.28571429] ; [28.28571429 37.71428571],0
s1,1,0.346729,0.885392,[  6 110] ; [ 6 63],[  7.52432432 108.47567568] ; [ 4.47567568 64.52432432],0
b4,1,0.361529,0.832577,[73 45] ; [38 31],[70.04278075 47.95721925] ; [40.95721925 28.04278075],0
p1,1,0.362336,0.829779,[  9 107] ; [ 3 66],[  7.52432432 108.47567568] ; [ 4.47567568 64.52432432],0
s4,1,0.444256,0.585265,[18 97] ; [ 8 61],[16.25 98.75] ; [ 9.75 59.25],0
a5,1,0.448574,0.574253,[75 43] ; [40 29],[72.56684492 45.43315508] ; [42.43315508 26.56684492],0
n5,1,0.463555,0.537296,[69 49] ; [36 32],[66.61290323 51.38709677] ; [38.38709677 29.61290323],0
a1,1,0.473402,0.514023,[  7 111] ; [ 6 63],[  8.20320856 109.79679144] ; [ 4.79679144 64.20320856],0
v3,1,0.548442,0.360115,[37 77] ; [18 46],[35.2247191 78.7752809] ; [19.7752809 44.2247191],0
s7,1,0.581439,0.303915,[39 73] ; [20 45],[37.33333333 74.66666667] ; [21.66666667 43.33333333],0
p11,1,0.609648,0.260688,[57 61] ; [36 33],[58.68449198 59.31550802] ; [34.31550802 34.68449198],0
u3,1,0.677876,0.172527,[22 17] ; [17 16],[21.125 17.875] ; [17.875 15.125],0
s3,1,0.70959,0.138687,[54 61] ; [30 38],[52.78688525 62.21311475] ; [31.21311475 36.78688525],0
p7,1,0.710607,0.137671,[52 64] ; [29 40],[50.78918919 65.21081081] ; [30.21081081 38.78918919],0
p6,1,0.765952,0.08861,[30 86] ; [16 51],[29.15846995 86.84153005] ; [16.84153005 50.15846995],0
p3,1,0.777695,0.079707,[40 78] ; [22 47],[39.12299465 78.87700535] ; [22.87700535 46.12299465],0
u2,1,0.787667,0.072545,[15 22] ; [14 18],[15.55072464 21.44927536] ; [13.44927536 18.55072464],0
p9,1,0.805367,0.060717,[43 70] ; [25 44],[42.21978022 70.78021978] ; [25.78021978 43.21978022],0
n3,1,0.82616,0.048237,[27 14] ; [19 11],[26.56338028 14.43661972] ; [19.43661972 10.56338028],0
b3,1,0.840007,0.040757,[23 50] ; [14 28],[23.48695652 49.51304348] ; [13.51304348 28.48695652],0
b2,1,0.840007,0.040757,[23 50] ; [14 28],[23.48695652 49.51304348] ; [13.51304348 28.48695652],0
a8,1,0.850845,0.035359,[12 92] ; [ 7 59],[11.62352941 92.37647059] ; [ 7.37647059 58.62352941],0
u4,1,0.854052,0.033838,[  4 114] ; [ 2 67],[  3.78609626 114.21390374] ; [ 2.21390374 66.78609626],0
d2,1,0.866448,0.028282,[60 57] ; [34 34],[59.44864865 57.55135135] ; [34.55135135 33.44864865],0
s8,1,0.869574,0.026961,[32 84] ; [18 50],[31.52173913 84.47826087] ; [18.47826087 49.52173913],0
n1,1,0.91553,0.01125,[18 22] ; [14 18],[17.77777778 22.22222222] ; [14.22222222 17.77777778],0
a4,1,0.944369,0.004869,[51 66] ; [30 38],[51.22702703 65.77297297] ; [29.77297297 38.22702703],0
s2,1,0.994458,4.8e-05,[41 75] ; [24 44],[40.97826087 75.02173913] ; [24.02173913 43.97826087],0
