Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,38.51742,[ 23 125] ; [86 93],[49.33333333 98.66666667] ; [ 59.66666667 119.33333333],1
v1,1,6.7e-05,15.880988,[59 91] ; [111  70],[77.03927492 72.96072508] ; [92.96072508 88.03927492],1
r3,1,0.00146,10.128848,[137  14] ; [182   3],[143.36011905   7.63988095] ; [175.63988095   9.36011905],0
p10,1,0.001603,9.956732,[97 52] ; [148  36],[109.62462462  39.37537538] ; [135.37537538  48.62462462],0
p9,1,0.00204,9.513275,[102  48] ; [151  32],[113.96396396  36.03603604] ; [139.03603604  43.96396396],0
p3,1,0.004711,7.987245,[ 50 100] ; [90 95],[62.68656716 87.31343284] ; [ 77.31343284 107.68656716],0
b1,1,0.007432,7.165504,[65 86] ; [ 54 132],[53.32047478 97.67952522] ; [ 65.67952522 120.32047478],0
d3,1,0.028648,4.788671,[90 61] ; [132  54],[99.47181009 51.52818991] ; [122.52818991  63.47181009],0
p12,1,0.031082,4.648412,[  3 147] ; [ 13 171],[  7.18562874 142.81437126] ; [  8.81437126 175.18562874],0
p11,1,0.038623,4.27737,[111  40] ; [154  32],[118.7388724  32.2611276] ; [146.2611276  39.7388724],0
s1,1,0.044011,4.056122,[  7 141] ; [  2 180],[  4.03636364 143.96363636] ; [  4.96363636 177.03636364],0
p8,1,0.048006,3.909777,[64 86] ; [98 85],[72.97297297 77.02702703] ; [89.02702703 93.97297297],0
u3,1,0.070367,3.274428,[42 21] ; [32 31],[37. 26.] ; [37. 26.],0
p4,1,0.091429,2.849039,[70 79] ; [103  80],[77.64156627 71.35843373] ; [95.35843373 87.64156627],0
p7,1,0.093699,2.809642,[78 70] ; [112  69],[85.47112462 62.52887538] ; [104.52887538  76.47112462],0
n6,1,0.104949,2.628678,[112  39] ; [150  34],[118.09552239  32.90447761] ; [143.90447761  40.09552239],0
r2,1,0.125207,2.350948,[142   8] ; [179   4],[144.59459459   5.40540541] ; [176.40540541   6.59459459],0
a3,1,0.145509,2.118707,[87 62] ; [123  63],[93.40298507 55.59701493] ; [116.59701493  69.40298507],0
d4,1,0.152143,2.050628,[120  31] ; [158  27],[124.93452381  26.06547619] ; [153.06547619  31.93452381],0
r4,1,0.158917,1.984498,[139  12] ; [178   8],[142.03857567   8.96142433] ; [174.96142433  11.03857567],0
d1,1,0.175481,1.835482,[79 72] ; [111  75],[85.13353116 65.86646884] ; [104.86646884  81.13353116],0
a7,1,0.193103,1.693787,[108  43] ; [143  41],[113.13731343  37.86268657] ; [137.86268657  46.13731343],0
p2,1,0.213678,1.546327,[115  35] ; [152  33],[119.55223881  30.44776119] ; [147.44776119  37.55223881],0
d5,1,0.216184,1.529526,[116  35] ; [153  33],[120.53115727  30.46884273] ; [148.46884273  37.53115727],0
s3,1,0.349926,0.873725,[59 90] ; [ 63 119],[54.918429 94.081571] ; [ 67.081571 114.918429],0
p5,1,0.364567,0.822099,[  7 143] ; [ 13 172],[  8.95522388 141.04477612] ; [ 11.04477612 173.95522388],0
d2,1,0.374821,0.78762,[68 83] ; [ 74 110],[64.00597015 86.99402985] ; [ 77.99402985 106.00597015],0
b5,1,0.379308,0.772942,[94 57] ; [107  79],[90.06231454 60.93768546] ; [110.93768546  75.06231454],0
n1,1,0.385122,0.754289,[17 30] ; [ 8 22],[15.25974026 31.74025974] ; [ 9.74025974 20.25974026],0
u2,1,0.421212,0.646931,[34 29] ; [29 33],[31.752 31.248] ; [31.248 30.752],0
n2,1,0.425417,0.635303,[33 16] ; [22  7],[34.55128205 14.44871795] ; [20.44871795  8.55128205],0
a5,1,0.539331,0.376781,[105  46] ; [135  51],[107.53709199  43.46290801] ; [132.46290801  53.53709199],0
s6,1,0.576056,0.312654,[77 68] ; [92 92],[74.48328267 70.51671733] ; [94.51671733 89.48328267],0
s4,1,0.637195,0.22243,[ 20 126] ; [ 22 162],[ 18.58181818 127.41818182] ; [ 23.41818182 160.58181818],0
a6,1,0.644842,0.212465,[109  42] ; [130  56],[107.08902077  43.91097923] ; [131.91097923  54.08902077],0
u1,1,0.677412,0.173053,[ 18 133] ; [ 25 161],[ 19.26706231 131.73293769] ; [ 23.73293769 162.26706231],0
u4,1,0.688114,0.161134,[  1 150] ; [  2 184],[  1.34421365 149.65578635] ; [  1.65578635 184.34421365],0
s5,1,0.692733,0.156143,[ 37 108] ; [ 43 139],[ 35.47400612 109.52599388] ; [ 44.52599388 137.47400612],0
p6,1,0.69956,0.14893,[ 40 110] ; [ 52 130],[ 41.56626506 108.43373494] ; [ 50.43373494 131.56626506],0
a8,1,0.710727,0.137552,[ 17 124] ; [ 18 150],[ 15.97087379 125.02912621] ; [ 19.02912621 148.97087379],0
s2,1,0.722664,0.125955,[ 42 106] ; [ 49 135],[ 40.56626506 107.43373494] ; [ 50.43373494 133.56626506],0
