Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000491,12.148598,[ 6 11] ; [41 10],[11.75  5.25] ; [35.25 15.75],1
a6,1,0.018415,5.556209,[8 9] ; [38 11],[11.84848485  5.15151515] ; [34.15151515 14.84848485],0
r1,1,0.028157,4.818449,[10  7] ; [43  8],[13.25  3.75] ; [39.75 11.25],0
v3,1,0.030763,4.666119,[ 3 11] ; [26 22],[6.5483871 7.4516129] ; [22.4516129 25.5483871],0
b4,1,0.059066,3.563411,[14  3] ; [29 22],[10.75  6.25] ; [32.25 18.75],0
a3,1,0.063256,3.449895,[16  1] ; [37 14],[13.25  3.75] ; [39.75 11.25],0
n6,1,0.090966,2.857194,[11  6] ; [42  8],[13.44776119  3.55223881] ; [39.55223881 10.44776119],0
a4,1,0.092327,2.833333,[12  5] ; [24 27],[9. 8.] ; [27. 24.],0
v4,1,0.148106,2.091651,[13  4] ; [46  5],[14.75  2.25] ; [44.25  6.75],0
p4,1,0.148311,2.08954,[8 9] ; [14 36],[ 5.58208955 11.41791045] ; [16.41791045 33.58208955],0
p9,1,0.217191,1.522833,[10  6] ; [39 11],[11.87878788  4.12121212] ; [37.12121212 12.87878788],0
d3,1,0.220112,1.50364,[9 8] ; [34 15],[11.07575758  5.92424242] ; [31.92424242 17.07575758],0
s5,1,0.274549,1.193878,[8 8] ; [17 32],[6.15384615 9.84615385] ; [18.84615385 30.15384615],0
a7,1,0.309413,1.033178,[9 8] ; [34 17],[10.75  6.25] ; [32.25 18.75],0
s8,1,0.311675,1.023564,[10  7] ; [36 14],[11.67164179  5.32835821] ; [34.32835821 15.67164179],0
a8,1,0.382733,0.761905,[ 1 15] ; [ 7 41],[ 2. 14.] ; [ 6. 42.],0
b5,1,0.387347,0.747253,[9 8] ; [33 18],[10.5  6.5] ; [31.5 19.5],0
a5,1,0.39852,0.712788,[12  5] ; [41 10],[13.25  3.75] ; [39.75 11.25],0
p7,1,0.403583,0.697625,[ 5 12] ; [20 29],[ 6.43939394 10.56060606] ; [18.56060606 30.43939394],0
d2,1,0.48923,0.47822,[12  5] ; [30 19],[10.81818182  6.18181818] ; [31.18181818 17.81818182],0
n2,1,0.507726,0.43875,[7 3] ; [13  3],[7.69230769 2.30769231] ; [12.30769231  3.69230769],0
n3,1,0.509432,0.435233,[5 4] ; [11  5],[5.76 3.24] ; [10.24  5.76],0
b2,1,0.514887,0.424123,[7 7] ; [16 24],[5.96296296 8.03703704] ; [17.03703704 22.96296296],0
b3,1,0.514887,0.424123,[7 7] ; [16 24],[5.96296296 8.03703704] ; [17.03703704 22.96296296],0
p10,1,0.538795,0.377778,[11  6] ; [37 14],[12.  5.] ; [36. 15.],0
s2,1,0.557854,0.343434,[10  7] ; [34 17],[11.  6.] ; [33. 18.],0
v2,1,0.578988,0.307874,[9 5] ; [28 22],[8.09375 5.90625] ; [28.90625 21.09375],0
n1,1,0.609834,0.260417,[6 3] ; [9 7],[5.4 3.6] ; [9.6 6.4],0
p3,1,0.621146,0.244259,[ 5 12] ; [18 32],[ 5.8358209 11.1641791] ; [17.1641791 32.8358209],0
r3,1,0.621527,0.243728,[16  1] ; [46  5],[15.5  1.5] ; [46.5  4.5],0
s6,1,0.729111,0.119929,[13  4] ; [41 10],[13.5  3.5] ; [40.5 10.5],0
p8,1,0.729111,0.119929,[ 3 14] ; [11 40],[ 3.5 13.5] ; [10.5 40.5],0
r2,1,0.745795,0.105098,[16  1] ; [48  2],[16.23880597  0.76119403] ; [47.76119403  2.23880597],0
p6,1,0.764697,0.089592,[ 6 11] ; [16 35],[ 5.5 11.5] ; [16.5 34.5],0
p1,1,0.817782,0.053084,[ 2 15] ; [ 5 46],[ 1.75 15.25] ; [ 5.25 45.75],0
s4,1,0.865912,0.028512,[ 4 13] ; [11 40],[ 3.75 13.25] ; [11.25 39.75],0
d1,1,0.879548,0.022965,[12  5] ; [35 16],[11.75  5.25] ; [35.25 15.75],0
p11,1,0.882353,0.0219,[11  6] ; [34 17],[11.25  5.75] ; [33.75 17.25],0
b1,1,0.888205,0.019762,[9 8] ; [28 23],[9.25 7.75] ; [27.75 23.25],0
v1,1,0.894407,0.017617,[9 8] ; [24 23],[8.765625 8.234375] ; [24.234375 22.765625],0
d4,1,0.899825,0.015846,[14  3] ; [41  8],[14.16666667  2.83333333] ; [40.83333333  8.16666667],0
s3,1,0.911172,0.012446,[12  5] ; [36 14],[12.17910448  4.82089552] ; [35.82089552 14.17910448],0
r4,1,1.0,0.0,[14  3] ; [42  9],[14.  3.] ; [42.  9.],0
u4,1,1.0,0.0,[ 1 16] ; [ 3 48],[ 1. 16.] ; [ 3. 48.],0
a2,1,1.0,0.0,[ 5 12] ; [15 36],[ 5. 12.] ; [15. 36.],0
