Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000836,11.160645,[17 25] ; [17 94],[ 9.33333333 32.66666667] ; [24.66666667 86.33333333],1
p8,1,0.006731,7.34351,[19 23] ; [26 87],[12.19354839 29.80645161] ; [32.80645161 80.19354839],0
p7,1,0.017321,5.663588,[24 18] ; [41 73],[17.5 24.5] ; [47.5 66.5],0
s8,1,0.017344,5.661206,[14 28] ; [18 95],[ 8.67096774 33.32903226] ; [23.32903226 89.67096774],0
v4,1,0.02536,4.999112,[39  4] ; [84 29],[33.90384615  9.09615385] ; [89.09615385 23.90384615],0
r3,1,0.030407,4.686121,[38  5] ; [82 32],[32.86624204 10.13375796] ; [87.13375796 26.86624204],0
v2,1,0.051637,3.787483,[21 20] ; [38 74],[15.81045752 25.18954248] ; [43.18954248 68.81045752],0
p2,1,0.052739,3.75218,[28 15] ; [55 60],[22.58860759 20.41139241] ; [60.41139241 54.58860759],0
u3,1,0.067889,3.333333,[14  7] ; [21 28],[10.5 10.5] ; [24.5 24.5],0
r4,1,0.093012,2.821458,[32 11] ; [69 46],[27.48734177 15.51265823] ; [73.51265823 41.48734177],0
v1,1,0.102423,2.667411,[20 23] ; [37 77],[15.61146497 27.38853503] ; [41.38853503 72.61146497],0
r1,1,0.115241,2.480831,[31 12] ; [66 47],[26.73717949 16.26282051] ; [70.26282051 42.73717949],0
n2,1,0.156333,2.009344,[11  4] ; [28 25],[8.60294118 6.39705882] ; [30.39705882 22.60294118],0
s5,1,0.170537,1.878216,[10 30] ; [17 94],[ 7.15231788 32.84768212] ; [19.84768212 91.15231788],0
n3,1,0.182642,1.775991,[11  4] ; [27 23],[8.76923077 6.23076923] ; [29.23076923 20.76923077],0
a7,1,0.186647,1.743887,[21 22] ; [69 45],[24.64968153 18.35031847] ; [65.35031847 48.64968153],0
s4,1,0.218147,1.516519,[ 4 38] ; [20 94],[ 6.46153846 35.53846154] ; [17.53846154 96.46153846],0
p9,1,0.238695,1.388284,[15 26] ; [30 82],[12.05882353 28.94117647] ; [32.94117647 79.05882353],0
s2,1,0.246621,1.342345,[17 26] ; [34 80],[13.96815287 29.03184713] ; [37.03184713 76.96815287],0
n4,1,0.301463,1.06771,[29 14] ; [66 47],[26.18589744 16.81410256] ; [68.81410256 44.18589744],0
s1,1,0.310874,1.026958,[ 2 41] ; [ 11 103],[ 3.56050955 39.43949045] ; [  9.43949045 104.56050955],0
n6,1,0.321504,0.982819,[27 16] ; [61 52],[24.25641026 18.74358974] ; [63.74358974 49.25641026],0
p4,1,0.344465,0.893745,[19 24] ; [41 73],[16.43312102 26.56687898] ; [43.56687898 70.43312102],0
n5,1,0.350365,0.872136,[20 23] ; [62 51],[22.6025641 20.3974359] ; [59.3974359 53.6025641],0
a3,1,0.382223,0.763539,[22 21] ; [66 46],[24.41290323 18.58709677] ; [63.58709677 48.41290323],0
p1,1,0.411526,0.674389,[ 2 40] ; [ 10 105],[ 3.21019108 38.78980892] ; [  8.78980892 106.21019108],0
a2,1,0.447218,0.577694,[ 7 36] ; [25 90],[ 8.70886076 34.29113924] ; [23.29113924 91.70886076],0
b5,1,0.460154,0.545521,[30 13] ; [73 42],[28.03164557 14.96835443] ; [74.96835443 40.03164557],0
s6,1,0.460517,0.544638,[21 21] ; [49 64],[18.96774194 23.03225806] ; [51.03225806 61.96774194],0
p12,1,0.466235,0.530886,[ 1 42] ; [  1 114],[ 0.5443038 42.4556962] ; [  1.4556962 113.5443038],0
u2,1,0.469182,0.523902,[10 10] ; [19 28],[ 8.65671642 11.34328358] ; [20.34328358 26.65671642],0
d5,1,0.50384,0.44684,[27 16] ; [78 36],[28.75796178 14.24203822] ; [76.24203822 37.75796178],0
a8,1,0.514106,0.425701,[ 6 36] ; [11 94],[ 4.85714286 37.14285714] ; [12.14285714 92.85714286],0
u1,1,0.519915,0.414062,[ 4 39] ; [ 15 100],[ 5.17088608 37.82911392] ; [ 13.82911392 101.17088608],0
b4,1,0.521547,0.410832,[26 17] ; [63 52],[24.22151899 18.77848101] ; [64.77848101 50.22151899],0
n1,1,0.533352,0.388001,[8 7] ; [23 29],[6.94029851 8.05970149] ; [24.05970149 27.94029851],0
p3,1,0.534546,0.385743,[17 26] ; [39 75],[15.33757962 27.66242038] ; [40.66242038 73.33757962],0
a1,1,0.610348,0.259669,[ 3 40] ; [ 11 104],[ 3.81012658 39.18987342] ; [ 10.18987342 104.81012658],0
p5,1,0.680414,0.16966,[ 3 40] ; [  6 108],[ 2.46496815 40.53503185] ; [  6.53503185 107.46496815],0
v3,1,0.699458,0.149036,[13 30] ; [29 78],[12.04 30.96] ; [29.96 77.04],0
d4,1,0.709146,0.139132,[31 12] ; [78 35],[30.04487179 12.95512821] ; [78.95512821 34.04487179],0
d2,1,0.713092,0.135208,[18 25] ; [51 62],[19.01923077 23.98076923] ; [49.98076923 63.01923077],0
r2,1,0.72034,0.128167,[36  7] ; [91 21],[35.23225806  7.76774194] ; [91.76774194 20.23225806],0
