Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.0779,[ 38 126] ; [37 28],[ 53.71179039 110.28820961] ; [21.28820961 43.71179039],1
p6,1,0.000909,11.004279,[ 64 110] ; [41 27],[75.49586777 98.50413223] ; [29.50413223 38.49586777],1
s6,1,0.009797,6.671359,[79 92] ; [44 24],[88.0041841 82.9958159] ; [34.9958159 33.0041841],0
b3,1,0.011024,6.461449,[32 75] ; [25 24],[39.09615385 67.90384615] ; [17.90384615 31.09615385],0
b2,1,0.011024,6.461449,[32 75] ; [25 24],[39.09615385 67.90384615] ; [17.90384615 31.09615385],0
p9,1,0.013513,6.100726,[139  36] ; [63  5],[145.47325103  29.52674897] ; [56.52674897 11.47325103],0
u2,1,0.035109,4.439848,[31 33] ; [17  6],[35.31034483 28.68965517] ; [12.68965517 10.31034483],0
d2,1,0.042084,4.131835,[ 75 100] ; [39 29],[82.09876543 92.90123457] ; [31.90123457 36.09876543],0
a8,1,0.054755,3.689542,[ 14 139] ; [11 48],[ 18.04245283 134.95754717] ; [ 6.95754717 52.04245283],0
v3,1,0.094297,2.799444,[ 57 112] ; [30 36],[ 62.56595745 106.43404255] ; [24.43404255 41.56595745],0
n1,1,0.106529,2.604965,[15 19] ; [ 3 12],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
r1,1,0.11277,2.51497,[133  42] ; [58 10],[137.55144033  37.44855967] ; [53.44855967 14.55144033],0
p5,1,0.118508,2.436931,[ 22 152] ; [14 54],[ 25.88429752 148.11570248] ; [10.11570248 57.88429752],0
n3,1,0.120281,2.413664,[25  8] ; [8 7],[22.6875 10.3125] ; [10.3125  4.6875],0
n2,1,0.126598,2.333737,[23 10] ; [7 8],[20.625 12.375] ; [9.375 5.625],0
s5,1,0.128204,2.314112,[ 33 138] ; [19 48],[ 37.36134454 133.63865546] ; [14.63865546 52.36134454],0
p8,1,0.130299,2.288936,[108  64] ; [49 18],[112.9874477  59.0125523] ; [44.0125523 22.9874477],0
p12,1,0.133601,2.250152,[  7 168] ; [ 6 62],[  9.36213992 165.63786008] ; [ 3.63786008 64.36213992],0
u1,1,0.185375,1.753995,[ 24 151] ; [14 54],[ 27.36625514 147.63374486] ; [10.63374486 57.36625514],0
p7,1,0.187263,1.739022,[123  51] ; [53 14],[127.07053942  46.92946058] ; [48.92946058 18.07053942],0
b1,1,0.206588,1.595176,[ 72 103] ; [22 46],[ 67.69547325 107.30452675] ; [26.30452675 41.69547325],0
d1,1,0.213271,1.549084,[90 85] ; [41 27],[94.34156379 80.65843621] ; [36.65843621 31.34156379],0
r4,1,0.245229,1.350284,[153  22] ; [63  5],[155.55555556  19.44444444] ; [60.44444444  7.55555556],0
a6,1,0.288938,1.124565,[123  52] ; [43 25],[119.5473251  55.4526749] ; [46.4526749 21.5473251],0
v1,1,0.303796,1.057457,[90 82] ; [40 27],[93.55648536 78.44351464] ; [36.44351464 30.55648536],0
p10,1,0.321868,0.981341,[138  35] ; [58 10],[140.69709544  32.30290456] ; [55.30290456 12.69709544],0
b4,1,0.34403,0.895356,[99 76] ; [43 25],[102.26337449  72.73662551] ; [39.73662551 28.26337449],0
a5,1,0.345213,0.890974,[126  49] ; [53 15],[128.90946502  46.09053498] ; [50.09053498 17.90946502],0
p11,1,0.34532,0.89058,[143  32] ; [59  9],[145.47325103  29.52674897] ; [56.52674897 11.47325103],0
a4,1,0.351779,0.86703,[78 96] ; [26 42],[74.7768595 99.2231405] ; [29.2231405 38.7768595],0
