Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.001535,10.036562,[15 23] ; [45 18],[22.57425743 15.42574257] ; [37.42574257 25.57425743],0
u1,1,0.001556,10.011259,[ 1 37] ; [18 47],[ 7.00970874 30.99029126] ; [11.99029126 53.00970874],0
a2,1,0.003577,8.486928,[ 2 36] ; [19 46],[ 7.74757282 30.25242718] ; [13.25242718 51.74757282],0
a6,1,0.0046,8.030438,[15 23] ; [43 20],[21.82178218 16.17821782] ; [36.17821782 26.82178218],0
b5,1,0.02828,4.810895,[20 18] ; [48 17],[25.08737864 12.91262136] ; [42.91262136 22.08737864],0
d4,1,0.028783,4.780569,[24 14] ; [52 11],[28.59405941  9.40594059] ; [47.40594059 15.59405941],0
n5,1,0.07803,3.105471,[21 17] ; [47 18],[25.08737864 12.91262136] ; [42.91262136 22.08737864],0
d1,1,0.108753,2.57225,[16 22] ; [38 27],[19.9223301 18.0776699] ; [34.0776699 30.9223301],0
v4,1,0.111004,2.539869,[32  6] ; [61  4],[34.31067961  3.68932039] ; [58.68932039  6.31067961],0
n6,1,0.124341,2.361769,[28 10] ; [55  9],[30.92156863  7.07843137] ; [52.07843137 11.92156863],0
v2,1,0.125517,2.347088,[17 18] ; [40 22],[20.56701031 14.43298969] ; [36.43298969 25.56701031],0
r1,1,0.128641,2.30883,[26 12] ; [53 12],[29.14563107  8.85436893] ; [49.85436893 15.14563107],0
n4,1,0.133378,2.252746,[22 16] ; [47 18],[25.45631068 12.54368932] ; [43.54368932 21.45631068],0
p10,1,0.143583,2.139134,[20 18] ; [43 21],[23.47058824 14.52941176] ; [39.52941176 24.47058824],0
s1,1,0.191273,1.707782,[ 5 31] ; [ 4 61],[ 3.20792079 32.79207921] ; [ 5.79207921 59.20792079],0
v3,1,0.191405,1.706769,[12 22] ; [30 31],[15.03157895 18.96842105] ; [26.96842105 34.03157895],0
r2,1,0.224521,1.475238,[33  5] ; [61  4],[34.67961165  3.32038835] ; [59.32038835  5.67961165],0
p3,1,0.228474,1.450337,[17 21] ; [21 43],[14.15686275 23.84313725] ; [23.84313725 40.15686275],0
s7,1,0.274329,1.194972,[18 19] ; [36 24],[20.59793814 16.40206186] ; [33.40206186 26.59793814],0
p4,1,0.281604,1.159335,[18 20] ; [23 40],[15.42574257 22.57425743] ; [25.57425743 37.42574257],0
b2,1,0.34099,0.906704,[11 15] ; [13 29],[ 9.17647059 16.82352941] ; [14.82352941 27.17647059],0
b3,1,0.34099,0.906704,[11 15] ; [13 29],[ 9.17647059 16.82352941] ; [14.82352941 27.17647059],0
s4,1,0.342899,0.899563,[13 25] ; [16 47],[10.91089109 27.08910891] ; [18.08910891 44.91089109],0
s8,1,0.355333,0.85432,[22 16] ; [31 33],[19.74509804 18.25490196] ; [33.25490196 30.74509804],0
u3,1,0.372944,0.793833,[11  4] ; [13  9],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
s2,1,0.374952,0.787186,[26 11] ; [40 25],[23.94117647 13.05882353] ; [42.05882353 22.94117647],0
p11,1,0.392749,0.730416,[26 12] ; [39 26],[23.98058252 14.01941748] ; [41.01941748 23.98058252],0
u4,1,0.422214,0.644144,[ 1 37] ; [ 4 61],[ 1.84466019 36.15533981] ; [ 3.15533981 61.84466019],0
p9,1,0.455203,0.557663,[24 14] ; [45 19],[25.70588235 12.29411765] ; [43.29411765 20.70588235],0
d2,1,0.456662,0.554063,[17 21] ; [33 30],[18.81188119 19.18811881] ; [31.18811881 31.81188119],0
b1,1,0.458376,0.549857,[21 17] ; [31 34],[19.18446602 18.81553398] ; [32.81553398 32.18446602],0
a1,1,0.467887,0.526961,[ 2 36] ; [ 6 59],[ 2.95145631 35.04854369] ; [ 5.04854369 59.95145631],0
a3,1,0.496107,0.463255,[23 15] ; [43 21],[24.58823529 13.41176471] ; [41.41176471 22.58823529],0
n1,1,0.51043,0.433185,[6 5] ; [ 8 11],[5.13333333 5.86666667] ; [ 8.86666667 10.13333333],0
r4,1,0.533507,0.387707,[33  5] ; [59  6],[33.94174757  4.05825243] ; [58.05825243  6.94174757],0
p1,1,0.623105,0.241527,[ 4 34] ; [ 5 60],[ 3.32038835 34.67961165] ; [ 5.67961165 59.32038835],0
p8,1,0.629555,0.232665,[11 27] ; [16 49],[ 9.96116505 28.03883495] ; [17.03883495 47.96116505],0
s5,1,0.643568,0.214105,[16 20] ; [25 38],[14.90909091 21.09090909] ; [26.09090909 36.90909091],0
a8,1,0.657859,0.196134,[ 4 34] ; [ 8 51],[ 4.70103093 33.29896907] ; [ 7.29896907 51.70103093],0
n2,1,0.663986,0.188718,[9 2] ; [15  5],[8.51612903 2.48387097] ; [15.48387097  4.51612903],0
b4,1,0.678145,0.172221,[23 15] ; [42 23],[23.98058252 14.01941748] ; [41.01941748 23.98058252],0
s3,1,0.688335,0.160893,[22 15] ; [40 23],[22.94 14.06] ; [39.06 23.94],0
d5,1,0.696101,0.15256,[27 11] ; [47 16],[27.84158416 10.15841584] ; [46.15841584 16.84158416],0
a5,1,0.71799,0.130427,[25 13] ; [45 20],[25.82524272 12.17475728] ; [44.17475728 20.82524272],0
u2,1,0.728532,0.120464,[8 7] ; [13  9],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
p12,1,0.785698,0.07393,[ 4 34] ; [ 8 57],[ 4.42718447 33.57281553] ; [ 7.57281553 57.42718447],0
p5,1,0.800438,0.063898,[ 4 33] ; [ 8 56],[ 4.3960396 32.6039604] ; [ 7.6039604 56.3960396],0
r3,1,0.816782,0.053678,[35  3] ; [59  6],[34.67961165  3.32038835] ; [59.32038835  5.67961165],0
v1,1,0.835914,0.0429,[19 18] ; [31 32],[18.5 18.5] ; [31.5 31.5],0
a4,1,0.871182,0.026295,[16 22] ; [28 36],[16.39215686 21.60784314] ; [27.60784314 36.39215686],0
n3,1,0.93948,0.005764,[7 4] ; [13  7],[7.09677419 3.90322581] ; [12.90322581  7.09677419],0
p7,1,0.941221,0.005437,[14 23] ; [23 39],[13.82828283 23.17171717] ; [23.17171717 38.82828283],0
p6,1,0.98967,0.000168,[12 25] ; [21 44],[11.97058824 25.02941176] ; [21.02941176 43.97058824],0
