Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.336158,[44 38] ; [ 2 34],[31.96610169 50.03389831] ; [14.03389831 21.96610169],1
d4,1,1e-06,23.563066,[66 16] ; [12 23],[54.66666667 27.33333333] ; [23.33333333 11.66666667],1
a5,1,0.00014,14.499884,[58 24] ; [12 24],[48.6440678 33.3559322] ; [21.3559322 14.6440678],1
a7,1,0.000391,12.573097,[60 22] ; [14 22],[51.42372881 30.57627119] ; [22.57627119 13.42372881],1
d3,1,0.000469,12.234449,[53 28] ; [11 25],[44.30769231 36.69230769] ; [19.69230769 16.30769231],1
v2,1,0.002645,9.037162,[38 40] ; [ 6 27],[30.91891892 47.08108108] ; [13.08108108 19.91891892],0
a6,1,0.004253,8.172369,[59 23] ; [16 20],[52.11864407 29.88135593] ; [22.88135593 13.11864407],0
r1,1,0.006417,7.429312,[60 22] ; [17 19],[53.50847458 28.49152542] ; [23.49152542 12.50847458],0
d2,1,0.011391,6.403235,[41 41] ; [ 9 27],[34.74576271 47.25423729] ; [15.25423729 20.74576271],0
r3,1,0.018508,5.54746,[65 17] ; [21 15],[59.76271186 22.23728814] ; [26.23728814  9.76271186],0
r4,1,0.021138,5.315364,[57 25] ; [17 19],[51.42372881 30.57627119] ; [22.57627119 13.42372881],0
a3,1,0.022138,5.234891,[58 24] ; [17 18],[52.56410256 29.43589744] ; [22.43589744 12.56410256],0
v4,1,0.022261,5.225273,[65 16] ; [21 14],[60.05172414 20.94827586] ; [25.94827586  9.05172414],0
u2,1,0.028456,4.80025,[18  6] ; [ 8 11],[14.51162791  9.48837209] ; [11.48837209  7.51162791],0
r2,1,0.035286,4.431304,[68 13] ; [24 12],[63.69230769 17.30769231] ; [28.30769231  7.69230769],0
a2,1,0.038902,4.265136,[17 65] ; [ 2 34],[13.20338983 68.79661017] ; [ 5.79661017 30.20338983],0
p8,1,0.075728,3.154286,[32 48] ; [ 8 27],[27.82608696 52.17391304] ; [12.17391304 22.82608696],0
p4,1,0.083338,2.998578,[32 49] ; [ 8 27],[27.93103448 53.06896552] ; [12.06896552 22.93103448],0
b4,1,0.123642,2.370573,[49 33] ; [16 20],[45.16949153 36.83050847] ; [19.83050847 16.16949153],0
s3,1,0.125375,2.348859,[18 62] ; [13 23],[21.37931034 58.62068966] ; [ 9.62068966 26.37931034],0
n5,1,0.127435,2.323475,[32 50] ; [19 16],[35.74358974 46.25641026] ; [15.25641026 19.74358974],0
s8,1,0.128196,2.314221,[16 66] ; [ 3 33],[13.20338983 68.79661017] ; [ 5.79661017 30.20338983],0
b5,1,0.129637,2.296843,[51 31] ; [17 19],[47.25423729 34.74576271] ; [20.74576271 15.25423729],0
s5,1,0.155081,2.021549,[12 67] ; [ 2 33],[ 9.70175439 69.29824561] ; [ 4.29824561 30.70175439],0
n2,1,0.209756,1.573111,[15 14] ; [12  5],[17.02173913 11.97826087] ; [9.97826087 7.02173913],0
s4,1,0.258237,1.278182,[ 6 76] ; [ 5 31],[ 7.6440678 74.3559322] ; [ 3.3559322 32.6440678],0
