Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4e-05,16.868575,[ 25 114] ; [54 79],[40.37132353 98.62867647] ; [38.62867647 94.37132353],1
s5,1,0.001032,10.769999,[ 19 120] ; [40 93],[ 30.15073529 108.84926471] ; [ 28.84926471 104.15073529],0
s3,1,0.001762,9.78235,[ 25 112] ; [46 85],[ 36.29477612 100.70522388] ; [34.70522388 96.29477612],0
s7,1,0.001858,9.684903,[ 28 100] ; [51 77],[39.5 88.5] ; [39.5 88.5],0
p10,1,0.008939,6.835051,[100  38] ; [112  19],[108.75836431  29.24163569] ; [103.24163569  27.75836431],0
s4,1,0.009635,6.701129,[  9 130] ; [ 22 112],[ 15.78388278 123.21611722] ; [ 15.21611722 118.78388278],0
r3,1,0.012365,6.2578,[126  13] ; [131   3],[130.85347985   8.14652015] ; [126.14652015   7.85347985],0
u3,1,0.035605,4.415925,[18 26] ; [29 17],[22.97777778 21.02222222] ; [24.02222222 21.97777778],0
r4,1,0.03972,4.229799,[119  20] ; [125   9],[124.23443223  14.76556777] ; [119.76556777  14.23443223],0
n5,1,0.039768,4.227744,[90 49] ; [102  32],[97.75824176 41.24175824] ; [94.24175824 39.75824176],0
n3,1,0.059032,3.564364,[30  3] ; [18  7],[27.31034483  5.68965517] ; [20.68965517  4.31034483],0
p12,1,0.085824,2.950999,[  4 134] ; [ 10 123],[  7.12915129 130.87084871] ; [  6.87084871 126.12915129],0
u2,1,0.090324,2.868587,[21 22] ; [30 15],[24.92045455 18.07954545] ; [26.07954545 18.92045455],0
b4,1,0.119289,2.426638,[71 68] ; [81 53],[77.39194139 61.60805861] ; [74.60805861 59.39194139],0
p2,1,0.129952,2.293074,[119  18] ; [123  10],[122.79259259  14.20740741] ; [119.20740741  13.79259259],0
a1,1,0.13669,2.214828,[  2 137] ; [  6 128],[  4.07326007 134.92673993] ; [  3.92673993 130.07326007],0
n4,1,0.137324,2.207688,[98 41] ; [105  29],[103.35897436  35.64102564] ; [99.64102564 34.35897436],0
p9,1,0.146923,2.103906,[109  29] ; [114  19],[113.55719557  24.44280443] ; [109.44280443  23.55719557],0
u1,1,0.166508,1.914109,[ 14 125] ; [ 21 113],[ 17.82051282 121.17948718] ; [ 17.17948718 116.82051282],0
v1,1,0.184353,1.762179,[69 68] ; [76 54],[74.40074906 62.59925094] ; [70.59925094 59.40074906],0
d5,1,0.185949,1.749429,[105  34] ; [110  24],[109.46886447  29.53113553] ; [105.53113553  28.46886447],0
d4,1,0.195308,1.677116,[101  37] ; [107  27],[105.52941176  32.47058824] ; [102.47058824  31.52941176],0
a8,1,0.22395,1.47888,[ 13 108] ; [19 99],[ 16.20083682 104.79916318] ; [ 15.79916318 102.20083682],0
p8,1,0.225554,1.46868,[86 50] ; [92 39],[90.66666667 45.33333333] ; [87.33333333 43.66666667],0
a7,1,0.256345,1.288391,[94 45] ; [99 35],[98.26739927 40.73260073] ; [94.73260073 39.26739927],0
p5,1,0.297813,1.083962,[ 13 125] ; [ 18 116],[ 15.72794118 122.27205882] ; [ 15.27205882 118.72794118],0
a5,1,0.313337,1.016557,[95 44] ; [99 35],[98.77655678 40.22344322] ; [95.22344322 38.77655678],0
a6,1,0.325338,0.967365,[94 45] ; [83 51],[90.12087912 48.87912088] ; [86.87912088 47.12087912],0
d2,1,0.347393,0.882958,[67 72] ; [57 77],[63.13553114 75.86446886] ; [60.86446886 73.13553114],0
d1,1,0.373957,0.790472,[78 61] ; [68 66],[74.33699634 64.66300366] ; [71.66300366 62.33699634],0
p4,1,0.381938,0.764453,[84 53] ; [89 45],[87.45756458 49.54243542] ; [85.54243542 48.45756458],0
n2,1,0.387804,0.745816,[22 11] ; [20  6],[23.49152542  9.50847458] ; [18.50847458  7.49152542],0
r1,1,0.392778,0.730324,[104  34] ; [106  27],[106.93726937  31.06273063] ; [103.06273063  29.93726937],0
s1,1,0.440787,0.594233,[  4 134] ; [  2 130],[  3.06666667 134.93333333] ; [  2.93333333 129.06666667],0
r2,1,0.458724,0.549007,[123  14] ; [121  10],[124.73134328  12.26865672] ; [119.26865672  11.73134328],0
d3,1,0.476039,0.507923,[87 51] ; [90 44],[89.80147059 48.19852941] ; [87.19852941 46.80147059],0
v4,1,0.500884,0.453063,[128  10] ; [126   7],[129.34317343   8.65682657] ; [124.65682657   8.34317343],0
a3,1,0.51873,0.416418,[95 42] ; [88 46],[92.51291513 44.48708487] ; [90.48708487 43.51291513],0
p1,1,0.564345,0.332237,[ 12 127] ; [  9 124],[ 10.73161765 128.26838235] ; [ 10.26838235 122.73161765],0
v3,1,0.582734,0.301835,[54 83] ; [47 83],[51.82397004 85.17602996] ; [49.17602996 80.82397004],0
b2,1,0.585571,0.297314,[30 56] ; [26 58],[28.32941176 57.67058824] ; [27.67058824 56.32941176],0
b3,1,0.585571,0.297314,[30 56] ; [26 58],[28.32941176 57.67058824] ; [27.67058824 56.32941176],0
a4,1,0.586962,0.295113,[55 84] ; [48 84],[52.8302583 86.1697417] ; [50.1697417 81.8302583],0
p3,1,0.595169,0.282343,[78 60] ; [80 54],[80.16176471 57.83823529] ; [77.83823529 56.16176471],0
