Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7e-05,15.810669,[ 5 10] ; [98 24],[11.27737226  3.72262774] ; [91.72262774 30.27737226],1
r3,1,0.000368,12.685554,[12  3] ; [119   2],[14.44852941  0.55147059] ; [116.55147059   4.44852941],1
p4,1,0.000388,12.58995,[8 7] ; [107  14],[12.68382353  2.31617647] ; [102.31617647  18.68382353],1
r1,1,0.010809,6.496412,[9 6] ; [105  17],[12.48175182  2.51824818] ; [101.51824818  20.48175182],0
p3,1,0.020148,5.398985,[7 8] ; [91 30],[10.80882353  4.19117647] ; [87.19117647 33.80882353],0
p1,1,0.02922,4.754616,[6 9] ; [ 20 101],[ 2.86764706 12.13235294] ; [23.13235294 97.86764706],0
s1,1,0.072537,3.22465,[ 2 13] ; [  4 118],[ 0.65693431 14.34306569] ; [  5.34306569 116.65693431],0
n6,1,0.075133,3.167155,[12  3] ; [112   8],[13.77777778  1.22222222] ; [110.22222222   9.77777778],0
v3,1,0.085564,2.955905,[ 3 11] ; [55 66],[6.01481481 7.98518519] ; [51.98518519 69.01481481],0
b5,1,0.087672,2.916617,[11  4] ; [61 61],[7.88321168 7.11678832] ; [64.11678832 57.88321168],0
p2,1,0.100279,2.701093,[11  4] ; [108  14],[13.02919708  1.97080292] ; [105.97080292  16.02919708],0
b3,1,0.113942,2.498674,[2 7] ; [39 39],[4.24137931 4.75862069] ; [36.75862069 41.24137931],0
b2,1,0.113942,2.498674,[2 7] ; [39 39],[4.24137931 4.75862069] ; [36.75862069 41.24137931],0
s2,1,0.130645,2.284826,[14  1] ; [93 29],[11.71532847  3.28467153] ; [95.28467153 26.71532847],0
p11,1,0.132973,2.257445,[10  5] ; [101  21],[12.15328467  2.84671533] ; [98.84671533 23.15328467],0
b4,1,0.177009,1.822555,[12  3] ; [76 46],[9.6350365 5.3649635] ; [78.3649635 43.6350365],0
p5,1,0.18669,1.743549,[ 2 13] ; [36 86],[ 4.16058394 10.83941606] ; [33.83941606 88.16058394],0
v1,1,0.200931,1.635597,[8 7] ; [85 37],[10.18248175  4.81751825] ; [82.81751825 39.18248175],0
n3,1,0.217058,1.523713,[5 1] ; [14 11],[3.67741935 2.32258065] ; [15.32258065  9.67741935],0
v2,1,0.23251,1.425441,[6 8] ; [72 49],[8.08888889 5.91111111] ; [69.91111111 51.08888889],0
d1,1,0.261593,1.260309,[12  3] ; [80 42],[10.0729927  4.9270073] ; [81.9270073 40.0729927],0
a7,1,0.313909,1.014156,[12  3] ; [82 40],[10.2919708  4.7080292] ; [83.7080292 38.2919708],0
a6,1,0.317086,1.000927,[11  4] ; [72 48],[9.22222222 5.77777778] ; [73.77777778 46.22222222],0
n5,1,0.323274,0.975653,[11  4] ; [102  20],[12.37226277  2.62773723] ; [100.62773723  21.37226277],0
a5,1,0.323274,0.975653,[11  4] ; [102  20],[12.37226277  2.62773723] ; [100.62773723  21.37226277],0
d5,1,0.381565,0.765653,[14  1] ; [102  18],[12.88888889  2.11111111] ; [103.11111111  16.88888889],0
a3,1,0.387562,0.746578,[13  2] ; [93 28],[11.69117647  3.30882353] ; [94.30882353 26.69117647],0
u1,1,0.418444,0.654681,[ 5 10] ; [29 93],[ 3.72262774 11.27737226] ; [30.27737226 91.72262774],0
s3,1,0.452923,0.563326,[11  3] ; [84 38],[9.77941176 4.22058824] ; [85.22058824 36.77941176],0
d2,1,0.483463,0.491042,[9 6] ; [61 60],[7.72058824 7.27941176] ; [62.27941176 58.72058824],0
v4,1,0.509048,0.436023,[14  1] ; [118   4],[14.45255474  0.54744526] ; [117.54744526   4.45255474],0
r4,1,0.509048,0.436023,[14  1] ; [118   4],[14.45255474  0.54744526] ; [117.54744526   4.45255474],0
b1,1,0.528894,0.396515,[ 5 10] ; [51 71],[6.13138686 8.86861314] ; [49.86861314 72.13138686],0
n1,1,0.568261,0.3256,[4 2] ; [14 12],[3.375 2.625] ; [14.625 11.375],0
n4,1,0.594594,0.283227,[12  3] ; [104  18],[12.70072993  2.29927007] ; [103.29927007  18.70072993],0
s6,1,0.689722,0.159386,[13  2] ; [108  12],[13.44444444  1.55555556] ; [107.55555556  12.44444444],0
p12,1,0.695082,0.153639,[ 2 13] ; [ 21 100],[ 2.53676471 12.46323529] ; [ 20.46323529 100.53676471],0
d3,1,0.76137,0.092223,[11  4] ; [93 28],[11.47058824  3.52941176] ; [92.52941176 28.47058824],0
p9,1,0.771629,0.084242,[14  1] ; [116   6],[14.23357664  0.76642336] ; [115.76642336   6.23357664],0
s7,1,0.782284,0.076366,[11  3] ; [88 29],[10.58015267  3.41984733] ; [88.41984733 28.58015267],0
s4,1,0.862023,0.030206,[ 4 10] ; [37 83],[4.28358209 9.71641791] ; [36.71641791 83.28358209],0
n2,1,0.884673,0.021039,[5 1] ; [21  5],[4.875 1.125] ; [21.125  4.875],0
s8,1,0.966066,0.00181,[10  5] ; [80 41],[9.92647059 5.07352941] ; [80.07352941 40.92647059],0
a2,1,0.974881,0.000991,[ 4 11] ; [33 89],[ 4.05109489 10.94890511] ; [32.94890511 89.05109489],0
a4,1,0.996806,1.6e-05,[8 7] ; [65 57],[7.99270073 7.00729927] ; [65.00729927 56.99270073],0
d4,1,1.0,0.0,[13  2] ; [104  16],[13.  2.] ; [104.  16.],0
