Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.96585,[20 33] ; [67  6],[36.5952381 16.4047619] ; [50.4047619 22.5952381],1
r2,1,0.0,26.220024,[30 23] ; [69  4],[41.64285714 11.35714286] ; [57.35714286 15.64285714],1
p11,1,0.000172,14.114737,[26 27] ; [59 14],[35.75396825 17.24603175] ; [49.24603175 23.75396825],1
r3,1,0.000222,13.639129,[34 18] ; [67  6],[42.016  9.984] ; [58.984 14.016],1
v2,1,0.00038,12.625926,[ 9 43] ; [33 35],[18.2 33.8] ; [23.8 44.2],1
a6,1,0.000604,11.764668,[20 33] ; [50 23],[29.44444444 23.55555556] ; [40.55555556 32.44444444],1
v4,1,0.000621,11.711436,[36 17] ; [67  6],[43.32539683  9.67460317] ; [59.67460317 13.32539683],1
a5,1,0.001751,9.793896,[11 42] ; [35 38],[19.34920635 33.65079365] ; [26.65079365 46.34920635],0
a7,1,0.012485,6.240697,[20 33] ; [44 29],[26.92063492 26.07936508] ; [37.07936508 35.92063492],0
u3,1,0.016927,5.703941,[ 8 28] ; [19 20],[12.96 23.04] ; [14.04 24.96],0
n4,1,0.025732,4.973918,[24 29] ; [47 25],[30.104 22.896] ; [40.896 31.104],0
u2,1,0.04696,3.946831,[10 25] ; [20 19],[14.18918919 20.81081081] ; [15.81081081 23.18918919],0
v3,1,0.052325,3.765353,[ 9 44] ; [23 48],[13.67741935 39.32258065] ; [18.32258065 52.67741935],0
v1,1,0.056916,3.625044,[14 38] ; [31 40],[19.02439024 32.97560976] ; [25.97560976 45.02439024],0
a4,1,0.073613,3.200556,[ 6 47] ; [17 54],[ 9.83064516 43.16935484] ; [13.16935484 57.83064516],0
b4,1,0.106505,2.605324,[25 28] ; [45 28],[29.44444444 23.55555556] ; [40.55555556 32.44444444],0
n2,1,0.114623,2.489295,[13  8] ; [16  3],[15.225  5.775] ; [13.775  5.225],0
a3,1,0.124103,2.364755,[17 35] ; [33 38],[21.13821138 30.86178862] ; [28.86178862 42.13821138],0
d4,1,0.149399,2.078372,[20 33] ; [37 36],[23.97619048 29.02380952] ; [33.02380952 39.97619048],0
p6,1,0.158059,1.992699,[ 7 45] ; [17 55],[10.06451613 41.93548387] ; [13.93548387 58.06451613],0
n6,1,0.160487,1.969629,[33 20] ; [54 19],[36.5952381 16.4047619] ; [50.4047619 22.5952381],0
a8,1,0.198803,1.651149,[ 3 47] ; [ 9 59],[ 5.08474576 44.91525424] ; [ 6.91525424 61.08474576],0
d3,1,0.209342,1.575973,[16 37] ; [30 43],[19.34920635 33.65079365] ; [26.65079365 46.34920635],0
s6,1,0.222987,1.485045,[17 36] ; [30 40],[20.25203252 32.74796748] ; [26.74796748 43.25203252],0
p10,1,0.225945,1.46621,[27 25] ; [44 26],[30.26229508 21.73770492] ; [40.73770492 29.26229508],0
b1,1,0.230846,1.435642,[26 27] ; [28 45],[22.71428571 30.28571429] ; [31.28571429 41.71428571],0
p12,1,0.303316,1.059557,[ 2 51] ; [ 6 66],[ 3.392 49.608] ; [ 4.608 67.392],0
p3,1,0.309742,1.031775,[13 40] ; [24 49],[15.56349206 37.43650794] ; [21.43650794 51.56349206],0
s3,1,0.356769,0.849235,[18 34] ; [30 40],[20.45901639 31.54098361] ; [27.54098361 42.45901639],0
b3,1,0.416933,0.658943,[ 8 22] ; [15 27],[ 9.58333333 20.41666667] ; [13.41666667 28.58333333],0
b2,1,0.416933,0.658943,[ 8 22] ; [15 27],[ 9.58333333 20.41666667] ; [13.41666667 28.58333333],0
n3,1,0.495628,0.464286,[13  8] ; [13  5],[14.  7.] ; [12.  6.],0
n1,1,0.495628,0.464286,[ 6 15] ; [ 7 11],[ 7. 14.] ; [ 6. 12.],0
s5,1,0.505441,0.443493,[ 7 46] ; [12 56],[ 8.32231405 44.67768595] ; [10.67768595 57.32231405],0
b5,1,0.572118,0.319152,[31 22] ; [39 34],[29.44444444 23.55555556] ; [40.55555556 32.44444444],0
d2,1,0.595741,0.281468,[13 40] ; [15 58],[11.77777778 41.22222222] ; [16.22222222 56.77777778],0
a1,1,0.596213,0.280746,[ 5 48] ; [ 5 68],[ 4.20634921 48.79365079] ; [ 5.79365079 67.20634921],0
p4,1,0.673436,0.177609,[17 36] ; [25 45],[18.09756098 34.90243902] ; [23.90243902 46.09756098],0
p1,1,0.68854,0.16067,[ 4 49] ; [ 7 66],[ 4.62698413 48.37301587] ; [ 6.37301587 66.62698413],0
p8,1,0.741668,0.108666,[18 34] ; [27 45],[18.87096774 33.12903226] ; [26.12903226 45.87096774],0
s2,1,0.743443,0.107123,[13 40] ; [19 51],[13.78861789 39.21138211] ; [18.21138211 51.78861789],0
n5,1,0.768351,0.086749,[32 21] ; [41 30],[31.2016129 21.7983871] ; [41.7983871 29.2016129],0
s8,1,0.781168,0.077171,[ 5 48] ; [ 8 65],[ 5.46825397 47.53174603] ; [ 7.53174603 65.46825397],0
p7,1,0.783637,0.075396,[24 28] ; [31 40],[23.25203252 28.74796748] ; [31.74796748 39.25203252],0
d1,1,0.924014,0.009097,[ 2 51] ; [ 3 70],[ 2.1031746 50.8968254] ; [ 2.8968254 70.1031746],0
