Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.1e-05,15.320386,[69 11] ; [14 14],[61.48148148 18.51851852] ; [21.51851852  6.48148148],1
p7,1,0.000243,13.466915,[53 26] ; [ 8 21],[44.62037037 34.37962963] ; [16.37962963 12.62037037],1
p11,1,0.000566,11.883274,[64 17] ; [13 16],[56.7 24.3] ; [20.3  8.7],1
n3,1,0.002839,8.908425,[20  5] ; [4 9],[15.78947368  9.21052632] ; [8.21052632 4.78947368],0
a7,1,0.00522,7.801618,[68 13] ; [17 12],[62.59090909 18.40909091] ; [22.40909091  6.59090909],0
v4,1,0.005533,7.696487,[78  2] ; [24  5],[74.86238532  5.13761468] ; [27.13761468  1.86238532],0
r4,1,0.022333,5.219678,[71 10] ; [20  9],[67.00909091 13.99090909] ; [23.99090909  5.00909091],0
r1,1,0.039249,4.250039,[67 13] ; [19 10],[63.11926606 16.88073394] ; [22.88073394  6.11926606],0
d3,1,0.042301,4.123132,[61 20] ; [16 13],[56.7 24.3] ; [20.3  8.7],0
a6,1,0.051834,3.781106,[58 23] ; [15 14],[53.75454545 27.24545455] ; [19.24545455  9.75454545],0
p10,1,0.05441,3.700078,[61 19] ; [16 12],[57.03703704 22.96296296] ; [19.96296296  8.03703704],0
r2,1,0.05875,3.572335,[77  3] ; [25  4],[74.86238532  5.13761468] ; [27.13761468  1.86238532],0
n2,1,0.062066,3.481303,[19  5] ; [7 7],[16.42105263  7.57894737] ; [9.57894737 4.42105263],0
a2,1,0.08496,2.967363,[17 64] ; [ 2 27],[13.99090909 67.00909091] ; [ 5.00909091 23.99090909],0
s1,1,0.111316,2.535444,[ 1 79] ; [ 2 27],[ 2.20183486 77.79816514] ; [ 0.79816514 28.20183486],0
n6,1,0.124718,2.357049,[56 23] ; [16 13],[52.66666667 26.33333333] ; [19.33333333  9.66666667],0
s4,1,0.161398,1.961077,[15 66] ; [ 9 20],[17.67272727 63.32727273] ; [ 6.32727273 22.67272727],0
p8,1,0.197913,1.657705,[41 38] ; [11 18],[38.03703704 40.96296296] ; [13.96296296 15.03703704],0
v1,1,0.215089,1.536835,[46 33] ; [13 16],[43.15740741 35.84259259] ; [15.84259259 13.15740741],0
d2,1,0.303731,1.05774,[25 56] ; [12 17],[27.24545455 53.75454545] ; [ 9.75454545 19.24545455],0
d1,1,0.320721,0.986006,[45 36] ; [13 16],[42.70909091 38.29090909] ; [15.29090909 13.70909091],0
p5,1,0.355378,0.85416,[ 7 74] ; [ 1 28],[ 5.89090909 75.10909091] ; [ 2.10909091 26.89090909],0
p3,1,0.355972,0.852052,[31 50] ; [ 8 20],[28.98165138 52.01834862] ; [10.01834862 17.98165138],0
s8,1,0.357822,0.845522,[27 54] ; [ 7 22],[25.03636364 55.96363636] ; [ 8.96363636 20.03636364],0
s2,1,0.403623,0.697507,[38 43] ; [11 18],[36.08181818 44.91818182] ; [12.91818182 16.08181818],0
r3,1,0.487751,0.481483,[77  3] ; [27  2],[76.33027523  3.66972477] ; [27.66972477  1.33027523],0
p1,1,0.487751,0.481483,[ 3 77] ; [ 2 27],[ 3.66972477 76.33027523] ; [ 1.33027523 27.66972477],0
d5,1,0.516211,0.421456,[66 15] ; [22  7],[64.8 16.2] ; [23.2  5.8],0
u2,1,0.521075,0.411765,[13 12] ; [4 6],[12.14285714 12.85714286] ; [4.85714286 5.14285714],0
n5,1,0.533764,0.387221,[30 50] ; [ 9 20],[28.62385321 51.37614679] ; [10.37614679 18.62385321],0
b2,1,0.608623,0.262185,[12 27] ; [5 8],[12.75 26.25] ; [4.25 8.75],0
b3,1,0.608623,0.262185,[12 27] ; [5 8],[12.75 26.25] ; [4.25 8.75],0
b1,1,0.627461,0.235519,[24 57] ; [10 19],[25.03636364 55.96363636] ; [ 8.96363636 20.03636364],0
s5,1,0.630596,0.231254,[24 54] ; [10 18],[25.01886792 52.98113208] ; [ 8.98113208 19.01886792],0
a5,1,0.643109,0.214699,[52 29] ; [20  9],[53.01818182 27.98181818] ; [18.98181818 10.01818182],0
p4,1,0.673556,0.177471,[40 41] ; [13 16],[39.02727273 41.97272727] ; [13.97272727 15.02727273],0
d4,1,0.68324,0.166501,[67 14] ; [23  6],[66.27272727 14.72727273] ; [23.72727273  5.27272727],0
s6,1,0.684484,0.165122,[52 28] ; [17 11],[51.11111111 28.88888889] ; [17.88888889 10.11111111],0
b5,1,0.701812,0.146593,[48 33] ; [16 13],[47.12727273 33.87272727] ; [16.87272727 12.12727273],0
a3,1,0.719586,0.12889,[56 25] ; [19 10],[55.22727273 25.77272727] ; [19.77272727  9.22727273],0
v3,1,0.742914,0.107582,[33 44] ; [11 17],[32.26666667 44.73333333] ; [11.73333333 16.26666667],0
