Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9e-06,19.764923,[19  2] ; [28 50],[ 9.96969697 11.03030303] ; [37.03030303 40.96969697],1
s4,1,0.000438,12.363489,[ 9 12] ; [ 8 70],[ 3.60606061 17.39393939] ; [13.39393939 64.60606061],1
s2,1,0.001145,10.576923,[14  7] ; [22 56],[ 7.63636364 13.36363636] ; [28.36363636 49.63636364],0
r4,1,0.002348,9.255625,[20  1] ; [47 31],[14.21212121  6.78787879] ; [52.78787879 25.21212121],0
s8,1,0.002871,8.887831,[10 11] ; [13 65],[ 4.87878788 16.12121212] ; [18.12121212 59.87878788],0
p1,1,0.004126,8.227335,[ 6 15] ; [ 5 73],[ 2.33333333 18.66666667] ; [ 8.66666667 69.33333333],0
p12,1,0.004954,7.896136,[ 4 17] ; [ 2 76],[ 1.27272727 19.72727273] ; [ 4.72727273 73.27272727],0
s7,1,0.006797,7.325722,[ 9 11] ; [12 61],[ 4.51612903 15.48387097] ; [16.48387097 56.51612903],0
s3,1,0.012612,6.222715,[13  7] ; [26 50],[ 8.125 11.875] ; [30.875 45.125],0
n6,1,0.016065,5.795699,[18  3] ; [44 33],[13.28571429  7.71428571] ; [48.71428571 28.28571429],0
v4,1,0.017706,5.625034,[20  1] ; [54 23],[15.85714286  5.14285714] ; [58.14285714 18.85714286],0
p5,1,0.017928,5.603152,[ 4 17] ; [ 3 73],[ 1.51546392 19.48453608] ; [ 5.48453608 70.51546392],0
r3,1,0.071982,3.237237,[19  2] ; [55 22],[15.85714286  5.14285714] ; [58.14285714 18.85714286],0
r1,1,0.073634,3.200104,[16  5] ; [42 35],[12.42857143  8.57142857] ; [45.57142857 31.42857143],0
p9,1,0.09497,2.788043,[13  7] ; [33 42],[ 9.68421053 10.31578947] ; [36.31578947 38.68421053],0
p10,1,0.106758,2.601568,[13  7] ; [34 42],[ 9.79166667 10.20833333] ; [37.20833333 38.79166667],0
r2,1,0.109271,2.564738,[19  2] ; [57 20],[16.28571429  4.71428571] ; [59.71428571 17.28571429],0
v2,1,0.134415,2.240762,[11  9] ; [27 47],[ 8.08510638 11.91489362] ; [29.91489362 44.08510638],0
d4,1,0.135733,2.225679,[13  8] ; [34 44],[ 9.96969697 11.03030303] ; [37.03030303 40.96969697],0
a5,1,0.135733,2.225679,[13  8] ; [34 44],[ 9.96969697 11.03030303] ; [37.03030303 40.96969697],0
v1,1,0.198982,1.649832,[10 11] ; [25 52],[ 7.5 13.5] ; [27.5 49.5],0
u2,1,0.228056,1.452947,[3 7] ; [21 20],[4.70588235 5.29411765] ; [19.29411765 21.70588235],0
b1,1,0.28315,1.151907,[13  8] ; [38 40],[10.81818182 10.18181818] ; [40.18181818 37.81818182],0
p11,1,0.28315,1.151907,[13  8] ; [38 40],[10.81818182 10.18181818] ; [40.18181818 37.81818182],0
s1,1,0.28333,1.151045,[ 4 17] ; [ 8 69],[ 2.57142857 18.42857143] ; [ 9.42857143 67.57142857],0
a6,1,0.371113,0.799935,[12  9] ; [36 42],[10.18181818 10.81818182] ; [37.81818182 40.18181818],0
v3,1,0.397024,0.717321,[ 9 12] ; [25 51],[ 7.36082474 13.63917526] ; [26.63917526 49.36082474],0
d3,1,0.406807,0.688113,[ 7 14] ; [19 59],[ 5.51515152 15.48484848] ; [20.48484848 57.51515152],0
a1,1,0.436906,0.604396,[ 1 20] ; [ 8 70],[ 1.90909091 19.09090909] ; [ 7.09090909 70.90909091],0
a7,1,0.460181,0.545455,[12  9] ; [37 40],[10.5 10.5] ; [38.5 38.5],0
p3,1,0.48233,0.49359,[ 7 14] ; [20 58],[ 5.72727273 15.27272727] ; [21.27272727 56.72727273],0
d5,1,0.558445,0.342403,[ 9 12] ; [28 50],[ 7.84848485 13.15151515] ; [29.15151515 48.84848485],0
p4,1,0.581203,0.304293,[ 4 16] ; [20 57],[ 4.94845361 15.05154639] ; [19.05154639 57.94845361],0
p6,1,0.591105,0.288621,[ 4 17] ; [11 66],[ 3.21428571 17.78571429] ; [11.78571429 65.21428571],0
p8,1,0.623639,0.240786,[ 6 15] ; [18 59],[ 5.14285714 15.85714286] ; [18.85714286 58.14285714],0
n3,1,0.629063,0.233333,[3 1] ; [15  9],[2.57142857 1.42857143] ; [15.42857143  8.57142857],0
b2,1,0.653477,0.201544,[3 7] ; [18 30],[3.62068966 6.37931034] ; [17.37931034 30.62068966],0
b3,1,0.653477,0.201544,[3 7] ; [18 30],[3.62068966 6.37931034] ; [17.37931034 30.62068966],0
n5,1,0.656142,0.198244,[13  8] ; [51 25],[13.8556701  7.1443299] ; [50.1443299 25.8556701],0
n4,1,0.694969,0.153758,[13  8] ; [44 33],[12.21428571  8.78571429] ; [44.78571429 32.21428571],0
a3,1,0.76424,0.089951,[11 10] ; [37 39],[10.39175258 10.60824742] ; [37.60824742 38.39175258],0
a8,1,0.779522,0.078367,[ 3 18] ; [ 9 66],[ 2.625 18.375] ; [ 9.375 65.625],0
u3,1,0.835366,0.043191,[5 5] ; [19 22],[4.70588235 5.29411765] ; [19.29411765 21.70588235],0
b4,1,0.846406,0.037522,[11 10] ; [39 39],[10.60606061 10.39393939] ; [39.39393939 38.60606061],0
a4,1,0.866129,0.028418,[ 5 16] ; [17 60],[ 4.71428571 16.28571429] ; [17.28571429 59.71428571],0
d2,1,0.943746,0.004979,[ 5 16] ; [18 60],[ 4.87878788 16.12121212] ; [18.12121212 59.87878788],0
b5,1,0.952061,0.003614,[12  9] ; [44 34],[11.87878788  9.12121212] ; [44.12121212 33.87878788],0
p7,1,1.0,0.0,[ 7 14] ; [25 50],[ 7. 14.] ; [25. 50.],0
