Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.839849,[95 11] ; [27 32],[78.37575758 27.62424242] ; [43.62424242 15.37575758],1
d4,1,2e-05,18.166368,[91 15] ; [33 26],[79.66060606 26.33939394] ; [44.33939394 14.66060606],1
r2,1,4.3e-05,16.716096,[99  6] ; [42 17],[90.27439024 14.72560976] ; [50.72560976  8.27439024],1
v2,1,0.000226,13.599374,[56 45] ; [15 44],[44.81875 56.18125] ; [26.18125 32.81875],1
d5,1,0.000578,11.843924,[81 25] ; [29 29],[71.09756098 34.90243902] ; [38.90243902 19.09756098],1
d1,1,0.00099,10.846767,[53 53] ; [14 45],[43.04242424 62.95757576] ; [23.95757576 35.04242424],1
a6,1,0.001829,9.713383,[73 33] ; [26 33],[63.6 42.4] ; [35.4 23.6],0
a3,1,0.003059,8.77206,[64 42] ; [21 37],[54.93902439 51.06097561] ; [30.06097561 27.93902439],0
a5,1,0.00637,7.442463,[63 43] ; [22 37],[54.60606061 51.39393939] ; [30.39393939 28.60606061],0
r3,1,0.008552,6.91397,[100   6] ; [48 11],[95.07878788 10.92121212] ; [52.92121212  6.07878788],0
a7,1,0.009016,6.81965,[78 28] ; [31 27],[70.45121951 35.54878049] ; [38.54878049 19.45121951],0
b1,1,0.011511,6.384714,[28 78] ; [27 32],[35.33333333 70.66666667] ; [19.66666667 39.33333333],0
v4,1,0.017879,5.60799,[99  6] ; [48 10],[94.69325153 10.30674847] ; [52.30674847  5.69325153],0
a2,1,0.019536,5.452856,[13 93] ; [ 1 58],[ 8.99393939 97.00606061] ; [ 5.00606061 53.99393939],0
v3,1,0.021835,5.258922,[28 73] ; [ 7 51],[22.2327044 78.7672956] ; [12.7672956 45.2327044],0
d3,1,0.025983,4.957179,[71 35] ; [28 29],[64.3803681 41.6196319] ; [34.6196319 22.3803681],0
a4,1,0.046682,3.956808,[33 73] ; [10 49],[27.62424242 78.37575758] ; [15.37575758 43.62424242],0
s6,1,0.04931,3.864763,[53 52] ; [20 38],[47.02453988 57.97546012] ; [25.97546012 32.02453988],0
u2,1,0.086591,2.936643,[23 18] ; [14 24],[19.20253165 21.79746835] ; [17.79746835 20.20253165],0
p1,1,0.105138,2.62583,[  2 103] ; [ 4 54],[  3.86503067 101.13496933] ; [ 2.13496933 55.86503067],0
b4,1,0.109273,2.564709,[64 42] ; [28 31],[59.1030303 46.8969697] ; [32.8969697 26.1030303],0
u3,1,0.115732,2.474154,[25 15] ; [17 21],[21.53846154 18.46153846] ; [20.46153846 17.53846154],0
v1,1,0.119589,2.422692,[41 62] ; [16 42],[36.46583851 66.53416149] ; [20.53416149 37.46583851],0
p11,1,0.124831,2.355635,[72 34] ; [33 26],[67.45454545 38.54545455] ; [37.54545455 21.45454545],0
p2,1,0.203453,1.617416,[77 28] ; [37 21],[73.43558282 31.56441718] ; [40.56441718 17.43558282],0
p5,1,0.208568,1.58134,[  3 103] ; [ 4 53],[  4.55214724 101.44785276] ; [ 2.44785276 54.55214724],0
a1,1,0.227673,1.455341,[  3 103] ; [ 4 55],[  4.4969697 101.5030303] ; [ 2.5030303 56.4969697],0
n5,1,0.249613,1.325466,[30 75] ; [22 37],[33.29268293 71.70731707] ; [18.70731707 40.29268293],0
u1,1,0.283414,1.150644,[ 8 98] ; [ 2 57],[ 6.42424242 99.57575758] ; [ 3.57575758 55.42424242],0
s5,1,0.339408,0.912665,[24 79] ; [10 49],[21.61728395 81.38271605] ; [12.38271605 46.61728395],0
s8,1,0.360685,0.835508,[16 89] ; [ 6 53],[14.08536585 90.91463415] ; [ 7.91463415 51.08536585],0
p10,1,0.378265,0.776332,[67 39] ; [32 25],[64.3803681 41.6196319] ; [34.6196319 22.3803681],0
s3,1,0.412363,0.671978,[42 62] ; [20 39],[39.55828221 64.44171779] ; [22.44171779 36.55828221],0
p12,1,0.455333,0.557343,[  4 102] ; [ 1 58],[  3.21212121 102.78787879] ; [ 1.78787879 57.21212121],0
b3,1,0.466517,0.530213,[ 9 39] ; [ 7 20],[10.24 37.76] ; [ 5.76 21.24],0
b2,1,0.466517,0.530213,[ 9 39] ; [ 7 20],[10.24 37.76] ; [ 5.76 21.24],0
n3,1,0.492742,0.470533,[26 12] ; [15 10],[24.73015873 13.26984127] ; [16.26984127  8.73015873],0
p6,1,0.525289,0.403497,[19 85] ; [13 45],[20.54320988 83.45679012] ; [11.45679012 46.54320988],0
n2,1,0.541255,0.373219,[25 12] ; [15 10],[23.87096774 13.12903226] ; [16.12903226  8.87096774],0
p3,1,0.565014,0.331098,[30 76] ; [14 44],[28.43902439 77.56097561] ; [15.56097561 42.43902439],0
p8,1,0.573286,0.317215,[45 61] ; [22 36],[43.30487805 62.69512195] ; [23.69512195 34.30487805],0
p4,1,0.606833,0.264812,[38 67] ; [19 40],[36.49390244 68.50609756] ; [20.50609756 38.49390244],0
n1,1,0.617315,0.249659,[ 8 30] ; [ 4 21],[ 7.23809524 30.76190476] ; [ 4.76190476 20.23809524],0
b5,1,0.622452,0.242436,[67 39] ; [35 24],[65.52727273 40.47272727] ; [36.47272727 22.52727273],0
p7,1,0.636296,0.22362,[51 52] ; [26 31],[49.56875 53.43125] ; [27.43125 29.56875],0
s4,1,0.669033,0.182735,[17 89] ; [11 48],[17.98787879 88.01212121] ; [10.01212121 48.98787879],0
p9,1,0.73391,0.115551,[74 32] ; [39 19],[73.03658537 32.96341463] ; [39.96341463 18.03658537],0
d2,1,0.864852,0.028969,[31 75] ; [18 41],[31.47878788 74.52121212] ; [17.52121212 41.47878788],0
s1,1,0.875988,0.024354,[  6 100] ; [ 3 56],[  5.78181818 100.21818182] ; [ 3.21818182 55.78181818],0
a8,1,0.879137,0.023123,[ 3 95] ; [ 2 55],[ 3.16129032 94.83870968] ; [ 1.83870968 55.16129032],0
n6,1,0.888612,0.019617,[67 38] ; [37 22],[66.58536585 38.41463415] ; [37.41463415 21.58536585],0
s2,1,0.918489,0.010473,[33 72] ; [19 40],[33.29268293 71.70731707] ; [18.70731707 40.29268293],0
