Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.7e-05,17.032938,[16  7] ; [14 50],[ 7.93103448 15.06896552] ; [22.06896552 41.93103448],1
p4,1,0.000565,11.8865,[16 10] ; [15 49],[ 8.95555556 17.04444444] ; [22.04444444 41.95555556],1
p2,1,0.000688,11.522256,[21  5] ; [26 37],[13.73033708 12.26966292] ; [33.26966292 29.73033708],1
p11,1,0.001426,10.171413,[20  7] ; [24 40],[13.05494505 13.94505495] ; [30.94505495 33.05494505],0
p3,1,0.003355,8.603686,[12 15] ; [10 54],[ 6.52747253 20.47252747] ; [15.47252747 48.52747253],0
v4,1,0.004101,8.238755,[21  4] ; [32 31],[15.05681818  9.94318182] ; [37.94318182 25.05681818],0
p6,1,0.004503,8.068776,[10 17] ; [ 7 55],[ 5.15730337 21.84269663] ; [11.84269663 50.15730337],0
b3,1,0.004705,7.98952,[ 1 15] ; [18 21],[ 5.52727273 10.47272727] ; [13.47272727 25.52727273],0
b2,1,0.004705,7.98952,[ 1 15] ; [18 21],[ 5.52727273 10.47272727] ; [13.47272727 25.52727273],0
p10,1,0.009319,6.760635,[18  7] ; [26 37],[12.5 12.5] ; [31.5 31.5],0
r3,1,0.02788,4.835455,[18  8] ; [27 35],[13.29545455 12.70454545] ; [31.70454545 30.29545455],0
a4,1,0.028801,4.77946,[ 4 23] ; [24 39],[ 8.4 18.6] ; [19.6 43.4],0
a3,1,0.038434,4.285714,[ 9 18] ; [36 27],[13.5 13.5] ; [31.5 31.5],0
s2,1,0.049816,3.847633,[11 15] ; [14 50],[ 7.22222222 18.77777778] ; [17.77777778 46.22222222],0
s8,1,0.057892,3.596755,[ 7 19] ; [ 7 57],[ 4.04444444 21.95555556] ; [ 9.95555556 54.04444444],0
d1,1,0.070349,3.274869,[ 6 21] ; [27 37],[ 9.79120879 17.20879121] ; [23.20879121 40.79120879],0
u2,1,0.082006,3.024691,[10  8] ; [ 8 19],[ 7.2 10.8] ; [10.8 16.2],0
d2,1,0.08767,2.916651,[ 7 20] ; [28 34],[10.61797753 16.38202247] ; [24.38202247 37.61797753],0
n6,1,0.094861,2.789886,[19  7] ; [34 29],[15.48314607 10.51685393] ; [37.51685393 25.48314607],0
n4,1,0.119356,2.425752,[13 14] ; [42 22],[16.31868132 10.68131868] ; [38.68131868 25.31868132],0
r2,1,0.186237,1.747139,[17  8] ; [32 29],[14.24418605 10.75581395] ; [34.75581395 26.24418605],0
p9,1,0.194312,1.68462,[16 11] ; [27 34],[13.19318182 13.80681818] ; [29.80681818 31.19318182],0
d5,1,0.217327,1.521933,[14 13] ; [42 22],[16.61538462 10.38461538] ; [39.38461538 24.61538462],0
n1,1,0.228159,1.452302,[ 2 10] ; [11 20],[3.62790698 8.37209302] ; [ 9.37209302 21.62790698],0
a7,1,0.250099,1.322751,[16 11] ; [29 34],[13.5 13.5] ; [31.5 31.5],0
s4,1,0.252256,1.310766,[ 8 19] ; [12 52],[ 5.93406593 21.06593407] ; [14.06593407 49.93406593],0
a1,1,0.265621,1.239223,[ 1 26] ; [ 7 57],[ 2.37362637 24.62637363] ; [ 5.62637363 58.37362637],0
s7,1,0.297872,1.083695,[ 9 17] ; [14 45],[ 7.03529412 18.96470588] ; [15.96470588 43.03529412],0
u3,1,0.307841,1.039916,[ 6 11] ; [ 6 22],[ 4.53333333 12.46666667] ; [ 7.46666667 20.53333333],0
s5,1,0.319714,0.990116,[ 2 23] ; [10 52],[ 3.44827586 21.55172414] ; [ 8.55172414 53.44827586],0
n5,1,0.341595,0.904438,[15 11] ; [43 20],[16.94382022  9.05617978] ; [41.05617978 21.94382022],0
a5,1,0.345344,0.890493,[11 16] ; [33 31],[13.05494505 13.94505495] ; [30.94505495 33.05494505],0
s1,1,0.362657,0.82867,[ 2 25] ; [ 2 62],[ 1.18681319 25.81318681] ; [ 2.81318681 61.18681319],0
d4,1,0.393113,0.729292,[15 12] ; [41 22],[16.8 10.2] ; [39.2 23.8],0
b5,1,0.418981,0.653173,[16 11] ; [32 32],[14.24175824 12.75824176] ; [33.75824176 30.24175824],0
s6,1,0.444889,0.583641,[ 9 17] ; [17 47],[ 7.51111111 18.48888889] ; [18.48888889 45.51111111],0
v2,1,0.4791,0.500911,[ 6 21] ; [18 43],[ 7.36363636 19.63636364] ; [16.63636364 44.36363636],0
b1,1,0.501083,0.452643,[11 16] ; [31 33],[12.46153846 14.53846154] ; [29.53846154 34.46153846],0
n2,1,0.558378,0.342521,[7 5] ; [15 16],[6.13953488 5.86046512] ; [15.86046512 15.13953488],0
a8,1,0.570754,0.321422,[ 1 21] ; [ 5 56],[ 1.59036145 20.40963855] ; [ 4.40963855 56.59036145],0
p5,1,0.572718,0.318156,[ 2 24] ; [ 3 61],[ 1.44444444 24.55555556] ; [ 3.55555556 60.44444444],0
