Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.01178,6.343623,[36 10] ; [14 14],[31.08108108 14.91891892] ; [18.91891892  9.08108108],0
p10,1,0.020786,5.344664,[42  5] ; [19  9],[38.22666667  8.77333333] ; [22.77333333  5.22666667],0
n4,1,0.037583,4.323808,[32 15] ; [25  3],[35.72 11.28] ; [21.28  6.72],0
v4,1,0.0441,4.052714,[45  1] ; [24  4],[42.89189189  3.10810811] ; [26.10810811  1.89189189],0
p9,1,0.050887,3.811994,[43  4] ; [21  7],[40.10666667  6.89333333] ; [23.89333333  4.10666667],0
p11,1,0.066739,3.361462,[39  8] ; [18 10],[35.72 11.28] ; [21.28  6.72],0
b3,1,0.091184,2.853342,[18 15] ; [ 5 12],[15.18 17.82] ; [7.82 9.18],0
b2,1,0.091184,2.853342,[18 15] ; [ 5 12],[15.18 17.82] ; [7.82 9.18],0
p8,1,0.098531,2.729165,[34 13] ; [15 13],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
r3,1,0.119463,2.424345,[44  3] ; [23  5],[41.98666667  5.01333333] ; [25.01333333  2.98666667],0
p4,1,0.140544,2.17199,[30 17] ; [13 15],[26.94666667 20.05333333] ; [16.05333333 11.94666667],0
v2,1,0.169231,1.889747,[23 21] ; [10 18],[20.16666667 23.83333333] ; [12.83333333 15.16666667],0
a7,1,0.174549,1.843436,[28 19] ; [21  7],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
s3,1,0.210487,1.568076,[36 11] ; [17 10],[33.66216216 13.33783784] ; [19.33783784  7.66216216],0
p1,1,0.250165,1.322382,[12 35] ; [ 4 24],[10.02666667 36.97333333] ; [ 5.97333333 22.02666667],0
s1,1,0.278079,1.176455,[ 2 45] ; [ 3 25],[ 3.13333333 43.86666667] ; [ 1.86666667 26.13333333],0
v1,1,0.28083,1.163069,[27 20] ; [12 15],[24.77027027 22.22972973] ; [14.22972973 12.77027027],0
a6,1,0.32164,0.982264,[29 18] ; [14 14],[26.94666667 20.05333333] ; [16.05333333 11.94666667],0
r4,1,0.322273,0.9797,[41  6] ; [22  6],[39.48  7.52] ; [23.52  4.48],0
a2,1,0.445435,0.582243,[ 6 41] ; [ 2 26],[ 5.01333333 41.98666667] ; [ 2.98666667 25.01333333],0
p3,1,0.491398,0.473463,[24 23] ; [12 16],[22.56 24.44] ; [13.44 14.56],0
n6,1,0.503087,0.448418,[41  6] ; [22  5],[40.01351351  6.98648649] ; [22.98648649  4.01351351],0
s2,1,0.516488,0.4209,[32 15] ; [17 11],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
p2,1,0.546625,0.363398,[41  6] ; [23  5],[40.10666667  6.89333333] ; [23.89333333  4.10666667],0
p5,1,0.562723,0.335012,[ 9 37] ; [ 4 24],[ 8.08108108 37.91891892] ; [ 4.91891892 23.08108108],0
n2,1,0.605242,0.267161,[5 2] ; [9 2],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
r1,1,0.618717,0.247675,[36 11] ; [20  8],[35.09333333 11.90666667] ; [20.90666667  7.09333333],0
s6,1,0.618717,0.247675,[36 11] ; [20  8],[35.09333333 11.90666667] ; [20.90666667  7.09333333],0
n1,1,0.628745,0.233766,[3 4] ; [6 5],[3.5 3.5] ; [5.5 5.5],0
u3,1,0.629412,0.232859,[11  5] ; [7 2],[11.52  4.48] ; [6.48 2.52],0
a4,1,0.635637,0.224493,[ 8 39] ; [ 6 22],[ 8.77333333 38.22666667] ; [ 5.22666667 22.77333333],0
p6,1,0.641132,0.217265,[20 27] ; [13 14],[20.95945946 26.04054054] ; [12.04054054 14.95945946],0
s4,1,0.709499,0.138778,[10 37] ; [ 7 21],[10.65333333 36.34666667] ; [ 6.34666667 21.65333333],0
n3,1,0.73244,0.116883,[5 2] ; [7 4],[4.66666667 2.33333333] ; [7.33333333 3.66666667],0
b1,1,0.743643,0.10695,[20 27] ; [13 15],[20.68 26.32] ; [12.32 15.68],0
b4,1,0.789016,0.071604,[25 22] ; [14 14],[24.44 22.56] ; [14.56 13.44],0
r2,1,0.812399,0.056327,[42  4] ; [26  2],[42.27027027  3.72972973] ; [25.72972973  2.27027027],0
u2,1,0.834969,0.043403,[10  6] ; [6 3],[10.24  5.76] ; [5.76 3.24],0
a3,1,0.865949,0.028495,[31 16] ; [19  9],[31.33333333 15.66666667] ; [18.66666667  9.33333333],0
d4,1,0.87769,0.023685,[26 21] ; [16 12],[26.32 20.68] ; [15.68 12.32],0
a5,1,0.883019,0.021651,[31 16] ; [18 10],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
d3,1,0.883083,0.021627,[21 26] ; [13 15],[21.30666667 25.69333333] ; [12.69333333 15.30666667],0
d1,1,0.898461,0.016283,[ 3 44] ; [ 2 26],[ 3.13333333 43.86666667] ; [ 1.86666667 26.13333333],0
v3,1,0.914267,0.01159,[17 29] ; [10 18],[16.78378378 29.21621622] ; [10.21621622 17.78378378],0
n5,1,0.926303,0.008556,[39  8] ; [23  5],[38.85333333  8.14666667] ; [23.14666667  4.85333333],0
a8,1,0.932597,0.007154,[ 7 38] ; [ 4 23],[ 6.875 38.125] ; [ 4.125 22.875],0
d2,1,0.959142,0.002625,[12 35] ; [ 7 21],[11.90666667 35.09333333] ; [ 7.09333333 20.90666667],0
b5,1,0.979463,0.000663,[27 20] ; [16 12],[26.94666667 20.05333333] ; [16.05333333 11.94666667],0
s5,1,0.994511,4.7e-05,[17 29] ; [10 17],[17.01369863 28.98630137] ; [ 9.98630137 17.01369863],0
