Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,101.572131,[151  18] ; [15 51],[119.3787234  49.6212766] ; [46.6212766 19.3787234],1
p11,1,0.0,33.414795,[146  24] ; [33 33],[128.94067797  41.05932203] ; [50.05932203 15.94067797],1
r3,1,0.0,30.208044,[161   8] ; [45 20],[148.77777778  20.22222222] ; [57.22222222  7.77777778],1
p2,1,1e-06,24.265916,[141  27] ; [35 31],[126.35897436  41.64102564] ; [49.64102564 16.35897436],1
p8,1,1.4e-05,18.900841,[90 76] ; [15 51],[75.12931034 90.87068966] ; [29.87068966 36.12931034],1
n6,1,1.6e-05,18.596348,[145  24] ; [39 26],[132.88888889  36.11111111] ; [51.11111111 13.88888889],1
p7,1,7.1e-05,15.796698,[106  63] ; [22 43],[92.44444444 76.55555556] ; [35.55555556 29.44444444],1
r4,1,8.1e-05,15.542388,[147  23] ; [42 24],[136.1440678  33.8559322] ; [52.8559322 13.1440678],1
v4,1,0.000143,14.461625,[157  13] ; [48 17],[148.29787234  21.70212766] ; [56.70212766  8.29787234],1
p4,1,0.000281,13.194146,[91 77] ; [18 47],[78.59227468 89.40772532] ; [30.40772532 34.59227468],1
a3,1,0.000504,12.1,[128  41] ; [34 31],[117.  52.] ; [45. 20.],1
n5,1,0.000656,11.609945,[142  27] ; [42 24],[132.32340426  36.67659574] ; [51.67659574 14.32340426],1
n3,1,0.001396,10.210946,[28  4] ; [11 12],[22.69090909  9.30909091] ; [16.30909091  6.69090909],0
v2,1,0.003348,8.607147,[96 66] ; [25 41],[85.97368421 76.02631579] ; [35.02631579 30.97368421],0
s8,1,0.003596,8.477084,[ 45 125] ; [ 6 60],[ 36.73728814 133.26271186] ; [14.26271186 51.73728814],0
v1,1,0.006608,7.376669,[86 81] ; [21 45],[76.69098712 90.30901288] ; [30.30901288 35.69098712],0
p6,1,0.008227,6.983423,[ 54 111] ; [10 55],[ 45.91304348 119.08695652] ; [18.08695652 46.91304348],0
d1,1,0.011729,6.351363,[103  67] ; [28 38],[94.36440678 75.63559322] ; [36.63559322 29.36440678],0
d4,1,0.019401,5.46502,[137  33] ; [43 22],[130.21276596  39.78723404] ; [49.78723404 15.21276596],0
p3,1,0.029056,4.764269,[84 85] ; [22 43],[76.55555556 92.44444444] ; [29.44444444 35.55555556],0
b1,1,0.052317,3.765591,[ 64 106] ; [34 32],[70.59322034 99.40677966] ; [27.40677966 38.59322034],0
v3,1,0.058955,3.56653,[71 93] ; [19 45],[64.73684211 99.26315789] ; [25.26315789 38.73684211],0
n2,1,0.070998,3.259784,[24  8] ; [13 12],[20.77192982 11.22807018] ; [16.22807018  8.77192982],0
a8,1,0.11386,2.49981,[ 22 131] ; [ 4 57],[ 18.58878505 134.41121495] ; [ 7.41121495 53.58878505],0
p5,1,0.11629,2.466589,[ 11 157] ; [ 1 65],[  8.61538462 159.38461538] ; [ 3.38461538 62.61538462],0
a7,1,0.120627,2.409165,[120  50] ; [39 26],[115.0212766  54.9787234] ; [43.9787234 21.0212766],0
u3,1,0.132636,2.261373,[19 23] ; [ 9 23],[15.89189189 26.10810811] ; [12.10810811 19.89189189],0
a5,1,0.142167,2.154348,[127  43] ; [43 23],[122.45762712  47.54237288] ; [47.54237288 18.45762712],0
r2,1,0.143204,2.143188,[156  11] ; [56  8],[153.26406926  13.73593074] ; [58.73593074  5.26406926],0
a4,1,0.146027,2.113266,[86 84] ; [26 39],[81.0212766 88.9787234] ; [30.9787234 34.0212766],0
b5,1,0.204059,1.613081,[98 72] ; [32 34],[93.6440678 76.3559322] ; [36.3559322 29.6440678],0
s1,1,0.221319,1.495799,[  3 165] ; [ 3 62],[  4.32618026 163.67381974] ; [ 1.67381974 63.32618026],0
s7,1,0.229573,1.443507,[ 45 116] ; [12 48],[ 41.52488688 119.47511312] ; [15.47511312 44.52488688],0
d5,1,0.254997,1.29572,[133  37] ; [47 19],[129.66101695  40.33898305] ; [50.33898305 15.66101695],0
