Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.397282,[67  5] ; [18 13],[59.41747573 12.58252427] ; [25.58252427  5.41747573],1
s4,1,2.8e-05,17.544814,[ 4 66] ; [12 19],[11.08910891 58.91089109] ; [ 4.91089109 26.08910891],1
n6,1,0.033783,4.505656,[65  7] ; [23  8],[61.51456311 10.48543689] ; [26.48543689  4.51456311],0
p9,1,0.033783,4.505656,[65  7] ; [23  8],[61.51456311 10.48543689] ; [26.48543689  4.51456311],0
s3,1,0.086555,2.937301,[45 26] ; [14 17],[41.06862745 29.93137255] ; [17.93137255 13.06862745],0
p2,1,0.095195,2.784252,[63  9] ; [23  8],[60.11650485 11.88349515] ; [25.88349515  5.11650485],0
v3,1,0.109503,2.561373,[25 44] ; [ 6 24],[21.60606061 47.39393939] ; [ 9.39393939 20.60606061],0
p10,1,0.121039,2.40382,[58 13] ; [21 10],[54.99019608 16.00980392] ; [24.00980392  6.99019608],0
p1,1,0.148723,2.085296,[ 5 67] ; [ 5 26],[ 6.99029126 65.00970874] ; [ 3.00970874 27.99029126],0
r4,1,0.216008,1.530698,[61 11] ; [29  2],[62.91262136  9.08737864] ; [27.08737864  3.91262136],0
p3,1,0.218304,1.515486,[30 42] ; [17 14],[32.85436893 39.14563107] ; [14.14563107 16.85436893],0
n1,1,0.220805,1.499132,[9 9] ; [ 4 10],[ 7.3125 10.6875] ; [5.6875 8.3125],0
v1,1,0.231739,1.430159,[40 31] ; [13 17],[37.25742574 33.74257426] ; [15.74257426 14.25742574],0
p4,1,0.253825,1.302129,[48 24] ; [17 14],[45.4368932 26.5631068] ; [19.5631068 11.4368932],0
b4,1,0.330088,0.948555,[39 33] ; [20 11],[41.24271845 30.75728155] ; [17.75728155 13.24271845],0
s5,1,0.358627,0.842697,[23 44] ; [12 15],[24.94680851 42.05319149] ; [10.05319149 16.94680851],0
b1,1,0.369934,0.803887,[28 44] ; [15 16],[30.05825243 41.94174757] ; [12.94174757 18.05825243],0
