Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,53.21558,[21 71] ; [73 23],[46. 46.] ; [48. 48.],1
s7,1,0.0,49.589962,[25 61] ; [77 18],[48.4640884 37.5359116] ; [53.5359116 41.4640884],1
s6,1,0.0,29.335615,[42 49] ; [79 15],[59.51891892 31.48108108] ; [61.48108108 32.51891892],1
s3,1,0.0,26.029704,[33 59] ; [70 26],[50.40425532 41.59574468] ; [52.59574468 43.40425532],1
p6,1,4e-06,21.174277,[15 74] ; [46 48],[29.66666667 59.33333333] ; [31.33333333 62.66666667],1
p3,1,3.3e-05,17.256363,[36 55] ; [67 29],[50.12299465 40.87700535] ; [52.87700535 43.12299465],1
v3,1,8.2e-05,15.509323,[25 64] ; [53 40],[38.14285714 50.85714286] ; [39.85714286 53.14285714],1
p9,1,0.000865,11.096783,[65 26] ; [86  9],[73.87634409 17.12365591] ; [77.12365591 17.87634409],1
p10,1,0.001819,9.723322,[61 30] ; [82 13],[69.96236559 21.03763441] ; [73.03763441 21.96236559],0
r3,1,0.002329,9.270506,[78 15] ; [93  3],[84.14285714  8.85714286] ; [86.85714286  9.14285714],0
v1,1,0.003161,8.712121,[38 54] ; [58 34],[48. 44.] ; [48. 44.],0
p8,1,0.004944,7.899649,[34 57] ; [54 39],[43.52173913 47.47826087] ; [44.47826087 48.52173913],0
p11,1,0.004989,7.883598,[66 27] ; [84 12],[73.80952381 19.19047619] ; [76.19047619 19.80952381],0
n4,1,0.008894,6.844059,[67 26] ; [83 12],[74.20212766 18.79787234] ; [75.79787234 19.20212766],0
n5,1,0.011415,6.399539,[65 28] ; [81 14],[72.22340426 20.77659574] ; [73.77659574 21.22340426],0
p4,1,0.016544,5.744154,[40 51] ; [59 37],[48.17647059 42.82352941] ; [50.82352941 45.17647059],0
n1,1,0.016929,5.70375,[ 9 21] ; [15  9],[13.33333333 16.66666667] ; [10.66666667 13.33333333],0
s5,1,0.018195,5.577285,[28 63] ; [44 48],[35.80327869 55.19672131] ; [36.19672131 55.80327869],0
v4,1,0.022843,5.180397,[78 14] ; [91  5],[82.70212766  9.29787234] ; [86.29787234  9.70212766],0
p7,1,0.026137,4.946903,[49 43] ; [65 29],[56.38709677 35.61290323] ; [57.61290323 36.38709677],0
n6,1,0.026973,4.892525,[70 22] ; [84 11],[75.76470588 16.23529412] ; [78.23529412 16.76470588],0
r4,1,0.027222,4.876687,[71 22] ; [85 11],[76.76190476 16.23809524] ; [79.23809524 16.76190476],0
p12,1,0.030942,4.656173,[ 2 90] ; [ 9 84],[ 5.47027027 86.52972973] ; [ 5.52972973 87.47027027],0
b2,1,0.044613,4.033197,[23 33] ; [43 30],[28.65116279 27.34883721] ; [37.34883721 35.65116279],0
b3,1,0.044613,4.033197,[23 33] ; [43 30],[28.65116279 27.34883721] ; [37.34883721 35.65116279],0
r1,1,0.072075,3.235111,[64 29] ; [77 19],[69.38095238 23.61904762] ; [71.61904762 24.38095238],0
a8,1,0.09137,2.850074,[ 6 80] ; [14 80],[ 9.55555556 76.44444444] ; [10.44444444 83.55555556],0
a6,1,0.096485,2.762708,[49 44] ; [39 57],[43.3015873 49.6984127] ; [44.6984127 51.3015873],0
a3,1,0.105788,2.616038,[72 21] ; [83 13],[76.26984127 16.73015873] ; [78.73015873 17.26984127],0
v2,1,0.122686,2.382696,[41 52] ; [51 41],[46.24864865 46.75135135] ; [45.75135135 46.24864865],0
u3,1,0.140547,2.17196,[ 6 15] ; [7 6],[ 8.02941176 12.97058824] ; [4.97058824 8.02941176],0
d4,1,0.149678,2.075527,[74 19] ; [83 12],[77.66489362 15.33510638] ; [79.33510638 15.66489362],0
d5,1,0.218507,1.514151,[74 19] ; [82 13],[77.17021277 15.82978723] ; [78.82978723 16.17021277],0
b1,1,0.273592,1.198651,[42 51] ; [51 45],[45.76190476 47.23809524] ; [47.23809524 48.76190476],0
d1,1,0.284822,1.143937,[51 42] ; [60 36],[54.61904762 38.38095238] ; [56.38095238 39.61904762],0
d2,1,0.292194,1.109485,[49 42] ; [59 37],[52.55614973 38.44385027] ; [55.44385027 40.55614973],0
