Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,30.356005,[213  62] ; [18 29],[197.2826087  77.7173913] ; [33.7173913 13.2826087],1
b1,1,4.7e-05,16.560624,[ 81 196] ; [28 19],[ 93.1882716 183.8117284] ; [15.8117284 31.1882716],1
n4,1,0.001508,10.06916,[214  63] ; [26 21],[205.18518519  71.81481481] ; [34.81481481 12.18518519],0
p10,1,0.001915,9.629627,[232  43] ; [30 16],[224.45482866  50.54517134] ; [37.54517134  8.45482866],0
s5,1,0.020153,5.39855,[ 65 206] ; [ 4 42],[ 58.9873817 212.0126183] ; [10.0126183 35.9873817],0
d4,1,0.02596,4.958704,[222  54] ; [31 16],[216.18575851  59.81424149] ; [36.81424149 10.18575851],0
r2,1,0.031036,4.650971,[249  24] ; [38  9],[244.846875  28.153125] ; [42.153125  4.846875],0
d1,1,0.048331,3.898425,[155 122] ; [19 28],[148.75925926 128.24074074] ; [25.24074074 21.75925926],0
n1,1,0.065257,3.398462,[18 49] ; [6 5],[20.61538462 46.38461538] ; [3.38461538 7.61538462],0
r4,1,0.105118,2.626122,[247  30] ; [38  9],[243.65740741  33.34259259] ; [41.34259259  5.65740741],0
p6,1,0.107885,2.584937,[ 96 178] ; [10 34],[ 91.33333333 182.66666667] ; [14.66666667 29.33333333],0
p9,1,0.120842,2.406375,[239  35] ; [37 10],[235.58878505  38.41121495] ; [40.41121495  6.58878505],0
d3,1,0.127177,2.326623,[185  92] ; [26 21],[180.39197531  96.60802469] ; [30.60802469 16.39197531],0
v4,1,0.131919,2.269775,[263  14] ; [42  5],[260.75617284  16.24382716] ; [44.24382716  2.75617284],0
n2,1,0.143606,2.138889,[46 20] ; [10  1],[48. 18.] ; [8. 3.],0
a5,1,0.148362,2.089014,[205  72] ; [30 17],[200.91049383  76.08950617] ; [34.08950617 12.91049383],0
a2,1,0.16011,1.973186,[ 53 224] ; [ 5 42],[ 49.58641975 227.41358025] ; [ 8.41358025 38.58641975],0
n3,1,0.1678,1.902485,[47 19] ; [10  1],[48.85714286 17.14285714] ; [8.14285714 2.85714286],0
r3,1,0.175093,1.838793,[264  11] ; [43  4],[262.18944099  12.81055901] ; [44.81055901  2.18944099],0
p3,1,0.177738,1.81644,[132 145] ; [17 29],[127.78018576 149.21981424] ; [21.21981424 24.78018576],0
s6,1,0.190317,1.715161,[120 151] ; [16 31],[115.89937107 155.10062893] ; [20.10062893 26.89937107],0
a6,1,0.193741,1.688938,[197  80] ; [29 18],[193.21604938  83.78395062] ; [32.78395062 14.21604938],0
s2,1,0.210214,1.569952,[ 35 239] ; [ 3 44],[ 32.43613707 241.56386293] ; [ 5.56386293 41.43613707],0
u1,1,0.227012,1.459488,[ 42 235] ; [ 4 43],[ 39.32716049 237.67283951] ; [ 6.67283951 40.32716049],0
b4,1,0.239774,1.381923,[161 116] ; [23 24],[157.30864198 119.69135802] ; [26.69135802 20.30864198],0
p4,1,0.281406,1.160287,[162 115] ; [23 23],[158.65325077 118.34674923] ; [26.34674923 19.65325077],0
s7,1,0.288259,1.127736,[ 74 189] ; [ 9 35],[ 71.10423453 191.89576547] ; [11.89576547 32.10423453],0
b3,1,0.296442,1.090131,[ 66 104] ; [ 7 18],[ 63.64102564 106.35897436] ; [ 9.35897436 15.64102564],0
b2,1,0.296442,1.090131,[ 66 104] ; [ 7 18],[ 63.64102564 106.35897436] ; [ 9.35897436 15.64102564],0
a4,1,0.325101,0.968313,[115 161] ; [16 31],[111.9380805 164.0619195] ; [19.0619195 27.9380805],0
u4,1,0.352217,0.865453,[  2 275] ; [ 1 46],[  2.56481481 274.43518519] ; [ 0.43518519 46.56481481],0
u2,1,0.357219,0.847646,[50 45] ; [11  6],[51.74107143 43.25892857] ; [9.25892857 7.74107143],0
b5,1,0.357645,0.846144,[163 114] ; [31 16],[165.85802469 111.14197531] ; [28.14197531 18.85802469],0
v3,1,0.360063,0.837675,[ 95 175] ; [13 33],[ 92.27848101 177.72151899] ; [15.72151899 30.27848101],0
v1,1,0.383869,0.758275,[146 126] ; [22 25],[143.2476489 128.7523511] ; [24.7523511 22.2476489],0
a8,1,0.423484,0.640627,[ 34 213] ; [ 4 39],[ 32.36551724 214.63448276] ; [ 5.63448276 37.36551724],0
d2,1,0.438205,0.600977,[122 153] ; [18 29],[119.56521739 155.43478261] ; [20.43478261 26.56521739],0
p5,1,0.497657,0.459929,[ 33 244] ; [ 4 43],[ 31.63271605 245.36728395] ; [ 5.36728395 41.63271605],0
s1,1,0.553164,0.35168,[  3 272] ; [ 1 46],[  3.41614907 271.58385093] ; [ 0.58385093 46.41614907],0
p2,1,0.574778,0.314753,[231  46] ; [36  9],[229.6863354  47.3136646] ; [37.3136646  7.6863354],0
u3,1,0.58164,0.303591,[49 46] ; [10  7],[50.04464286 44.95535714] ; [8.95535714 8.04464286],0
